text,DeepSeek
10,Statement Opinion (joy)
11,Statement Non Opinion (neutral)
12,Question (neutral)
13,Statement Non Opinion (neutral)
14,Apology (sadness)
15,Question (neutral)
16,Acknowledge (neutral)
17,Statement Opinion (surprise)
18,Greeting (neutral)
1,Statement Opinion (joy)
2,Statement Non Opinion (neutral)
3,Statement Non Opinion (neutral)
4,Statement Non Opinion (neutral)
5,Question (surprise)
6,Statement Opinion (joy)
7,Acknowledge (neutral)
8,Statement Non Opinion (neutral)
9,Statement Opinion (joy)
10,Command (fear)
11,Question (joy)
1,Question (neutral)
2,Agreement (joy)
3,Statement Non Opinion (neutral)
4,Statement Non Opinion (neutral)
5,Greeting (joy)
6,Greeting (anger)
7,Statement Opinion (joy)
8,Statement Opinion (joy)
9,Command (neutral)
10,Statement Non Opinion (neutral)
11,Statement Opinion (joy)
12,Statement Opinion (joy)
13,Statement Non Opinion (neutral)
14,Acknowledge (neutral)
1,Statement Non Opinion (neutral)
2,Statement Non Opinion (surprise)
3,Statement Non Opinion (neutral)
4,Statement Opinion (anger)
5,Statement Non Opinion (neutral)
6,Question (sadness)
7,Statement Non Opinion (neutral)
8,Statement Non Opinion (neutral)
9,Statement Non Opinion (surprise)
10,Greeting (neutral)
11,Greeting (neutral)
1,Statement Non Opinion (neutral)
2,Statement Non Opinion (neutral)
3,Statement Opinion (joy)
4,Statement Non Opinion (neutral)
5,Statement Opinion (joy)
1,Question (neutral)
2,Statement Non Opinion (neutral)
3,Question (neutral)
4,Statement Non Opinion (neutral)
1,Statement Non Opinion (sadness)
2,Statement Non Opinion (sadness)
3,Statement Non Opinion (sadness)
4,Statement Non Opinion (sadness)
5,Statement Non Opinion (neutral)
1,Statement Opinion (joy)
2,Statement Non Opinion (neutral)
3,Disagreement (neutral)
4,Statement Non Opinion (surprise)
5,Statement Non Opinion (neutral)
6,Statement Non Opinion (neutral)
7,Statement Non Opinion (neutral)
8,Command (anger)
9,Question (neutral)
10,Statement Non Opinion (neutral)
11,Statement Non Opinion (sadness)
12,Question (surprise)
13,Command (anger)
14,Acknowledge (neutral)
15,Statement Non Opinion (neutral)
1,Question (neutral)
2,Statement Opinion (disgust)
3,Statement Opinion (joy)
4,Command (neutral)
5,Statement Non Opinion (neutral)
6,Statement Non Opinion (neutral)
7,Statement Non Opinion (sadness)
8,Statement Non Opinion (neutral)
1,Statement Non Opinion (surprise)
2,Statement Non Opinion (neutral)
3,Greeting (neutral)
4,Question (neutral)
5,Statement Non Opinion (neutral)
6,Statement Opinion (anger)
7,Statement Non Opinion (neutral)
8,Statement Non Opinion (neutral)
9,Question (neutral)
10,Statement Non Opinion (fear)
11,Statement Non Opinion (neutral)
12,Acknowledge (neutral)
13,Acknowledge (neutral)
14,Statement Non Opinion (neutral)
15,Question (disgust)
16,Statement Non Opinion (neutral)
17,Statement Non Opinion (neutral)
18,Statement Opinion (joy)
19,Statement Opinion (joy)
1,Question (joy)
2,Question (neutral)
3,Question (neutral)
4,Statement Non Opinion (surprise)
5,Question (sadness)
6,Statement Opinion (joy)
7,Question (neutral)
8,Statement Non Opinion (neutral)
9,Statement Opinion (joy)
10,Statement Opinion (joy)
11,Question (neutral)
12,Statement Non Opinion (neutral)
13,Statement Non Opinion (neutral)
14,Greeting (joy)
15,Statement Opinion (joy)
16,Statement Opinion (joy)
17,Statement Non Opinion (surprise)
18,Question (neutral)
19,Statement Non Opinion (surprise)
20,Statement Non Opinion (surprise)
21,Statement Opinion (joy)
22,Statement Opinion (joy)
1,Statement Opinion (joy)
2,Statement Non Opinion (surprise)
3,Question (neutral)
4,Statement Non Opinion (neutral)
5,Statement Non Opinion (neutral)
6,Question (neutral)
7,Statement Non Opinion (neutral)
8,Question (surprise)
9,Statement Non Opinion (neutral)
10,Statement Opinion (joy)
11,Statement Opinion (joy)
12,Statement Non Opinion (surprise)
13,Statement Non Opinion (neutral)
14,Greeting (joy)
15,Greeting (joy)
1,Statement Non Opinion (neutral)
2,Command (neutral)
3,Statement Non Opinion (neutral)
4,Question (neutral)
5,Statement Opinion (joy)
6,Question (neutral)
7,Statement Non Opinion (neutral)
8,Acknowledge (sadness)
9,Statement Non Opinion (neutral)
1,Greeting (neutral)
2,Question (neutral)
3,Statement Opinion (joy)
4,Question (surprise)
5,Statement Non Opinion (neutral)
6,Statement Opinion (disgust)
7,Statement Opinion (joy)
8,Question (surprise)
9,Question (surprise)
10,Statement Opinion (disgust)
11,Question (neutral)
12,Statement Non Opinion (neutral)
13,Statement Opinion (joy)
14,Statement Non Opinion (neutral)
15,Statement Non Opinion (surprise)
1,Statement Opinion (joy)
2,Statement Opinion (joy)
1,Question (surprise)
2,Statement Non Opinion (neutral)
3,Greeting (neutral)
1,Statement Opinion (joy)
2,Statement Opinion (joy)
3,Question (neutral)
4,Statement Opinion (joy)
5,Statement Non Opinion (sadness)
1,Statement Non Opinion (neutral)
2,Question (joy)
3,Statement Non Opinion (neutral)
4,Acknowledge (neutral)
5,Question (neutral)
6,Statement Non Opinion (fear)
7,Question (neutral)
8,Statement Non Opinion (neutral)
9,Statement Opinion (joy)
10,Statement Opinion (joy)
11,Agreement (joy)
12,Question (fear)
13,Statement Opinion (joy)
14,Statement Non Opinion (neutral)
1,Command (anger)
2,Statement Non Opinion (joy)
3,Statement Opinion (disgust)
4,Statement Opinion (anger)
5,Statement Opinion (anger)
6,Question (surprise)
7,Command (anger)
8,Question (neutral)
9,Statement Opinion (disgust)
10,Question (neutral)
11,Statement Non Opinion (neutral)
12,Question (neutral)
13,Statement Non Opinion (neutral)
14,Statement Opinion (anger)
15,Statement Non Opinion (neutral)
16,Statement Opinion (anger)
1,Statement Opinion (anger)
2,Statement Opinion (joy)
3,Question (anger)
1,Statement Non Opinion (joy)
2,Greeting (joy)
3,Command (anger)
4,Statement Non Opinion (joy)
5,Greeting (joy)
6,Statement Non Opinion (joy)
7,Statement Non Opinion (sadness)
8,Statement Non Opinion (sadness)
1,Statement Opinion (anger)
2,Statement Opinion (anger)
3,Statement Non Opinion (neutral)
4,Statement Non Opinion (anger)
5,Statement Non Opinion (anger)
6,Statement Opinion (anger)
7,Statement Non Opinion (sadness)
8,Statement Opinion (joy)
1,Greeting (anger)
2,Question (neutral)
3,Statement Non Opinion (neutral)
4,Statement Non Opinion (surprise)
5,Question (neutral)
6,Statement Non Opinion (neutral)
7,Question (surprise)
8,Question (neutral)
9,Command (neutral)
10,Statement Opinion (joy)
11,Statement Opinion (joy)
12,Question (sadness)
13,Statement Non Opinion (neutral)
14,Statement Opinion (joy)
15,Statement Opinion (anger)
16,Statement Opinion (joy)
1,Statement Opinion (joy)
2,Question (neutral)
3,Statement Opinion (anger)
4,Statement Opinion (anger)
5,Statement Opinion (anger)
6,Statement Opinion (anger)
7,Statement Non Opinion (neutral)
1,Statement Non Opinion (surprise)
2,Question (neutral)
3,Acknowledge (neutral)
4,Statement Non Opinion (neutral)
5,Statement Non Opinion (neutral)
6,Statement Opinion (joy)
7,Acknowledge (neutral)
8,Statement Non Opinion (neutral)
9,Statement Non Opinion (neutral)
10,Statement Non Opinion (neutral)
11,Question (neutral)
12,Statement Non Opinion (neutral)
13,Statement Non Opinion (neutral)
14,Statement Non Opinion (neutral)
15,Question (surprise)
16,Statement Non Opinion (neutral)
1,Statement Non Opinion (sadness)
2,Statement Non Opinion (neutral)
3,Question (anger)
4,Statement Non Opinion (neutral)
5,Question (surprise)
6,Command (anger)
7,Statement Non Opinion (neutral)
8,Statement Opinion (anger)
9,Command (disgust)
10,Question (anger)
11,Command (anger)
12,Statement Non Opinion (neutral)
1,Question (neutral)
2,Statement Non Opinion (surprise)
3,Statement Non Opinion (surprise)
4,Statement Non Opinion (neutral)
5,Question (neutral)
6,Statement Non Opinion (neutral)
7,Statement Non Opinion (surprise)
8,Question (surprise)
9,Statement Non Opinion (neutral)
10,Statement Non Opinion (surprise)
11,Statement Opinion (anger)
12,Greeting (neutral)
13,Greeting (joy)
1,Question (neutral)
2,Statement Opinion (joy)
3,Greeting (joy)
4,Statement Non Opinion (surprise)
5,Disagreement (anger)
6,Statement Opinion (anger)
7,Statement Non Opinion (neutral)
8,Question (neutral)
9,Statement Non Opinion (joy)
10,Statement Non Opinion (neutral)
11,Question (surprise)
12,Statement Non Opinion (neutral)
13,Disagreement (disgust)
14,Command (anger)
15,Command (disgust)
16,Command (disgust)
17,Command (disgust)
18,Command (disgust)
1,Greeting (neutral)
2,Greeting (joy)
3,Question (neutral)
4,Statement Non Opinion (neutral)
5,Question (neutral)
6,Statement Non Opinion (neutral)
7,Statement Non Opinion (fear)
8,Greeting (joy)
9,Statement Non Opinion (neutral)
10,Statement Non Opinion (neutral)
11,Question (surprise)
12,Statement Non Opinion (neutral)
13,Statement Non Opinion (surprise)
14,Statement Non Opinion (neutral)
15,Statement Non Opinion (sadness)
16,Statement Non Opinion (anger)
1,Apology (fear)
2,Statement Non Opinion (neutral)
3,Question (neutral)
4,Statement Non Opinion (neutral)
5,Statement Non Opinion (anger)
6,Question (neutral)
7,Statement Non Opinion (sadness)
8,Statement Non Opinion (anger)
9,Statement Non Opinion (anger)
10,Statement Non Opinion (sadness)
11,Statement Non Opinion (sadness)
12,Acknowledge (neutral)
13,Question (joy)
14,Statement Non Opinion (neutral)
15,Agreement (neutral)
16,Acknowledge (neutral)
17,Statement Non Opinion (anger)
18,Question (neutral)
19,Acknowledge (neutral)
20,Question (neutral)
21,Statement Non Opinion (neutral)
22,Statement Opinion (joy)
23,Acknowledge (neutral)
1,Statement Non Opinion (neutral)
2,Statement Non Opinion (neutral)
3,Statement Non Opinion (neutral)
4,Statement Non Opinion (neutral)
5,Statement Non Opinion (sadness)
6,Statement Non Opinion (sadness)
7,Apology (sadness)
8,Statement Non Opinion (neutral)
9,Statement Opinion (joy)
10,Statement Non Opinion (neutral)
11,Statement Non Opinion (surprise)
1,Question (surprise)
2,Statement Non Opinion (sadness)
3,Statement Opinion (anger)
4,Statement Non Opinion (neutral)
5,Question (neutral)
6,Statement Opinion (anger)
7,Question (surprise)
8,Statement Non Opinion (sadness)
9,Statement Non Opinion (neutral)
10,Statement Opinion (sadness)
11,Statement Non Opinion (neutral)
12,Statement Non Opinion (neutral)
13,Statement Non Opinion (neutral)
14,Statement Non Opinion (neutral)
15,Statement Non Opinion (neutral)
1,Statement Non Opinion (neutral)
2,Statement Non Opinion (neutral)
3,Statement Non Opinion (neutral)
4,Statement Non Opinion (neutral)
5,Statement Non Opinion (neutral)
6,Statement Non Opinion (sadness)
7,Statement Non Opinion (fear)
8,Statement Non Opinion (neutral)
9,Statement Opinion (joy)
10,Statement Opinion (joy)
11,Statement Opinion (joy)
12,Statement Non Opinion (anger)
13,Statement Opinion (joy)
14,Statement Opinion (anger)
15,Statement Non Opinion (neutral)
16,Statement Opinion (joy)
17,Statement Non Opinion (neutral)
18,Statement Non Opinion (surprise)
19,Statement Non Opinion (neutral)
20,Statement Non Opinion (neutral)
21,Statement Non Opinion (fear)
1,Statement Non Opinion (neutral)
2,Statement Opinion (joy)
3,Statement Non Opinion (neutral)
4,Statement Opinion (joy)
5,Statement Non Opinion (neutral)
6,Statement Opinion (joy)
7,Question (neutral)
8,Statement Non Opinion (fear)
9,Statement Non Opinion (neutral)
10,Statement Opinion (joy)
11,Statement Opinion (joy)
12,Statement Opinion (joy)
1,Statement Non Opinion (neutral)
2,Question (neutral)
3,Statement Non Opinion (neutral)
4,Question (neutral)
5,Statement Non Opinion (neutral)
1,Statement Opinion (joy)
2,Statement Opinion (joy)
3,Statement Opinion (joy)
4,Statement Opinion (joy)
5,Statement Opinion (joy)
6,Statement Opinion (joy)
1,Greeting (neutral)
2,Statement Non Opinion (neutral)
3,Statement Non Opinion (neutral)
4,Statement Non Opinion (surprise)
5,Statement Non Opinion (surprise)
6,Statement Non Opinion (surprise)
7,Statement Non Opinion (surprise)
8,Question (surprise)
9,Question (surprise)
10,Statement Non Opinion (surprise)
11,Statement Non Opinion (neutral)
12,Statement Non Opinion (surprise)
1,Statement Opinion (joy)
2,Statement Opinion (joy)
3,Statement Opinion (joy)
4,Statement Non Opinion (neutral
