text,DeepSeek
6,(Statement Non Opinion) - sadness
7,Does it have to do with Ross and Rachel? (Question) - neutral
8,(Answer) - neutral
9,Does it have to do with Joey? (Question) - neutral
10,(Answer) - neutral
11,Does it have to do with-with Chandler and that sock that he keeps by his bed? (Question) - disgust
12,"No, but let's come back to that later! (Answer) - joy"
1,joy
2,neutral
3,neutral
4,disgust
5,anger
6,neutral
7,joy
8,neutral
9,joy
1,(Statement Opinion) - **joy**
2,- Rachel - So forcing her to marry Bobby is gonna make that happen? (Question) - **anger**
3,"so-so uh, what kind of music does Numb Nuts--Oh forget it! I can't! (Answer) - **disgust**"
4,(Statement Non Opinion) - **fear**
5,(Statement Opinion) - **neutral**
6,(Statement Non Opinion) - **neutral**
7,(Statement Non Opinion) - **joy**
8,Why can't you do that for me? (Question) - **sadness**
9,'Cause you're my baby sister! (Answer) - **anger**
10,- Dina - And you're my big brother! (Statement Non Opinion) - **joy**
11,(Statement Opinion) - **joy**
12,(Statement Non Opinion) - **neutral**
13,(Statement Non Opinion) - **fear**
14,(Statement Opinion) - **fear**
15,(Statement Opinion) - **sadness**
16,(Statement Non Opinion) - **neutral**
17,- Dina - Is my baby gonna have his Uncle Joey? (Question) - **sadness**
18,- Joey - Of course he's gonna have his Uncle Joey! (Answer) - **joy**
19,(Statement Opinion) - **joy**
20,- Joey - That's right! By his uncle too! (Agreement) - **joy**
21,(Others) - **neutral**
22,(Statement Non Opinion) - **neutral**
23,- Joey - Come here! (Command) - **joy**
24,- Rachel - No! Seriously! What's wrong with you?! (Question) - **anger**
1,joy
2,joy
3,neutral
4,surprise
5,neutral
6,neutral
7,neutral
8,neutral
9,anger
10,anger
11,anger
12,anger
13,anger
14,anger
15,anger
16,anger
17,neutral
1,surprise
2,neutral
3,joy
4,neutral
5,neutral
6,neutral
7,anger
8,neutral
9,fear
10,anger
1,surprise
2,neutral
3,joy
4,joy
5,anger
6,surprise
7,neutral
8,neutral
9,anger
10,neutral
1,joy
2,joy
3,neutral
4,neutral
5,joy
6,neutral
7,joy
8,joy
9,joy
10,neutral
1,neutral
2,neutral
3,anger
4,neutral
5,neutral
6,neutral
7,neutral
8,joy
9,anger
1,- neutral
2,- joy
3,- neutral
4,- neutral
5,- joy
6,- neutral
7,- neutral
8,- neutral
9,- disgust
10,- neutral
11,- neutral
1,joy
2,disgust
3,joy
4,surprise
5,joy
6,anger
7,neutral
8,sadness
1,disgust
2,neutral
3,joy
4,neutral
5,sadness
6,joy
7,neutral
8,joy
9,joy
10,anger
11,neutral
12,anger
13,joy
1,neutral
2,surprise
3,neutral
4,joy
1,neutral
2,sadness
3,neutral
4,neutral
5,surprise
6,frustration
7,neutral
8,sadness
9,joy
10,joy
11,sadness
12,neutral
1,surprise
2,neutral
3,joy
4,joy
5,joy
6,sadness
7,joy
8,joy
9,neutral
10,joy
11,anger
12,neutral
13,neutral
14,neutral
15,sadness
1,anger
2,joy
3,neutral
4,surprise
1,neutral
2,neutral
3,neutral
4,surprise
5,sadness
6,joy
7,anger
1,joy
2,surprise
3,neutral
4,neutral
5,anger
6,anger
7,disgust
8,anger
9,joy
1,- Rachel - Pheebs? (Question) - neutral
2,Yeah? (Answer) - neutral
1,neutral
2,surprise
3,"frustration (or anger, since ""Oh no-no-no"" suggests irritation)"
4,"sadness (or neutral, as it's a polite apology)"
5,neutral
6,neutral
7,neutral
8,"joy (or neutral, as it's a playful statement)"
"(Note: Some interpretations may vary based on tone, but these are reasonable choices based on the text",)
1,neutral
2,joy
3,joy
4,neutral
5,neutral
6,neutral
7,surprise
8,neutral
9,neutral
10,neutral
11,surprise
12,neutral
1,(Statement Non Opinion) - **joy**
2,(Statement Opinion) - **neutral**
3,(Statement Non Opinion) - **neutral**
4,(Agreement) - **neutral**
5,(Statement Non Opinion) - **disgust**
6,- Phoebe - Jason is not a sissy! (Disagreement) - **anger**
7,(Statement Non Opinion) - **fear**
1,neutral
2,surprise
3,neutral
4,neutral
5,neutral
6,neutral
7,joy
8,joy
9,question (neutral)
"(Note: Some statements are factual or conversational without strong emotional cues, hence labeled as neutral",)
1,neutral
2,sadness
3,neutral
4,anger
5,joy
1,"- Ross - Ah-ha, nowhere to run! (Statement Non Opinion) - **joy**"
2,- Rachel - I don't like sitting up here! I'm just gonna over (Statement Opinion) - **fear**
3,- Phoebe - No Rachel! They got here first! (Statement Non Opinion) - **anger**
4,- Phoebe - Why is Ross doing that? (Question) - **surprise**
5,- Ross - DANGER (Others) - **fear**
6,- Rachel - Oh my God! Why is he jumping on those women! (Question) - **surprise**
1,(Statement Opinion) - **neutral**
2,- Rachel - Oh but look! That's gonna leave a stain! (Statement Non Opinion) - **anger**
3,- Joey - Rach! Hey! It's fine! You're at Joey's! (Statement Opinion) - **joy**
4,- Rachel - Really? (Question) - **surprise**
5,- Joey - Yeah! Look! (Answer) - **joy**
6,(Statement Non Opinion) - **sadness**
7,(Agreement) - **neutral**
8,(Statement Opinion) - **disgust**
1,neutral
2,joy
3,surprise
4,neutral
5,joy
6,neutral
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,neutral
7,joy
8,surprise
9,neutral
10,sadness
11,neutral
12,sadness
13,neutral
14,neutral
15,sadness
16,sadness
17,sadness
1,neutral
2,surprise
3,anger
4,sadness
5,anger
6,neutral
7,neutral
8,joy
9,disgust
10,anger
11,joy
1,- Charlton Heston - Hello! Who's in there? (Question) - **neutral**
2,How ya doin'? (Question) - **joy**
3,Who in the hell are you? (Question) - **anger**
4,"I guess you wouldn't believe me if I said I was Kurt Douglas, huh? (Answer) - **joy**"
1,fear
2,joy
3,anger
4,disgust
5,joy
6,sadness
7,sadness
1,(Apology) - **sadness**
2,(Acknowledge) - **neutral**
3,"So Pheebs, what is the book about? (Question) - **neutral**"
4,(Answer) - **surprise**
5,"Well yeah, but then I remembered I started it and there was this pep rally and I was, I was on top of the pyramid but anyway--umm, what is this book about? (Statement Non Opinion) - **joy**"
1,neutral
2,surprise
3,surprise
4,neutral
5,neutral
6,joy
7,neutral
8,neutral
9,joy
10,neutral
11,joy
1,"- Rachel - Oh, are you sure you're ok? (Question) - **concern**"
2,(Answer) - **neutral**
3,Does it still hurt? (Question) - **concern**
4,(Answer) - **sadness**
5,(Statement Opinion) - **joy**
6,(Greeting) - **neutral**
7,"Hey, how'd it go? (Question) - **neutral**"
8,(Answer) - **joy**
9,(Statement Non Opinion) - **anger**
10,(Statement Opinion) - **joy**
"(Note: Since ""concern"" was not in the original list, I used the closest alternatives—**sadness** or **neutral**—where applicable",)
1,**sadness**
2,**neutral**
3,**sadness**
4,**sadness**
5,**joy**
6,**neutral**
7,**neutral**
8,**joy**
9,**anger**
10,**joy**
1,joy
2,joy
3,neutral
4,fear
1,anger
2,neutral
3,joy
4,joy
5,surprise
6,surprise
7,neutral
8,neutral
9,joy
10,surprise
11,anger
12,anger
13,neutral
14,joy
1,anger
2,anger
3,sadness
4,neutral
1,joy
2,disgust
3,neutral
4,joy
5,joy
6,anger
7,sadness
8,fear
1,neutral
2,neutral
3,neutral
4,neutral
5,anger
6,fear
7,anger
8,sadness
9,neutral
10,joy
11,joy
12,joy
13,neutral
14,joy
15,neutral
16,joy
1,joy
2,surprise
3,neutral
4,disgust
5,joy
6,sadness
7,surprise
8,anger
9,anger
10,neutral
11,anger
12,neutral
13,surprise
14,sadness
15,joy
16,joy
17,neutral
18,joy
1,neutral
2,neutral
3,surprise
4,joy
5,joy
1,neutral
2,fear
3,neutral
4,surprise
5,disgust
1,joy
2,joy
3,neutral
4,joy
5,neutral
6,neutral
7,joy
8,anger
9,joy
10,neutral
11,anger
12,anger
13,neutral
14,joy
15,joy
16,neutral
17,neutral
18,neutral
19,neutral
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,neutral
7,surprise
8,surprise
9,neutral
10,anger
11,neutral
12,neutral
13,neutral
1,joy
2,neutral
3,surprise
4,neutral
5,neutral
6,neutral
7,joy
8,joy
1,joy
2,sadness
3,neutral
4,surprise
5,neutral
6,anger
7,neutral
8,neutral
9,neutral
10,disgust
1,anger
2,sadness
3,fear
4,fear
5,disgust
6,joy
7,neutral
8,neutral
9,neutral
10,sadness
1,joy
2,neutral
3,joy
4,neutral
5,joy
6,neutral
7,joy
1,joy
2,disgust
3,joy
4,joy
5,joy
6,sadness
7,anger
8,anger
9,surprise
10,neutral
11,neutral
12,neutral
13,sadness
14,neutral
15,anger
16,neutral
17,sadness
18,sadness
19,surprise
20,surprise
21,joy
1,neutral
2,surprise
3,anger
4,disgust
5,joy
6,joy
1,joy
2,neutral
3,joy
4,neutral
5,neutral
6,sadness
7,sadness
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,joy
14,fear
15,neutral
16,anger
17,anger
18,anger
1,- Ross - And they knew about it? (Statement Non Opinion) - **anger**
2,"- Phoebe - Okay, well Ross, what is this really about? (Question) - **neutral**"
3,"- Ross - Look, this is my home and I want to be able to come and go whenever I want! (Answer) - **anger**"
4,I just don't know what the big deal is! (Question) - **sadness**
5,(Answer) - **disgust**
1,fear
2,anger
3,sadness
4,neutral
5,sadness
6,sadness
7,disgust
8,joy
9,joy
10,fear
11,neutral
1,(Command) - **joy**
2,- Chandler - It says here that there's a place you can go to rent videos of all the museums! (Statement Non Opinion) - **neutral**
3,""" (Statement Opinion) - **joy**"
4,- Joey - It's better! You can't go to a museum in your underwear! (Statement Non Opinion) - **joy**
5,- Joey - Oh-ho! I bet the British version is gooooood! (Statement Opinion) - **joy**
1,neutral
2,neutral
3,anger
4,neutral
5,anger
6,neutral
7,anger
8,surprise
1,joy
2,neutral
3,sadness
4,surprise
5,neutral
6,neutral
7,neutral
8,anger
1,fear
2,neutral
3,sadness
4,anger
1,(Statement Non Opinion) - **neutral**
2,(Statement Non Opinion) - **neutral**
3,(Agreement) - **neutral**
4,"- Ross - Chandler, what kind of an idiot do you take me for? (Statement Opinion) - **anger**"
5,- Chandler - It's not a real game! I made it up! (Statement Non Opinion) - **neutral**
6,(Apology) - **sadness**
1,neutral
2,neutral
3,joy
4,neutral
5,sadness
6,neutral
7,anger
8,surprise
9,anger
10,neutral
11,neutral
12,neutral
13,neutral
1,(Statement Non Opinion) - **fear**
2,(Statement Opinion) - **joy**
3,Why? Do you have the answers written on there? (Question) - **surprise**
4,(Answer) - **anger**
5,(Statement Non Opinion) - **neutral**
6,(Statement Non Opinion) - **neutral**
7,(Agreement) - **neutral**
8,(Agreement) - **neutral**
9,What was Monica's nickname when she was a field hockey goalie? (Question) - **neutral**
10,(Answer) - **joy**
11,Rachel claims (Question) - **neutral**
12,Dangerous Liaisons (Answer) - **neutral**
13,(Question) - **neutral**
14,Weekend at Bernie's (Answer) - **joy**
1,joy
2,joy
3,neutral
4,neutral
5,anger
6,neutral
7,sadness
1,neutral
2,sadness
3,joy
4,neutral
5,joy
6,anger
7,neutral
8,anger
9,neutral
10,sadness
11,neutral
12,neutral
13,disgust
14,disgust
15,neutral
16,joy
1,neutral
2,anger
3,neutral
4,neutral
5,anger
6,neutral
7,anger
8,neutral
9,anger
10,neutral
11,anger
1,joy
2,surprise
3,neutral
4,disgust
5,sadness
6,neutral
7,sadness
8,surprise
9,sadness
10,neutral
11,surprise
12,joy
1,fear
2,joy
3,neutral
4,neutral
5,surprise
6,surprise
7,joy
8,neutral
9,surprise
1,joy
2,anger
3,joy
4,neutral
5,joy
6,anger
7,neutral
8,neutral
9,neutral
10,sadness
11,neutral
12,neutral
13,anger
1,neutral
2,anger
3,anger
4,anger
5,joy
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,joy
7,neutral
8,joy
9,neutral
10,joy
1,joy
2,anger
3,sadness
4,disgust
5,sadness
6,sadness
7,neutral
8,neutral
9,neutral
10,joy
11,anger
12,neutral
13,surprise
14,neutral
15,neutral
1,joy
2,sadness
3,neutral
4,disgust
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,surprise
11,neutral
12,joy
13,neutral
14,neutral
15,joy
16,joy
17,joy
18,joy
1,(Statement Opinion) - **neutral**
2,(Apology) - **sadness**
3,"You okay? (Question) - **concern** (if ""concern"" is not an option, **neutral** would be the closest)"
1,**neutral**
2,**sadness**
3,**neutral**
1,surprise
2,neutral
3,sadness
4,concern
5,neutral
6,concern
7,fear
8,neutral
9,sadness
10,neutral
11,neutral
1,fear
2,neutral
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,surprise
10,neutral
1,neutral
2,sadness
3,surprise
4,neutral
5,neutral
1,neutral
2,neutral
3,neutral
4,sadness
5,surprise
6,joy
7,joy
8,joy
1,neutral
2,sadness
3,joy
4,neutral
5,surprise
6,anger
7,surprise
8,neutral
9,neutral
10,neutral
11,anger
12,fear
13,neutral
14,surprise
15,neutral
16,neutral
17,surprise
1,joy
2,anger
3,neutral
4,joy
5,surprise
6,joy
1,joy
2,neutral
3,surprise
1,neutral
2,neutral
3,sadness
4,sadness
5,sadness
6,joy
7,joy
8,neutral
1,joy
2,joy
1,neutral
2,neutral
3,sadness
4,joy
5,neutral
1,neutral
2,neutral
3,joy
4,neutral
5,surprise
6,joy
1,surprise
2,neutral
3,neutral
4,anger
5,neutral
6,neutral
7,neutral
8,surprise
9,anger
10,neutral
11,anger
12,neutral
13,disgust
14,sadness
15,neutral
16,anger
17,surprise
18,neutral
19,anger
1,neutral
2,sadness
3,neutral
4,neutral
5,neutral
6,neutral
7,joy
8,neutral
9,neutral
10,sadness
11,sadness
12,sadness
13,sadness
1,neutral
2,surprise
3,neutral
4,surprise
5,neutral
6,anger
7,confusion
8,neutral
9,disgust
10,neutral
11,neutral
12,anger
1,anger
2,neutral
3,anger
4,surprise
5,disgust
6,surprise
7,disgust
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,sadness
14,surprise
15,neutral
16,neutral
17,sadness
18,neutral
19,sadness
20,neutral
21,sadness
1,fear
2,anger
3,sadness
4,joy
1,fear
2,neutral
3,anger
4,sadness
1,joy
2,joy
3,joy
4,surprise
5,surprise
6,neutral
7,surprise
8,neutral
9,neutral
10,sadness
11,neutral
12,neutral
13,neutral
14,anger
15,neutral
1,- Monica - Oh my God! (Others) - **surprise**
2,(Statement Opinion) - **sadness**
3,How did you get through it? (Question) - **sadness**
4,"Well, you might try accidentally breaking something valuable of hers, say her- (Answer) - **neutral**"
5,#NAME? (Answer) - **neutral**
6,(Statement Opinion) - **neutral**
7,You actually broke her watch? (Question) - **surprise**
8,(Apology) - **sadness**
9,(Apology) - **sadness**
10,(Statement Opinion) - **sadness**
1,sadness
2,joy
3,neutral
4,neutral
5,neutral
6,joy
7,neutral
8,neutral
9,anger
10,neutral
11,anger
12,anger
13,anger
1,joy
2,neutral
3,anger
4,surprise
5,anger
6,surprise
7,anger
8,anger
9,neutral
1,neutral
2,neutral
3,joy
4,joy
5,joy
6,surprise
7,neutral
8,neutral
9,joy
10,neutral
11,neutral
12,joy
13,neutral
1,sadness
2,neutral
3,surprise
4,joy
5,neutral
6,fear
7,neutral
8,anger
9,surprise
10,surprise
11,sadness
12,neutral
1,joy
2,joy
3,joy
1,anger
2,joy
3,anger
4,joy
5,surprise
6,surprise
7,neutral
1,joy
2,surprise
3,neutral
4,neutral
5,neutral
6,joy
7,neutral
8,joy
9,joy
10,anger
1,neutral
2,joy
3,neutral
4,neutral
5,neutral
6,sadness
7,surprise
8,neutral
9,anger
10,sadness
11,neutral
12,sadness
13,neutral
14,neutral
15,sadness
16,sadness
17,neutral
18,joy
1,joy
2,neutral
3,neutral
4,neutral
5,sadness
6,surprise
1,neutral
2,surprise
1,anger
2,neutral
3,surprise
4,joy
5,surprise
6,neutral
7,neutral
8,sadness
9,sadness
10,sadness
11,neutral
1,neutral
2,neutral
3,surprise
4,neutral
5,sadness
6,fear
7,fear
8,fear
9,joy
10,joy
1,joy
2,joy
3,anger
4,surprise
5,neutral
6,joy
7,neutral
8,neutral
9,joy
10,neutral
11,neutral
12,neutral
13,anger
14,neutral
15,anger
16,neutral
17,joy
18,neutral
19,neutral
20,joy
1,"Chandler - Hey, anybody got a length of rope about six feet long with a little noose at the end? (Question) - **neutral**"
