Utterance_Das,Original_Label,DeepSeek
What?! (Question) ,surprise,surprise
He was with her when he wrote this poem. (Statement Non Opinion) ,neutral,sadness
"Look, 'My vessel so empty with nothing inside. (Statement Non Opinion) ",neutral,sadness
"Now that I've touched you, you seem emptier still.' (Statement Non Opinion) ",neutral,sadness
"He thinks Monica is empty, she is the empty vase! (Statement Opinion) ",surprise,anger
"Oh, totally. Oh, God, oh, she seemed so happy too. (Statement Opinion) ",sadness,sadness
Done. (Agreement) ,neutral,neutral
Hey! (Greeting) ,surprise,joy
Hi! (Greeting) ,joy,joy
What are you doing here? (Question) ,surprise,surprise
"Ah y'know, this building is on my paper route so I... (Statement Non Opinion) ",neutral,neutral
Oh. (Backchannel) ,neutral,neutral
Hi. (Greeting) ,neutral,joy
Hi. (Greeting) ,neutral,joy
How'd did it go? (Question) ,neutral,neutral
"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up. (Statement Non Opinion) ",joy,joy
I'm so proud of you. (Apology) ,joy,joy
Me too! (Agreement) ,joy,joy
"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so... (Apology) ",sadness,sadness
I know. (Agreement) ,neutral,neutral
Yeah. (Backchannel) ,neutral,neutral
Yeah. (Backchannel) ,neutral,neutral
Ameri-can. (Others) ,neutral,neutral
Ameri-ccan. (Others) ,neutral,neutral
Ameri-can. Y'know it's a (Statement Non Opinion) ,neutral,neutral
Everybody!! (Others) ,surprise,joy
Good job Joe! Well done! Top notch! (Apology) ,joy,joy
You liked it? You really liked it? (Question) ,surprise,surprise
"Oh-ho-ho, yeah! (Answer) ",joy,joy
Which part exactly? (Question) ,neutral,neutral
The whole thing! Can we go? (Answer) ,neutral,joy
"Oh no-no-no, give me some specifics. (Command) ",anger,anger
"I love the specifics, the specifics were the best part! (Statement Opinion) ",joy,joy
"Hey, what about the scene with the kangaroo? Did-did you like that part? (Question) ",neutral,neutral
I was surprised to see a kangaroo in a World War I epic. (Answer) ,surprise,surprise
You fell asleep!! (Statement Non Opinion) ,anger,anger
There was no kangaroo! (Statement Non Opinion) ,anger,anger
They didn't take any of my suggestions! (Statement Non Opinion) ,anger,anger
That's for coming buddy. (Statement Opinion) ,neutral,joy
I'll see you later. (Statement Non Opinion) ,neutral,neutral
Don't go! (Command) ,sadness,fear
I'm sorry. (Apology) ,sadness,sadness
I'm so sorry! (Apology) ,sadness,sadness
Look! (Command) ,surprise,neutral
This guy fell asleep! (Statement Non Opinion) ,anger,neutral
He fell asleep too! (Statement Non Opinion) ,anger,neutral
Be mad at him! (Statement Opinion) ,anger,anger
"Or, call an ambulance. (Statement Opinion) ",anger,neutral
"Okay, look, I think we have to tell Rachel she messed up her dessert. (Statement Opinion) ",neutral,neutral
"What?! What is with everybody? It's Thanksgiving, not...Truth-Day! (Question) ",anger,anger
"Yes, and it is my dying wish to have that ring. (Statement Opinion) ",neutral,sadness
"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity (Statement Opinion) ",neutral,fear
"Okay, that's enough honey! (Statement Non Opinion) ",neutral,anger
I don't know. Let me see the ring. (Statement Non Opinion) ,neutral,neutral
"Great! Okay, here. (Agreement) ",joy,joy
All right. (Others) ,neutral,neutral
Thank you. Thank you. Thank you! And (Acknowledge) ,joy,joy
What've you been up to? (Question) ,neutral,neutral
"Oh, you know, the usual, teaching aerobics, partying way too much. (Answer) ",neutral,joy
"Oh, and in case you were wondering, those are my legs on the new James Bond poster. (Statement Non Opinion) ",neutral,joy
Can you hold on a moment? I have another call. I love her. (Statement Non Opinion) ,joy,joy
I know. (Agreement) ,neutral,neutral
I'm back. (Statement Non Opinion) ,neutral,neutral
"So, are we gonna get together or what? (Question) ",neutral,neutral
"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish? (Answer) ",neutral,joy
"Great, I'll see you then. (Agreement) ",neutral,joy
Ok. Ok. Having a phone has finally paid off. (Statement Non Opinion) ,joy,joy
"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."" (Statement Opinion) ",neutral,neutral
"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table. (Statement Opinion) ",neutral,joy
Oh my god. You are pure evil. (Statement Opinion) ,disgust,anger
"Ok, pure evil , horny and alone . I've done this (Statement Non Opinion) ",anger,neutral
Nobody! (Others) ,anger,anger
Nobody respects the bucket! (Statement Opinion) ,anger,anger
You wouldn't believe what people put in here! (Statement Non Opinion) ,anger,disgust
Look! (Command) ,anger,anger
"Okay, does this look like a garbage can to you? (Question) ",anger,anger
No. (Answer) ,neutral,neutral
This is my wedding. (Statement Non Opinion) ,neutral,neutral
"All right, y'know what? We really are late! Let's go! Let's go! Let's go!! (Statement Non Opinion) ",anger,anger
Fine. You'll-you'll watch it on video when we get back. (Statement Non Opinion) ,neutral,sadness
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo. (Statement Non Opinion) ,joy,joy
Thank you. (Greeting) ,neutral,neutral
Thank you. (Greeting) ,neutral,neutral
"All right, let's go! Bye, Pheebs! (Greeting) ",joy,neutral
"Bye, Pheebs! (Greeting) ",joy,neutral
London baby!! (Others) ,joy,joy
"Oh, do you need a hug? You don't have to bring me anything! (Statement Opinion) ",joy,joy
Hey! (Greeting) ,neutral,neutral
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time. (Statement Non Opinion) ,joy,joy
"That's great, but shouldn't you be on the toilet right now? (Question) ",disgust,neutral
What?! (Question) ,surprise,surprise
What's wrong with you? (Question) ,disgust,neutral
Nothing! (Answer) ,neutral,neutral
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since. (Statement Non Opinion) ",fear,fear
"But um, I don't think it's anything serious. (Statement Opinion) ",neutral,neutral
This sounds like a hernia. You have to--you-you go to the doctor! (Statement Opinion) ,surprise,fear
"No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach! (Disagreement) ",fear,fear
That's a hernia. (Statement Non Opinion) ,disgust,neutral
Why did I have to start working out again? Damn you 15s! (Question) ,anger,anger
I love your place! Where is this guy from? (Question) ,joy,joy
Uh that's an eighteenth century Indian artifact from Calcutta. (Answer) ,neutral,neutral
"Oh wow! So, you're more than just dinosaurs. (Statement Opinion) ",surprise,surprise
So much more. (Agreement) ,neutral,joy
"Well, well to sum up, we're having fun, you look young. (Statement Non Opinion) ",neutral,joy
Okay (Agreement) ,neutral,neutral
But that's not enough. So... So...here's a key to my apartment. (Statement Non Opinion) ,neutral,neutral
Really?! (Question) ,surprise,surprise
Really. (Answer) ,neutral,neutral
You don't think this is too fast. (Statement Opinion) ,neutral,fear
Get Out! (Command) ,anger,anger
"Ross, can I talk to you for a minute? (Question) ",neutral,neutral
"Yes, please! So, what's going on? (Answer) ",neutral,joy
"Uh, well... Joey and I broke up. (Statement Non Opinion) ",sadness,sadness
"Oh my God, wh-what happened? (Question) ",surprise,surprise
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus! (Answer) ",sadness,sadness
I knew that was him! (Statement Opinion) ,anger,anger
"Anyway I just, uh, I think it's for the best. (Statement Opinion) ",sadness,sadness
"Hey, you ok? (Question) ",neutral,neutral
I guess. (Answer) ,sadness,sadness
There was hum... there was another reason that I thought it was time to end it with Joey. (Statement Non Opinion) ,neutral,neutral
I started to realize that I was having feelings for someone else. (Statement Opinion) ,neutral,neutral
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker. (Statement Non Opinion) ",neutral,neutral
"Oh, professor Clerk we're kind of in the middle of a conversation, here. (Statement Non Opinion) ",neutral,neutral
"Yeah, can you guys just throw him in the pool later? (Question) ",neutral,neutral
Or we could throw you both in (Statement Opinion) ,joy,joy
"Ok, gentlemen! (Others) ",anger,neutral
Please! (Others) ,anger,neutral
Aren't we a little old for this? (Statement Opinion) ,anger,neutral
"I mean, we're scientists, right? (Statement Opinion) ",neutral,neutral
We're academics. (Statement Non Opinion) ,anger,neutral
And most importantly I... you-you will have to catch us first. (Statement Non Opinion) ,joy,joy
"GO, GO, GO! (Command) ",joy,joy
"Go, go, go! (Command) ",joy,anger
"Oh yeah, now everybody wants to be under this hat! (Statement Opinion) ",joy,disgust
Oy!! (Others) ,disgust,surprise
What's with all this sand? (Question) ,surprise,neutral
"Oh, yeah, Bob said there might be flood damage. (Statement Non Opinion) ",neutral,sadness
"Yeah, either that, or he has a really big cat. (Statement Opinion) ",neutral,joy
"Okay, see that blind guy right there? I'm gonna bash his head in later. (Statement Non Opinion) ",anger,anger
"Oh umm, my big scene is coming up. Big scene coming up. (Statement Non Opinion) ",joy,joy
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference? (Question) ",neutral,neutral
Rach? What are you doing? (Question) ,neutral,surprise
"Oh boy, I just can't watch. It's too scary! (Statement Opinion) ",fear,fear
It's a diaper commercial. (Statement Non Opinion) ,neutral,neutral
"Oh yeah well, you know me, babies, responsibilities, ahhh!!! (Statement Non Opinion) ",fear,fear
Pizza delivery! (Others) ,joy,joy
I'll get it! I will get that! (Statement Non Opinion) ,joy,joy
Hi! (Greeting) ,joy,joy
Hi! (Greeting) ,joy,joy
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh? (Question) ",neutral,joy
"Uhh, the ball thing. (Answer) ",neutral,neutral
Yeah? (Backchannel) ,neutral,neutral
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?! (Question) ",joy,joy
"Uhh, (Answer) ",neutral,neutral
Okay! (Agreement) ,joy,joy
Uh-oh. (Backchannel) ,fear,surprise
What? (Question) ,neutral,surprise
I have to pee. And Rachel's in the bathroom! (Answer) ,sadness,sadness
"Man, I didn't think we were gonna make it! (Statement Opinion) ",surprise,joy
"I know! Don't switch hands, okay? (Statement Opinion) ",fear,anger
Hey. (Greeting) ,neutral,neutral
Hey! (Greeting) ,neutral,joy
How did it go with Erin? (Question) ,neutral,neutral
"Oh, unbelievable! We had the best time! (Statement Non Opinion) ",joy,joy
"Yay!! Oh so, you're not, you're not mad at us anymore? (Question) ",joy,surprise
No! (Answer) ,joy,neutral
No! (Answer) ,joy,neutral
No! (Answer) ,joy,neutral
You guys were totally right! (Statement Opinion) ,joy,joy
This is so much better than the first time we went out. (Statement Opinion) ,joy,joy
Y'know? (Others) ,neutral,neutral
"That was so awkward, we were really nervous. (Statement Opinion) ",neutral,sadness
Didn't you sleep together? (Question) ,neutral,surprise
"Yeah, that really calms me down. (Answer) ",neutral,joy
And! (Backchannel) ,joy,neutral
We have so much in common! (Statement Non Opinion) ,joy,joy
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a (Statement Non Opinion) ",joy,neutral
"Oh my God! Listen to you talkin' about having kids. Oh my Joey. Oh, please don't get married before I do. (Statement Opinion) ",surprise,joy
Okay. (Agreement) ,neutral,neutral
How does she do that? (Question) ,surprise,surprise
I cannot sleep in a public place. (Statement Opinion) ,neutral,neutral
Would you look at her? She is so peaceful. (Question) ,joy,joy
Oh! What what what! ...Hi. (Greeting) ,surprise,surprise
"It's okay, y'know, you just nodded off again. (Statement Non Opinion) ",neutral,neutral
What's going on with you? (Question) ,surprise,neutral
I got no sleep last night! (Answer) ,anger,sadness
Why? (Question) ,neutral,neutral
"My grandmother has this new boyfriend, and they're both kind of insecure in bed. (Answer) ",disgust,disgust
"Oh, and deaf. (Others) ",neutral,neutral
"So they're constantly, like, having to reassure each other that they're having a good time. (Statement Non Opinion) ",neutral,disgust
You have no idea how loud they are! (Statement Non Opinion) ,disgust,anger
"Well, if you want, you can stay with Rachel and me tonight. (Statement Opinion) ",neutral,joy
Thanks. (Greeting) ,joy,joy
Ew! What is that? Something exploded! (Question) ,disgust,disgust
"It's just her water breaking. Calm down, will you? (Answer) ",neutral,neutral
"Water breaking, what do you mean? What's that, water breaking? (Question) ",surprise,fear
"Breathe, breathe, breathe. (Others) ",neutral,neutral
"Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead. (Statement Opinion) ",surprise,anger
Okay! You don't think I thought of that? (Statement Non Opinion) ,anger,anger
How can you not know which one? (Question) ,surprise,surprise
I mean that's unbelievable. (Statement Opinion) ,joy,surprise
"I mean, was it Gina? (Question) ",neutral,neutral
Which one is Gina? (Question) ,neutral,neutral
"Dark, big hair, with the airplane earrings. (Answer) ",neutral,neutral
"No, no, no, that's Dina. (Statement Non Opinion) ",neutral,anger
"You see you can't tell which one is which either, dwha!! (Agreement) ",surprise,joy
"I don't know, you thought 'See you Saturday' was funny. (Statement Non Opinion) ",neutral,neutral
"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with. (Statement Opinion) ",neutral,joy
You guys would never want to go to a lecture with me. (Statement Non Opinion) ,neutral,sadness
Pa-haa!! I would love to go with you. (Statement Opinion) ,joy,joy
Really!? (Question) ,surprise,surprise
"Yeah, hey I-I have clothes, I even pick them out. (Answer) ",neutral,neutral
"I mean for, for all you know I could be a fashion..... monger. (Statement Non Opinion) ",neutral,neutral
"Okay. Honey, I would love for you to go with me. What? (Statement Opinion) ",joy,joy
"What should I wear, now I'm all nervous. (Question) ",fear,fear
": I know, we did it!! Hey, that was incredible, huh?! (Statement Opinion) ",joy,joy
"I know, it was amazing! I mean, we totally nailed it, it was beautiful. (Agreement) ",joy,joy
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball. (Statement Non Opinion) ",joy,neutral
"Oh well, okay, good luck. (Greeting) ",joy,neutral
: Yeah. (Others) ,neutral,neutral
Unless you wanna practice the Foxtrot again? Or-or the Tango? (Statement Opinion) ,neutral,joy
": Ahh, thanks but no. You see I-I think I'm ready to dance with girls. (Statement Opinion) ",neutral,joy
Okay. (Agreement) ,neutral,neutral
: Yeah. (Backchannel) ,neutral,neutral
Go get 'em Treeger. (Command) ,neutral,joy
": Right. Hey, ahh, you wanna come? Marge has a girlfriend. (Question) ",neutral,joy
Really? (Backchannel) ,surprise,surprise
": Yeah, you could dance real good with her, she's the same size as me. (Answer) ",neutral,joy
"No, I'm good. (Disagreement) ",neutral,neutral
"Oh God, this is so nerve wracking! How-how do you do this? (Question) ",surprise,fear
"Well, unfortunately, I don't get many callbacks so (Answer) ",neutral,sadness
Is it a good sign that they asked us to hang around after the audition? (Question) ,surprise,surprise
Who knows? (Statement Non Opinion) ,neutral,neutral
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much. (Statement Non Opinion) ",neutral,neutral
Yes!! I knew it!! Bye-bye! So long! Later! (Greeting) ,joy,joy
Oh this is great! I might actually get to play Ben's dad! (Statement Non Opinion) ,joy,joy
Yeah! (Backchannel) ,joy,joy
"Actually, that can't happen. (Disagreement) ",neutral,neutral
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben. (Statement Opinion) ",neutral,neutral
So it'll be either you two or you two. (Statement Opinion) ,neutral,neutral
"Man, this is gonna be kinda weird. (Disagreement) ",sadness,sadness
"Yeah, it is. (Agreement) ",neutral,sadness
"No, we-we're gonna be like best friends, that's why it's gonna be weird. (Statement Opinion) ",neutral,neutral
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue. (Statement Opinion) ",sadness,joy
"Okay, all right, all right, all right! Okay! Okay, here's something, here's something blue and new. (Agreement) ",joy,joy
Please! (Others) ,anger,anger
Are you kidding? (Question) ,anger,surprise
"I-I hurt three huge men, I gave a guy a bloody nose--I mean I-I'm not proud of it but, I really am. (Statement Non Opinion) ",anger,joy
"And it's all because of you, wonderful, amazing you. (Statement Opinion) ",joy,joy
I think you've got concussion. (Statement Opinion) ,fear,neutral
"No, no, I'm serious. Thank you. (Disagreement) ",joy,neutral
You're welcome. I'm sorry. Did I hurt you? (Question) ,fear,sadness
"It's worth the pain. Y'know what, you know what? It's not. (Answer) ",sadness,sadness
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David. (Statement Opinion) ,surprise,joy
"I do! Want a hint? huh? ""I do"" ""I do"". (Statement Non Opinion) ",joy,joy
"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee. (Statement Opinion) ",neutral,joy
David is going to propose to Phoebe. (Statement Non Opinion) ,joy,neutral
What? Why? (Question) ,surprise,surprise
"Chandler, we have talked about this. (Statement Non Opinion) ",anger,anger
You are not supposed to give people advice! (Command) ,anger,anger
Now couldn't you just have made some sort of inappropriate joke? (Statement Opinion) ,anger,anger
I (Others) ,neutral,neutral
They've only been going out for a few weeks and Phoebe is completely hung up on Mike! (Statement Non Opinion) ,anger,sadness
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone (Statement Opinion) ",anger,sadness
"Man, that's some (Others) ",surprise,neutral
"Oh, that's not what you want... (Statement Non Opinion) ",neutral,neutral
"This is my father, Paul Stevens. Dad, this is Ross Geller. (Statement Non Opinion) ",neutral,neutral
It-it's great to meet you Paul. (Greeting) ,joy,joy
I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens. (Statement Opinion) ,neutral,anger
"Of course, of course, Mr. Stevens. (Agreement) ",neutral,neutral
"So Ross, what your problem? (Question) ",anger,neutral
Eh-wh--Excuse me? (Answer) ,surprise,surprise
Why can't you get a girlfriend your own age? (Question) ,anger,anger
That's funny. Umm.... It's not funny. (Answer) ,fear,sadness
I (Others) ,neutral,neutral
Okay. (Others) ,neutral,neutral
"I can, I can see that. (Statement Non Opinion) ",neutral,neutral
"Umm, but I think if you give me umm, one chance I can, I can change your mind. (Statement Opinion) ",fear,neutral
Okay. (Agreement) ,neutral,neutral
What? (Question) ,neutral,surprise
Okay. I'll give you one chance to change my mind. You got one minute. (Answer) ,anger,neutral
Daddy! (Others) ,surprise,anger
"Oh well, it's not on TV yet. (Statement Non Opinion) ",neutral,neutral
"Well, then it's not on the wall yet. (Statement Non Opinion) ",neutral,neutral
"Okay, fine, I will bring you a tape, huh? (Statement Non Opinion) ",neutral,neutral
"So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet? (Question) ",neutral,neutral
Ooooohh! (Others) ,surprise,surprise
"Oh yeah, I'm sure. And all of a sudden his hands weren't the problem anymore. (Statement Opinion) ",neutral,disgust
Was it...? (Question) ,surprise,neutral
"Oh, boy scouts could have camped under there. (Answer) ",neutral,disgust
"""Ooo,"" what? (Question) ",surprise,neutral
Uma Thurman. (Answer) ,neutral,neutral
Oh! (Others) ,surprise,surprise
The actress! (Statement Non Opinion) ,surprise,neutral
Thanks Rach. (Greeting) ,neutral,joy
So what are you gonna do? (Question) ,surprise,neutral
You have to tell her! (Statement Opinion) ,joy,anger
You have to tell her! (Statement Opinion) ,joy,anger
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue! (Statement Opinion) ",anger,anger
Guys? (Others) ,anger,neutral
Guys? (Others) ,anger,neutral
"Oh, yeah, you have to tell her. (Agreement) ",neutral,neutral
Feminist issue. That's where I went! (Statement Non Opinion) ,neutral,neutral
She is gonna hate me. (Statement Opinion) ,fear,sadness
"Yeah, well... (Others) ",neutral,neutral
Will you marry me? (Question) ,fear,joy
It's the big night! We wanted to wish you good luck! (Statement Non Opinion) ,joy,joy
"Yeah, yeah you have the ring? (Question) ",neutral,neutral
"Yeah, right here in my pocket. Pheebs? (Answer) ",neutral,neutral
Oh! Oop! (Others) ,surprise,surprise
"Okay, now will you guys get out of here? I want this is to be a surprise and she's gonna know. (Statement Opinion) ",neutral,fear
Yeah-yeah you guys. Get out of here! (Agreement) ,neutral,anger
Hi guys. (Greeting) ,neutral,neutral
You are beautiful. (Statement Opinion) ,joy,joy
"Oh, thank you! What's going on? (Question) ",joy,surprise
We're just really...very excited about this charity event that we have to go to. (Answer) ,neutral,joy
"Okay umm, Ross? (Others) ",neutral,neutral
"I'm-I'm really warm, so I'm going to be taking off my sweater. (Statement Non Opinion) ",neutral,neutral
"Now, I'm just letting you know that this is (Statement Non Opinion) ",neutral,neutral
Yep! That's hilarious! (Statement Opinion) ,joy,joy
I'm sorry. I'm done. I'm done. (Apology) ,neutral,sadness
"Y'know, last night was embarrassing for you too. (Statement Non Opinion) ",neutral,neutral
"No, not really. I mean you've seen me naked hundreds of times. (Disagreement) ",neutral,neutral
Uh-huh. But it was a first for the rest of my building. (Statement Non Opinion) ,neutral,neutral
"Okay. All right, that's true! But y'know I just don't embarrass that easily. (Statement Opinion) ",neutral,neutral
What?! You totally get embarrassed! (Question) ,surprise,surprise
"No, I don't! Ross, I think I'm just a more secure person than you are. (Answer) ",neutral,anger
Is that so? (Question) ,neutral,surprise
Yeah. (Answer) ,neutral,neutral
Hey lady! I don't care how much you want it! Okay?! I am (Statement Non Opinion) ,disgust,anger
I can't believe it! (Statement Non Opinion) ,surprise,surprise
I did it! (Statement Non Opinion) ,joy,joy
I rode a bike! (Statement Non Opinion) ,joy,joy
I never thought I'd be able to do that! (Statement Opinion) ,joy,joy
Thank you Ross. (Greeting) ,joy,joy
"Oh hey, don't thank me, thank yourself. You're the one who faced her fears and ultimately overcame them. (Statement Non Opinion) ",joy,neutral
"Hey, both you guys should be up there with me. (Statement Opinion) ",neutral,joy
"I mean, you two are-are my... I mean, I'm lucky to have just one good (Statement Non Opinion) ",neutral,sadness
Thanks man. (Acknowledge) ,neutral,joy
I gotta go check something over here. (Statement Non Opinion) ,neutral,neutral
What a baby. (Statement Non Opinion) ,sadness,disgust
Total wuss! (Others) ,sadness,anger
"Okay, we have a lot of options here, a number of prototypes for you to try on. (Statement Non Opinion) ",neutral,neutral
Wow! This looks great! (Acknowledge) ,joy,joy
"Yeah! Okay, this one is a mushroom cap. Umm, this one is made of bologna. (Statement Non Opinion) ",joy,neutral
And-and-and-and-and the toothpicks? (Statement Non Opinion) ,disgust,neutral
You kissed another woman! (Statement Non Opinion) ,anger,anger
Call it even?! (Others) ,neutral,anger
Okay! (Others) ,joy,neutral
"Well, I'm gonna go get these in some water. (Statement Non Opinion) ",neutral,neutral
Wait you stole those from these people's wedding? (Question) ,surprise,surprise
"No-no, I took them from the hotel lobby. (Answer) ",neutral,neutral
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming. (Statement Non Opinion) ",anger,anger
Hey! (Greeting) ,surprise,neutral
My sweater! (Statement Non Opinion) ,surprise,joy
I've been looking for this for like a month! (Statement Non Opinion) ,surprise,joy
Oh my God!! (Others) ,surprise,surprise
Oh my God! (Others) ,surprise,surprise
Happy?! Is that what I'm supposed to be Vic? Happy? (Question) ,anger,anger
"Well, why don't you tell me what you're supposed to be! (Question) ",anger,anger
Huh? (Backchannel) ,surprise,neutral
Because I sure as hell can't figure it out! (Statement Non Opinion) ,anger,anger
I talk to you and nothin'. (Statement Non Opinion) ,anger,sadness
"You look at me, and it's nothin'. (Statement Non Opinion) ",anger,sadness
Nothing. (Others) ,anger,sadness
"Tasty! I'm really starting to feel like you guys have a history, it's-it's nice. (Statement Opinion) ",joy,joy
I have a question about this scene. (Statement Non Opinion) ,neutral,neutral
Yes? (Agreement) ,neutral,neutral
"Well, I don't understand why Adrienne's attracted to Victor. (Question) ",disgust,neutral
"Peel the onion. First of all, he's good looking. (Answer) ",neutral,neutral
Yeah. (Agreement) ,neutral,neutral
I think my character's gonna need a little bit more of reason than that. (Statement Opinion) ,neutral,neutral
"Oh, hey, how about this one. (Statement Non Opinion) ",neutral,neutral
"Ah, it's says so in the script! (Statement Non Opinion) ",anger,neutral
"Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch. (Statement Non Opinion) ",anger,anger
It doesn't say that in the script. (Statement Non Opinion) ,anger,anger
It does in mine! (Statement Non Opinion) ,anger,anger
I can't (Disagreement) ,anger,sadness
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake. (Statement Opinion) ,anger,anger
Y'know who has a great video camera? (Question) ,neutral,neutral
Greg and Jenny? (Answer) ,neutral,neutral
Do you still wanna call 'em? I wanna call 'em. (Question) ,neutral,joy
Let's call 'em. (Answer) ,neutral,joy
Yeah! Ask them if they brought their friends any souvenirs! (Statement Non Opinion) ,joy,joy
Hello? Eighth street deli? (Greeting) ,neutral,neutral
"Hey, hang up! You get food poisoning just talkin' to that place. (Statement Non Opinion) ",disgust,disgust
"Uh sorry, wrong number. (Apology) ",fear,sadness
Here you go. (Statement Non Opinion) ,neutral,neutral
Hello? It's the deli again! (Statement Non Opinion) ,surprise,surprise
All right! I'll have a sandwich! (Statement Non Opinion) ,joy,joy
I don't think this number's right! (Statement Opinion) ,sadness,anger
Oh come on!! (Others) ,sadness,anger
"Gotta go. I miss you too, I love you, but it's getting real late now (Statement Non Opinion) ",sadness,joy
"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me? Did you know this isn't Ma? (Question) ",surprise,surprise
Her name's Ronni. She's a pet mortician. (Answer) ,neutral,neutral
Sure. So how long you been... (Question) ,neutral,neutral
"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships? (Statement Non Opinion) ",neutral,neutral
Since then?! (Question) ,surprise,surprise
"No, it's only been six years. (Answer) ",neutral,neutral
I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy. (Statement Opinion) ,neutral,sadness
...Joe. (Others) ,neutral,neutral
Y'ever been in love? (Question) ,neutral,neutral
...I d'know. (Answer) ,neutral,neutral
Then y'haven't. You're burning your tomatoes. (Statement Non Opinion) ,neutral,neutral
You're one to talk. (Statement Non Opinion) ,disgust,anger
