Utterance,Original_Labels,DeepSeek
You wouldn't believe what people put in here! (anger),Statement Non Opinion,Statement Opinion
Look! (anger),Command,Command
"Okay, does this look like a garbage can to you? (anger)",Question,Question
No. (neutral),Answer,Answer
This is my wedding. (neutral),Statement Non Opinion,Statement Non Opinion
"All right, y'know what? We really are late! Let's go! Let's go! Let's go!! (anger)",Statement Non Opinion,Command
Fine. You'll-you'll watch it on video when we get back. (neutral),Statement Non Opinion,Statement Non Opinion
Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo. (joy),Statement Non Opinion,Statement Opinion
Thank you. (neutral),Greeting,Acknowledge
Thank you. (neutral),Greeting,Acknowledge
"All right, let's go! Bye, Pheebs! (joy)",Greeting,Command
"Bye, Pheebs! (joy)",Greeting,Acknowledge
London baby!! (joy),Others,Statement Opinion
"Oh, do you need a hug? You don't have to bring me anything! (joy)",Statement Opinion,Question
Hey! (neutral),Greeting,Greeting
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time. (joy),Statement Non Opinion,Statement Opinion
"That's great, but shouldn't you be on the toilet right now? (disgust)",Question,Disagreement
What?! (surprise),Question,Question
What's wrong with you? (disgust),Question,Question
Nothing! (neutral),Answer,Statement Non Opinion
"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since. (fear)",Statement Non Opinion,Statement Opinion
"But um, I don't think it's anything serious. (neutral)",Statement Opinion,Statement Opinion
This sounds like a hernia. You have to--you-you go to the doctor! (surprise),Statement Opinion,Command
"No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach! (fear)",Disagreement,Disagreement
That's a hernia. (disgust),Statement Non Opinion,Statement Non Opinion
Why did I have to start working out again? Damn you 15s! (anger),Question,Statement Opinion
I love your place! Where is this guy from? (joy),Question,Statement Opinion
Uh that's an eighteenth century Indian artifact from Calcutta. (neutral),Answer,Answer
"Oh wow! So, you're more than just dinosaurs. (surprise)",Statement Opinion,Statement Opinion
So much more. (neutral),Agreement,Statement Non Opinion
"Well, well to sum up, we're having fun, you look young. (neutral)",Statement Non Opinion,Statement Opinion
Okay (neutral),Agreement,Acknowledge
But that's not enough. So... So...here's a key to my apartment. (neutral),Statement Non Opinion,Statement Non Opinion
Really?! (surprise),Question,Question
Really. (neutral),Answer,Answer
You don't think this is too fast. (neutral),Statement Opinion,Question
Get Out! (anger),Command,Command
"Ross, can I talk to you for a minute? (neutral)",Question,Question
"Yes, please! So, what's going on? (neutral)",Answer,Answer
"Uh, well... Joey and I broke up. (sadness)",Statement Non Opinion,Statement Non Opinion
"Oh my God, wh-what happened? (surprise)",Question,Question
"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus! (sadness)",Answer,Statement Non Opinion
I knew that was him! (anger),Statement Opinion,Statement Opinion
"Anyway I just, uh, I think it's for the best. (sadness)",Statement Opinion,Statement Opinion
"Hey, you ok? (neutral)",Question,Question
I guess. (sadness),Answer,Acknowledge
There was hum... there was another reason that I thought it was time to end it with Joey. (neutral),Statement Non Opinion,Statement Non Opinion
I started to realize that I was having feelings for someone else. (neutral),Statement Opinion,Statement Non Opinion
"Ok Geller. Last day of the conference, you know what happens to the keynote speaker. (neutral)",Statement Non Opinion,Statement Non Opinion
"Oh, professor Clerk we're kind of in the middle of a conversation, here. (neutral)",Statement Non Opinion,Statement Non Opinion
"Yeah, can you guys just throw him in the pool later? (neutral)",Question,Question
Or we could throw you both in (joy),Statement Opinion,Statement Opinion
"Ok, gentlemen! (anger)",Others,Command
Please! (anger),Others,Command
Aren't we a little old for this? (anger),Statement Opinion,Question
"I mean, we're scientists, right? (neutral)",Statement Opinion,Statement Non Opinion
We're academics. (anger),Statement Non Opinion,Statement Non Opinion
And most importantly I... you-you will have to catch us first. (joy),Statement Non Opinion,Statement Opinion
"GO, GO, GO! (joy)",Command,Command
"Go, go, go! (joy)",Command,Command
"Oh yeah, now everybody wants to be under this hat! (joy)",Statement Opinion,Statement Opinion
Oy!! (disgust),Others,Acknowledge
What's with all this sand? (surprise),Question,Question
"Oh, yeah, Bob said there might be flood damage. (neutral)",Statement Non Opinion,Statement Non Opinion
"Yeah, either that, or he has a really big cat. (neutral)",Statement Opinion,Statement Opinion
"Okay, see that blind guy right there? I'm gonna bash his head in later. (anger)",Statement Non Opinion,Statement Non Opinion
"Oh umm, my big scene is coming up. Big scene coming up. (joy)",Statement Non Opinion,Statement Non Opinion
"If you said, ""Big lima bean, bubbling up."" Would she understand the difference? (neutral)",Question,Question
Rach? What are you doing? (neutral),Question,Question
"Oh boy, I just can't watch. It's too scary! (fear)",Statement Opinion,Statement Opinion
It's a diaper commercial. (neutral),Statement Non Opinion,Statement Non Opinion
"Oh yeah well, you know me, babies, responsibilities, ahhh!!! (fear)",Statement Non Opinion,Statement Opinion
Pizza delivery! (joy),Others,Statement Non Opinion
I'll get it! I will get that! (joy),Statement Non Opinion,Statement Non Opinion
Hi! (joy),Greeting,Greeting
Hi! (joy),Greeting,Greeting
"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh? (neutral)",Question,Question
"Uhh, the ball thing. (neutral)",Answer,Statement Non Opinion
Yeah? (neutral),Backchannel,Backchannel
"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?! (joy)",Question,Statement Opinion
"Uhh, (neutral)",Answer,Backchannel
Okay! (joy),Agreement,Agreement
Uh-oh. (fear),Backchannel,Acknowledge
What? (neutral),Question,Question
I have to pee. And Rachel's in the bathroom! (sadness),Answer,Statement Non Opinion
"Man, I didn't think we were gonna make it! (surprise)",Statement Opinion,Statement Opinion
"I know! Don't switch hands, okay? (fear)",Statement Opinion,Command
Hey. (neutral),Greeting,Greeting
Hey! (neutral),Greeting,Greeting
How did it go with Erin? (neutral),Question,Question
"Oh, unbelievable! We had the best time! (joy)",Statement Non Opinion,Statement Opinion
"Yay!! Oh so, you're not, you're not mad at us anymore? (joy)",Question,Question
No! (joy),Answer,Answer
No! (joy),Answer,Answer
No! (joy),Answer,Answer
You guys were totally right! (joy),Statement Opinion,Agreement
This is so much better than the first time we went out. (joy),Statement Opinion,Statement Opinion
Y'know? (neutral),Others,Backchannel
"That was so awkward, we were really nervous. (neutral)",Statement Opinion,Statement Non Opinion
Didn't you sleep together? (neutral),Question,Question
"Yeah, that really calms me down. (neutral)",Answer,Statement Non Opinion
And! (joy),Backchannel,Backchannel
We have so much in common! (joy),Statement Non Opinion,Statement Opinion
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a (joy)",Statement Non Opinion,Statement Opinion
"Oh my God! Listen to you talkin' about having kids. Oh my Joey. Oh, please don't get married before I do. (surprise)",Statement Opinion,Statement Opinion
Okay. (neutral),Agreement,Acknowledge
How does she do that? (surprise),Question,Question
I cannot sleep in a public place. (neutral),Statement Opinion,Statement Non Opinion
Would you look at her? She is so peaceful. (joy),Question,Statement Opinion
Oh! What what what! ...Hi. (surprise),Greeting,Greeting
"It's okay, y'know, you just nodded off again. (neutral)",Statement Non Opinion,Acknowledge
What's going on with you? (surprise),Question,Question
I got no sleep last night! (anger),Answer,Statement Non Opinion
Why? (neutral),Question,Question
"My grandmother has this new boyfriend, and they're both kind of insecure in bed. (disgust)",Answer,Statement Non Opinion
"Oh, and deaf. (neutral)",Others,Statement Non Opinion
"So they're constantly, like, having to reassure each other that they're having a good time. (neutral)",Statement Non Opinion,Statement Non Opinion
You have no idea how loud they are! (disgust),Statement Non Opinion,Statement Opinion
"Well, if you want, you can stay with Rachel and me tonight. (neutral)",Statement Opinion,Statement Non Opinion
Thanks. (joy),Greeting,Acknowledge
Ew! What is that? Something exploded! (disgust),Question,Question
"It's just her water breaking. Calm down, will you? (neutral)",Answer,Statement Non Opinion
"Water breaking, what do you mean? What's that, water breaking? (surprise)",Question,Question
"Breathe, breathe, breathe. (neutral)",Others,Command
"Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead. (surprise)",Statement Opinion,Question
Okay! You don't think I thought of that? (anger),Statement Non Opinion,Statement Opinion
How can you not know which one? (surprise),Question,Question
I mean that's unbelievable. (joy),Statement Opinion,Statement Opinion
"I mean, was it Gina? (neutral)",Question,Question
Which one is Gina? (neutral),Question,Question
"Dark, big hair, with the airplane earrings. (neutral)",Answer,Statement Non Opinion
"No, no, no, that's Dina. (neutral)",Statement Non Opinion,Statement Non Opinion
"You see you can't tell which one is which either, dwha!! (surprise)",Agreement,Statement Opinion
"I don't know, you thought 'See you Saturday' was funny. (neutral)",Statement Non Opinion,Statement Non Opinion
"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with. (neutral)",Statement Opinion,Statement Opinion
You guys would never want to go to a lecture with me. (neutral),Statement Non Opinion,Statement Non Opinion
Pa-haa!! I would love to go with you. (joy),Statement Opinion,Agreement
Really!? (surprise),Question,Question
"Yeah, hey I-I have clothes, I even pick them out. (neutral)",Answer,Statement Non Opinion
"I mean for, for all you know I could be a fashion..... monger. (neutral)",Statement Non Opinion,Statement Non Opinion
"Okay. Honey, I would love for you to go with me. What? (joy)",Statement Opinion,Agreement
"What should I wear, now I'm all nervous. (fear)",Question,Question
": I know, we did it!! Hey, that was incredible, huh?! (joy)",Statement Opinion,Statement Opinion
"I know, it was amazing! I mean, we totally nailed it, it was beautiful. (joy)",Agreement,Statement Opinion
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball. (joy)",Statement Non Opinion,Statement Non Opinion
"Oh well, okay, good luck. (joy)",Greeting,Statement Non Opinion
: Yeah. (neutral),Others,Acknowledge
Unless you wanna practice the Foxtrot again? Or-or the Tango? (neutral),Statement Opinion,Question
": Ahh, thanks but no. You see I-I think I'm ready to dance with girls. (neutral)",Statement Opinion,Statement Opinion
Okay. (neutral),Agreement,Acknowledge
: Yeah. (neutral),Backchannel,Acknowledge
Go get 'em Treeger. (neutral),Command,Command
": Right. Hey, ahh, you wanna come? Marge has a girlfriend. (neutral)",Question,Question
Really? (surprise),Backchannel,Question
": Yeah, you could dance real good with her, she's the same size as me. (neutral)",Answer,Statement Non Opinion
"No, I'm good. (neutral)",Disagreement,Statement Non Opinion
"Oh God, this is so nerve wracking! How-how do you do this? (surprise)",Question,Statement Opinion
"Well, unfortunately, I don't get many callbacks so (neutral)",Answer,Statement Non Opinion
Is it a good sign that they asked us to hang around after the audition? (surprise),Question,Question
Who knows? (neutral),Statement Non Opinion,Statement Non Opinion
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much. (neutral)",Statement Non Opinion,Statement Non Opinion
Yes!! I knew it!! Bye-bye! So long! Later! (joy),Greeting,Statement Opinion
Oh this is great! I might actually get to play Ben's dad! (joy),Statement Non Opinion,Statement Opinion
Yeah! (joy),Backchannel,Agreement
"Actually, that can't happen. (neutral)",Disagreement,Statement Non Opinion
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben. (neutral)",Statement Opinion,Statement Non Opinion
So it'll be either you two or you two. (neutral),Statement Opinion,Statement Non Opinion
"Man, this is gonna be kinda weird. (sadness)",Disagreement,Statement Opinion
"Yeah, it is. (neutral)",Agreement,Agreement
"No, we-we're gonna be like best friends, that's why it's gonna be weird. (neutral)",Statement Opinion,Statement Opinion
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue. (sadness)",Statement Opinion,Statement Non Opinion
"Okay, all right, all right, all right! Okay! Okay, here's something, here's something blue and new. (joy)",Agreement,Agreement
Please! (anger),Others,Command
Are you kidding? (anger),Question,Question
"I-I hurt three huge men, I gave a guy a bloody nose--I mean I-I'm not proud of it but, I really am. (anger)",Statement Non Opinion,Statement Opinion
"And it's all because of you, wonderful, amazing you. (joy)",Statement Opinion,Statement Opinion
I think you've got concussion. (fear),Statement Opinion,Statement Opinion
"No, no, I'm serious. Thank you. (joy)",Disagreement,Acknowledge
You're welcome. I'm sorry. Did I hurt you? (fear),Question,Apology
"It's worth the pain. Y'know what, you know what? It's not. (sadness)",Answer,Statement Opinion
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David. (surprise),Statement Opinion,Statement Opinion
"I do! Want a hint? huh? ""I do"" ""I do"". (joy)",Statement Non Opinion,Answer
"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee. (neutral)",Statement Opinion,Acknowledge
David is going to propose to Phoebe. (joy),Statement Non Opinion,Statement Non Opinion
What? Why? (surprise),Question,Question
"Chandler, we have talked about this. (anger)",Statement Non Opinion,Statement Non Opinion
You are not supposed to give people advice! (anger),Command,Command
Now couldn't you just have made some sort of inappropriate joke? (anger),Statement Opinion,Question
I (neutral),Others,Backchannel
They've only been going out for a few weeks and Phoebe is completely hung up on Mike! (anger),Statement Non Opinion,Statement Opinion
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone (anger)",Statement Opinion,Statement Opinion
"Man, that's some (surprise)",Others,Acknowledge
"Oh, that's not what you want... (neutral)",Statement Non Opinion,Statement Non Opinion
"This is my father, Paul Stevens. Dad, this is Ross Geller. (neutral)",Statement Non Opinion,Statement Non Opinion
It-it's great to meet you Paul. (joy),Greeting,Greeting
I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens. (neutral),Statement Opinion,Statement Opinion
"Of course, of course, Mr. Stevens. (neutral)",Agreement,Acknowledge
"So Ross, what your problem? (anger)",Question,Question
Eh-wh--Excuse me? (surprise),Answer,Question
Why can't you get a girlfriend your own age? (anger),Question,Question
That's funny. Umm.... It's not funny. (fear),Answer,Disagreement
I (neutral),Others,Statement Non Opinion
Okay. (neutral),Others,Acknowledge
"I can, I can see that. (neutral)",Statement Non Opinion,Acknowledge
"Umm, but I think if you give me umm, one chance I can, I can change your mind. (fear)",Statement Opinion,Statement Opinion
Okay. (neutral),Agreement,Acknowledge
What? (neutral),Question,Question
Okay. I'll give you one chance to change my mind. You got one minute. (anger),Answer,Command
Daddy! (surprise),Others,Backchannel
"Oh well, it's not on TV yet. (neutral)",Statement Non Opinion,Statement Non Opinion
"Well, then it's not on the wall yet. (neutral)",Statement Non Opinion,Statement Non Opinion
"Okay, fine, I will bring you a tape, huh? (neutral)",Statement Non Opinion,Agreement
"So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet? (neutral)",Question,Question
Ooooohh! (surprise),Others,Acknowledge
"Oh yeah, I'm sure. And all of a sudden his hands weren't the problem anymore. (neutral)",Statement Opinion,Statement Non Opinion
Was it...? (surprise),Question,Question
"Oh, boy scouts could have camped under there. (neutral)",Answer,Statement Non Opinion
"""Ooo,"" what? (surprise)",Question,Question
Uma Thurman. (neutral),Answer,Statement Non Opinion
Oh! (surprise),Others,Acknowledge
The actress! (surprise),Statement Non Opinion,Statement Non Opinion
Thanks Rach. (neutral),Greeting,Acknowledge
So what are you gonna do? (surprise),Question,Question
You have to tell her! (joy),Statement Opinion,Command
You have to tell her! (joy),Statement Opinion,Command
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue! (anger)",Statement Opinion,Statement Opinion
Guys? (anger),Others,Question
Guys? (anger),Others,Question
"Oh, yeah, you have to tell her. (neutral)",Agreement,Agreement
Feminist issue. That's where I went! (neutral),Statement Non Opinion,Statement Non Opinion
She is gonna hate me. (fear),Statement Opinion,Statement Opinion
"Yeah, well... (neutral)",Others,Backchannel
Will you marry me? (fear),Question,Question
It's the big night! We wanted to wish you good luck! (joy),Statement Non Opinion,Statement Non Opinion
"Yeah, yeah you have the ring? (neutral)",Question,Question
"Yeah, right here in my pocket. Pheebs? (neutral)",Answer,Answer
Oh! Oop! (surprise),Others,Acknowledge
"Okay, now will you guys get out of here? I want this is to be a surprise and she's gonna know. (neutral)",Statement Opinion,Command
Yeah-yeah you guys. Get out of here! (neutral),Agreement,Command
Hi guys. (neutral),Greeting,Greeting
You are beautiful. (joy),Statement Opinion,Statement Opinion
"Oh, thank you! What's going on? (joy)",Question,Acknowledge
We're just really...very excited about this charity event that we have to go to. (neutral),Answer,Statement Non Opinion
"Okay umm, Ross? (neutral)",Others,Greeting
"I'm-I'm really warm, so I'm going to be taking off my sweater. (neutral)",Statement Non Opinion,Statement Non Opinion
"Now, I'm just letting you know that this is (neutral)",Statement Non Opinion,Statement Non Opinion
Yep! That's hilarious! (joy),Statement Opinion,Agreement
I'm sorry. I'm done. I'm done. (neutral),Apology,Apology
"Y'know, last night was embarrassing for you too. (neutral)",Statement Non Opinion,Statement Opinion
"No, not really. I mean you've seen me naked hundreds of times. (neutral)",Disagreement,Disagreement
Uh-huh. But it was a first for the rest of my building. (neutral),Statement Non Opinion,Statement Opinion
"Okay. All right, that's true! But y'know I just don't embarrass that easily. (neutral)",Statement Opinion,Agreement
What?! You totally get embarrassed! (surprise),Question,Disagreement
"No, I don't! Ross, I think I'm just a more secure person than you are. (neutral)",Answer,Statement Opinion
Is that so? (neutral),Question,Question
Yeah. (neutral),Answer,Answer
Hey lady! I don't care how much you want it! Okay?! I am (disgust),Statement Non Opinion,Command
I can't believe it! (surprise),Statement Non Opinion,Statement Opinion
I did it! (joy),Statement Non Opinion,Statement Opinion
I rode a bike! (joy),Statement Non Opinion,Statement Opinion
I never thought I'd be able to do that! (joy),Statement Opinion,Statement Opinion
Thank you Ross. (joy),Greeting,Acknowledge
"Oh hey, don't thank me, thank yourself. You're the one who faced her fears and ultimately overcame them. (joy)",Statement Non Opinion,Statement Opinion
"Hey, both you guys should be up there with me. (neutral)",Statement Opinion,Greeting
"I mean, you two are-are my... I mean, I'm lucky to have just one good (neutral)",Statement Non Opinion,Statement Opinion
Thanks man. (neutral),Acknowledge,Acknowledge
I gotta go check something over here. (neutral),Statement Non Opinion,Statement Non Opinion
What a baby. (sadness),Statement Non Opinion,Statement Opinion
Total wuss! (sadness),Others,Statement Opinion
"Okay, we have a lot of options here, a number of prototypes for you to try on. (neutral)",Statement Non Opinion,Statement Non Opinion
Wow! This looks great! (joy),Acknowledge,Statement Opinion
"Yeah! Okay, this one is a mushroom cap. Umm, this one is made of bologna. (joy)",Statement Non Opinion,Statement Non Opinion
And-and-and-and-and the toothpicks? (disgust),Statement Non Opinion,Question
You kissed another woman! (anger),Statement Non Opinion,Disagreement
Call it even?! (neutral),Others,Question
Okay! (joy),Others,Agreement
"Well, I'm gonna go get these in some water. (neutral)",Statement Non Opinion,Statement Non Opinion
Wait you stole those from these people's wedding? (surprise),Question,Question
"No-no, I took them from the hotel lobby. (neutral)",Answer,Statement Non Opinion
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming. (anger)",Statement Non Opinion,Statement Opinion
Hey! (surprise),Greeting,Greeting
My sweater! (surprise),Statement Non Opinion,Statement Non Opinion
I've been looking for this for like a month! (surprise),Statement Non Opinion,Statement Non Opinion
Oh my God!! (surprise),Others,Acknowledge
Oh my God! (surprise),Others,Acknowledge
Happy?! Is that what I'm supposed to be Vic? Happy? (anger),Question,Disagreement
"Well, why don't you tell me what you're supposed to be! (anger)",Question,Question
Huh? (surprise),Backchannel,Question
Because I sure as hell can't figure it out! (anger),Statement Non Opinion,Statement Opinion
I talk to you and nothin'. (anger),Statement Non Opinion,Statement Non Opinion
"You look at me, and it's nothin'. (anger)",Statement Non Opinion,Statement Non Opinion
Nothing. (anger),Others,Statement Non Opinion
"Tasty! I'm really starting to feel like you guys have a history, it's-it's nice. (joy)",Statement Opinion,Statement Opinion
I have a question about this scene. (neutral),Statement Non Opinion,Question
Yes? (neutral),Agreement,Backchannel
"Well, I don't understand why Adrienne's attracted to Victor. (disgust)",Question,Question
"Peel the onion. First of all, he's good looking. (neutral)",Answer,Statement Non Opinion
Yeah. (neutral),Agreement,Acknowledge
I think my character's gonna need a little bit more of reason than that. (neutral),Statement Opinion,Statement Opinion
"Oh, hey, how about this one. (neutral)",Statement Non Opinion,Statement Non Opinion
"Ah, it's says so in the script! (anger)",Statement Non Opinion,Statement Opinion
"Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch. (anger)",Statement Non Opinion,Statement Opinion
It doesn't say that in the script. (anger),Statement Non Opinion,Disagreement
It does in mine! (anger),Statement Non Opinion,Disagreement
I can't (anger),Disagreement,Statement Non Opinion
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake. (anger),Statement Opinion,Statement Opinion
Y'know who has a great video camera? (neutral),Question,Question
Greg and Jenny? (neutral),Answer,Question
Do you still wanna call 'em? I wanna call 'em. (neutral),Question,Question
Let's call 'em. (neutral),Answer,Agreement
Yeah! Ask them if they brought their friends any souvenirs! (joy),Statement Non Opinion,Command
Hello? Eighth street deli? (neutral),Greeting,Greeting
"Hey, hang up! You get food poisoning just talkin' to that place. (disgust)",Statement Non Opinion,Command
"Uh sorry, wrong number. (fear)",Apology,Apology
Here you go. (neutral),Statement Non Opinion,Statement Non Opinion
