Utterance,Emotion,"No,DS_r1_emotion"
"She loves sandwiches, sports, although she is a Met fan, not much of an issue now but if we were ever to have kids, well that's a (joy)",joy,joy
"Oh my God! Listen to you talkin' about having kids. Oh my Joey. Oh, please don't get married before I do. (surprise)",surprise,surprised
Okay. (neutral),neutral,neutral
How does she do that? (surprise),surprise,surprised
I cannot sleep in a public place. (neutral),neutral,neutral
Would you look at her? She is so peaceful. (joy),joy,joy
Oh! What what what! ...Hi. (surprise),surprise,surprised
"It's okay, y'know, you just nodded off again. (neutral)",neutral,neutral
What's going on with you? (surprise),surprise,neutral
I got no sleep last night! (anger),anger,sadness
Why? (neutral),neutral,neutral
"My grandmother has this new boyfriend, and they're both kind of insecure in bed. (disgust)",disgust,disgust
"Oh, and deaf. (neutral)",neutral,disgust
"So they're constantly, like, having to reassure each other that they're having a good time. (neutral)",neutral,disgust
You have no idea how loud they are! (disgust),disgust,disgust
"Well, if you want, you can stay with Rachel and me tonight. (neutral)",neutral,joy
Thanks. (joy),joy,joy
Ew! What is that? Something exploded! (disgust),disgust,disgust
"It's just her water breaking. Calm down, will you? (neutral)",neutral,neutral
"Water breaking, what do you mean? What's that, water breaking? (surprise)",surprise,fear
"Breathe, breathe, breathe. (neutral)",neutral,neutral
"Are you insane? I mean Joey, is going to kill you, he's actually going to kill you dead. (surprise)",surprise,fear
Okay! You don't think I thought of that? (anger),anger,anger
How can you not know which one? (surprise),surprise,surprised
I mean that's unbelievable. (joy),joy,surprised
"I mean, was it Gina? (neutral)",neutral,neutral
Which one is Gina? (neutral),neutral,neutral
"Dark, big hair, with the airplane earrings. (neutral)",neutral,neutral
"No, no, no, that's Dina. (neutral)",neutral,surprised
"You see you can't tell which one is which either, dwha!! (surprise)",surprise,joy
"I don't know, you thought 'See you Saturday' was funny. (neutral)",neutral,neutral
"Look honey, Mark is in fashion okay, I like having a friend that I can share this stuff with. (neutral)",neutral,neutral
You guys would never want to go to a lecture with me. (neutral),neutral,sadness
Pa-haa!! I would love to go with you. (joy),joy,joy
Really!? (surprise),surprise,surprised
"Yeah, hey I-I have clothes, I even pick them out. (neutral)",neutral,joy
"I mean for, for all you know I could be a fashion..... monger. (neutral)",neutral,joy
"Okay. Honey, I would love for you to go with me. What? (joy)",joy,joy
"What should I wear, now I'm all nervous. (fear)",fear,fear
": I know, we did it!! Hey, that was incredible, huh?! (joy)",joy,joy
"I know, it was amazing! I mean, we totally nailed it, it was beautiful. (joy)",joy,joy
": Thank you, listen, thanks a lot Tribbiani, . Oh my God, look at the time, I gotta catch the bus to the ball. (joy)",joy,surprised
"Oh well, okay, good luck. (joy)",joy,neutral
: Yeah. (neutral),neutral,neutral
Unless you wanna practice the Foxtrot again? Or-or the Tango? (neutral),neutral,neutral
": Ahh, thanks but no. You see I-I think I'm ready to dance with girls. (neutral)",neutral,joy
Okay. (neutral),neutral,neutral
: Yeah. (neutral),neutral,neutral
Go get 'em Treeger. (neutral),neutral,joy
": Right. Hey, ahh, you wanna come? Marge has a girlfriend. (neutral)",neutral,joy
Really? (surprise),surprise,surprised
": Yeah, you could dance real good with her, she's the same size as me. (neutral)",neutral,joy
"No, I'm good. (neutral)",neutral,neutral
"Oh God, this is so nerve wracking! How-how do you do this? (surprise)",surprise,fear
"Well, unfortunately, I don't get many callbacks so (neutral)",neutral,sadness
Is it a good sign that they asked us to hang around after the audition? (surprise),surprise,neutral
Who knows? (neutral),neutral,neutral
"Okay uh, we have narrowed it down to Raymond, Ben, Kyle, and Joey. The rest of you, thank you very much. (neutral)",neutral,neutral
Yes!! I knew it!! Bye-bye! So long! Later! (joy),joy,joy
Oh this is great! I might actually get to play Ben's dad! (joy),joy,joy
Yeah! (joy),joy,joy
"Actually, that can't happen. (neutral)",neutral,neutral
"Yeah because you all have such different looks, we're putting you with Raymond and Kyle with Ben. (neutral)",neutral,neutral
So it'll be either you two or you two. (neutral),neutral,neutral
"Man, this is gonna be kinda weird. (sadness)",sadness,fear
"Yeah, it is. (neutral)",neutral,fear
"No, we-we're gonna be like best friends, that's why it's gonna be weird. (neutral)",neutral,fear
"Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue. (sadness)",sadness,neutral
"Okay, all right, all right, all right! Okay! Okay, here's something, here's something blue and new. (joy)",joy,joy
Please! (anger),anger,anger
Are you kidding? (anger),anger,surprised
"I-I hurt three huge men, I gave a guy a bloody nose--I mean I-I'm not proud of it but, I really am. (anger)",anger,joy
"And it's all because of you, wonderful, amazing you. (joy)",joy,joy
I think you've got concussion. (fear),fear,neutral
"No, no, I'm serious. Thank you. (joy)",joy,joy
You're welcome. I'm sorry. Did I hurt you? (fear),fear,fear
"It's worth the pain. Y'know what, you know what? It's not. (sadness)",sadness,sadness
Wow! That Mike thing was interesting! I don't know what's gonna happen with Phoebe and David. (surprise),surprise,surprised
"I do! Want a hint? huh? ""I do"" ""I do"". (joy)",joy,joy
"Ok, I'm sensing that this is some kind of word play, because you are pink with barely controlled glee. (neutral)",neutral,neutral
David is going to propose to Phoebe. (joy),joy,neutral
What? Why? (surprise),surprise,surprised
"Chandler, we have talked about this. (anger)",anger,anger
You are not supposed to give people advice! (anger),anger,anger
Now couldn't you just have made some sort of inappropriate joke? (anger),anger,anger
I (neutral),neutral,neutral
They've only been going out for a few weeks and Phoebe is completely hung up on Mike! (anger),anger,anger
"She'll say ""No"", David's heart will be broken, it will be too hard for them to recover from and then Phoebe will end up alone (anger)",anger,fear
"Man, that's some (surprise)",surprise,surprised
"Oh, that's not what you want... (neutral)",neutral,sadness
"This is my father, Paul Stevens. Dad, this is Ross Geller. (neutral)",neutral,neutral
It-it's great to meet you Paul. (joy),joy,joy
I usually prefer Elizabeth's boyfriends to address me as Mr. Stevens. (neutral),neutral,neutral
"Of course, of course, Mr. Stevens. (neutral)",neutral,neutral
"So Ross, what your problem? (anger)",anger,disgust
Eh-wh--Excuse me? (surprise),surprise,surprised
Why can't you get a girlfriend your own age? (anger),anger,disgust
That's funny. Umm.... It's not funny. (fear),fear,sadness
I (neutral),neutral,disgust
Okay. (neutral),neutral,sadness
"I can, I can see that. (neutral)",neutral,sadness
"Umm, but I think if you give me umm, one chance I can, I can change your mind. (fear)",fear,sadness
Okay. (neutral),neutral,disgust
What? (neutral),neutral,surprised
Okay. I'll give you one chance to change my mind. You got one minute. (anger),anger,disgust
Daddy! (surprise),surprise,surprised
"Oh well, it's not on TV yet. (neutral)",neutral,neutral
"Well, then it's not on the wall yet. (neutral)",neutral,neutral
"Okay, fine, I will bring you a tape, huh? (neutral)",neutral,neutral
"So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet? (neutral)",neutral,joy
Ooooohh! (surprise),surprise,surprised
"Oh yeah, I'm sure. And all of a sudden his hands weren't the problem anymore. (neutral)",neutral,disgust
Was it...? (surprise),surprise,neutral
"Oh, boy scouts could have camped under there. (neutral)",neutral,disgust
"""Ooo,"" what? (surprise)",surprise,neutral
Uma Thurman. (neutral),neutral,neutral
Oh! (surprise),surprise,surprised
The actress! (surprise),surprise,neutral
Thanks Rach. (neutral),neutral,neutral
So what are you gonna do? (surprise),surprise,neutral
You have to tell her! (joy),joy,anger
You have to tell her! (joy),joy,anger
"It's your moral obligation, as a friend, as a woman, I think it's a feminist issue! (anger)",anger,anger
Guys? (anger),anger,neutral
Guys? (anger),anger,neutral
"Oh, yeah, you have to tell her. (neutral)",neutral,neutral
Feminist issue. That's where I went! (neutral),neutral,joy
She is gonna hate me. (fear),fear,fear
"Yeah, well... (neutral)",neutral,neutral
Will you marry me? (fear),fear,joy
It's the big night! We wanted to wish you good luck! (joy),joy,joy
"Yeah, yeah you have the ring? (neutral)",neutral,neutral
"Yeah, right here in my pocket. Pheebs? (neutral)",neutral,neutral
Oh! Oop! (surprise),surprise,surprised
"Okay, now will you guys get out of here? I want this is to be a surprise and she's gonna know. (neutral)",neutral,neutral
Yeah-yeah you guys. Get out of here! (neutral),neutral,neutral
Hi guys. (neutral),neutral,neutral
You are beautiful. (joy),joy,joy
"Oh, thank you! What's going on? (joy)",joy,joy
We're just really...very excited about this charity event that we have to go to. (neutral),neutral,joy
"Okay umm, Ross? (neutral)",neutral,neutral
"I'm-I'm really warm, so I'm going to be taking off my sweater. (neutral)",neutral,neutral
"Now, I'm just letting you know that this is (neutral)",neutral,neutral
Yep! That's hilarious! (joy),joy,joy
I'm sorry. I'm done. I'm done. (neutral),neutral,sadness
"Y'know, last night was embarrassing for you too. (neutral)",neutral,neutral
"No, not really. I mean you've seen me naked hundreds of times. (neutral)",neutral,neutral
Uh-huh. But it was a first for the rest of my building. (neutral),neutral,neutral
"Okay. All right, that's true! But y'know I just don't embarrass that easily. (neutral)",neutral,neutral
What?! You totally get embarrassed! (surprise),surprise,surprised
"No, I don't! Ross, I think I'm just a more secure person than you are. (neutral)",neutral,anger
Is that so? (neutral),neutral,neutral
Yeah. (neutral),neutral,neutral
Hey lady! I don't care how much you want it! Okay?! I am (disgust),disgust,anger
I can't believe it! (surprise),surprise,surprised
I did it! (joy),joy,joy
I rode a bike! (joy),joy,joy
I never thought I'd be able to do that! (joy),joy,joy
Thank you Ross. (joy),joy,joy
"Oh hey, don't thank me, thank yourself. You're the one who faced her fears and ultimately overcame them. (joy)",joy,neutral
"Hey, both you guys should be up there with me. (neutral)",neutral,joy
"I mean, you two are-are my... I mean, I'm lucky to have just one good (neutral)",neutral,joy
Thanks man. (neutral),neutral,neutral
I gotta go check something over here. (neutral),neutral,neutral
What a baby. (sadness),sadness,disgust
Total wuss! (sadness),sadness,disgust
"Okay, we have a lot of options here, a number of prototypes for you to try on. (neutral)",neutral,neutral
Wow! This looks great! (joy),joy,joy
"Yeah! Okay, this one is a mushroom cap. Umm, this one is made of bologna. (joy)",joy,neutral
And-and-and-and-and the toothpicks? (disgust),disgust,surprised
You kissed another woman! (anger),anger,anger
Call it even?! (neutral),neutral,neutral
Okay! (joy),joy,neutral
"Well, I'm gonna go get these in some water. (neutral)",neutral,neutral
Wait you stole those from these people's wedding? (surprise),surprise,surprised
"No-no, I took them from the hotel lobby. (neutral)",neutral,neutral
"Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming. (anger)",anger,anger
Hey! (surprise),surprise,surprised
My sweater! (surprise),surprise,joy
I've been looking for this for like a month! (surprise),surprise,joy
Oh my God!! (surprise),surprise,surprised
Oh my God! (surprise),surprise,surprised
Happy?! Is that what I'm supposed to be Vic? Happy? (anger),anger,anger
"Well, why don't you tell me what you're supposed to be! (anger)",anger,anger
Huh? (surprise),surprise,neutral
Because I sure as hell can't figure it out! (anger),anger,anger
I talk to you and nothin'. (anger),anger,anger
"You look at me, and it's nothin'. (anger)",anger,anger
Nothing. (anger),anger,anger
"Tasty! I'm really starting to feel like you guys have a history, it's-it's nice. (joy)",joy,joy
I have a question about this scene. (neutral),neutral,neutral
Yes? (neutral),neutral,neutral
"Well, I don't understand why Adrienne's attracted to Victor. (disgust)",disgust,neutral
"Peel the onion. First of all, he's good looking. (neutral)",neutral,neutral
Yeah. (neutral),neutral,neutral
I think my character's gonna need a little bit more of reason than that. (neutral),neutral,neutral
"Oh, hey, how about this one. (neutral)",neutral,neutral
"Ah, it's says so in the script! (anger)",anger,anger
"Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch. (anger)",anger,anger
It doesn't say that in the script. (anger),anger,anger
It does in mine! (anger),anger,anger
I can't (anger),anger,disgust
Yeah! You gotta tell a girl before you tape her. Such a rookie mistake. (anger),anger,neutral
Y'know who has a great video camera? (neutral),neutral,neutral
Greg and Jenny? (neutral),neutral,neutral
Do you still wanna call 'em? I wanna call 'em. (neutral),neutral,joy
Let's call 'em. (neutral),neutral,joy
Yeah! Ask them if they brought their friends any souvenirs! (joy),joy,joy
Hello? Eighth street deli? (neutral),neutral,neutral
"Hey, hang up! You get food poisoning just talkin' to that place. (disgust)",disgust,disgust
"Uh sorry, wrong number. (fear)",fear,neutral
Here you go. (neutral),neutral,neutral
Hello? It's the deli again! (surprise),surprise,surprised
All right! I'll have a sandwich! (joy),joy,joy
I don't think this number's right! (sadness),sadness,neutral
Oh come on!! (sadness),sadness,anger
"Gotta go. I miss you too, I love you, but it's getting real late now (sadness)",sadness,neutral
"Hey Ma. Listen, I made the appointment with Dr. Bazida, and... Excuse me? Did you know this isn't Ma? (surprise)",surprise,surprised
Her name's Ronni. She's a pet mortician. (neutral),neutral,neutral
Sure. So how long you been... (neutral),neutral,neutral
"Remember when you were a little kid, I used to take you to the navy yard and show you the big ships? (neutral)",neutral,joy
Since then?! (surprise),surprise,surprised
"No, it's only been six years. (neutral)",neutral,neutral
I just wanted to put a nice memory in your head so you'd know that I wasn't always such a terrible guy. (neutral),neutral,sadness
...Joe. (neutral),neutral,neutral
Y'ever been in love? (neutral),neutral,neutral
...I d'know. (neutral),neutral,neutral
Then y'haven't. You're burning your tomatoes. (neutral),neutral,neutral
You're one to talk. (disgust),disgust,neutral
"Joe, your dad's in love big time. And the worst part of it is, it's with two different women. (neutral)",neutral,sadness
Oh man. Please tell me one of 'em is Ma. (disgust),disgust,fear
"Of course, course one of 'em's Ma. What's the matter with you. (surprise)",surprise,anger
"Everything's gonna be all right. Okay, Dick? (neutral)",neutral,joy
"Hello, I am Guru Saj--Whoa!! That's supposed to be a duck right? 'Cause otherwise, this is waaay out of my league. (surprise)",surprise,surprised
"Hey, Rach, how was work? (neutral)",neutral,neutral
"Oh, great. Although I did sit down where there wasn't a chair. (neutral)",neutral,sadness
"By the way, Ross dropped by a box of your stuff. (neutral)",neutral,neutral
"Oh, well, I guess I had that one coming. (neutral)",neutral,sadness
"I'm just gonna throw it out, it's probably just a bunch of shampoo and... (neutral)",neutral,sadness
Something wrong? (neutral),neutral,neutral
No. Nothing. (neutral),neutral,sadness
"And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century. (neutral)",neutral,joy
"Yeah, that's it? (surprise)",surprise,sadness
Yeah. (neutral),neutral,neutral
"Dude, I am sorry about what I said! (sadness)",sadness,sadness
"No, no, you're right, it is a ridiculous name! (disgust)",disgust,sadness
It's not that bad. (neutral),neutral,neutral
"Yes it is! From now on, I have no first name. (anger)",anger,anger
"So, you're just Bing? (neutral)",neutral,surprised
Because we won our apartment back! (joy),joy,joy
"What? Ace is high! Jack, queen, king, ace! (surprise)",surprise,surprised
"No! Ace is low! Ace, two, three, four! (anger)",anger,surprised
I don't know. Ooh! Ooh! Look it! Ah-ha! (surprise),surprise,surprised
"All right, cut, let's pick again, pick again. (neutral)",neutral,neutral
Okay. (neutral),neutral,neutral
Come on apartment! Come on apartment! Oh! I know queen is high! (anger),anger,joy
"Uh-huh, not as high as... It worked! King! (surprise)",surprise,joy
Yeah baby! (joy),joy,joy
"But, we pick again! We pick again! (joy)",joy,anger
Why?! (neutral),neutral,surprised
I don't know! (fear),fear,anger
Tickets please! That's courtside baby! (joy),joy,joy
"Seriously, good game though. Good game. What are they so mad about? They get the apartment back! (surprise)",surprise,surprised
No they didn't! (joy),joy,surprised
"You know, I don't think we brought enough stuff. Did you forget to pack the baby's anvil? (neutral)",neutral,neutral
It's gonna be worth it. (neutral),neutral,joy
"It's a known fact that women love babies, all right? (neutral)",neutral,joy
Women love guys who love babies. (neutral),neutral,joy
It's that whole sensitive thing. (neutral),neutral,joy
"Quick, aim him at that pack o' babes over there. (neutral)",neutral,joy
Maybe one of them will break away. (neutral),neutral,joy
"No, no wait, for get them, we got one, hard left. (joy)",joy,joy
"All right, gimme the baby. (neutral)",neutral,joy
"No, I got him. (neutral)",neutral,neutral
"Oh, seriously you want him? (surprise)",surprise,surprised
Hello. (neutral),neutral,joy
"Well, don't, don't think me immodest, but, me? (surprise)",surprise,neutral
You wanna smell him? (neutral),neutral,disgust
"Oh, yeah. He's got that great baby smell. Get a whiff of his head. (joy)",joy,disgust
What'd I tell you? What'd I tell you? (joy),joy,joy
"Well, we are great guys. (neutral)",neutral,joy
"Well, not really. (neutral)",neutral,neutral
"I mean technically it's-it's not against the rules or anything, but it is frowned upon. (neutral)",neutral,neutral
"Especially by that professor we ran into last night, Judgey von Holierthanthou. (anger)",anger,disgust
"Well Ross, you be careful now. You don't want to get a reputation as y'know Professor McNailshisstudents. (joy)",joy,neutral
Yeah. What-what should I do? (fear),fear,fear
"Well Ross, it seems pretty clear. (neutral)",neutral,neutral
I mean what's more important? (neutral),neutral,neutral
"What people think or how you feel, huh? (neutral)",neutral,neutral
"Ross, you gotta follow your heart. (neutral)",neutral,joy
Joey that is so sweet. (joy),joy,joy
Hey. (neutral),neutral,neutral
