Text,DS_emotion
34,**Statement Opinion** (Joey asserts his view)
35,**Question** (Fey challenges Joey's point)
36,**Statement Non Opinion** (Joey describes a resume's purpose)
37,**Statement Opinion** (Fey voices a personal concern)
38,**Acknowledge** (Joey recognizes Fey's point)
39,**Statement Non Opinion** (Fey states a past experience)
40,**Backchannel** (Joey acknowledges)
41,**Agreement** (Joey agrees implicitly)
42,**Statement Opinion** (Fey shares a critical view)
43,**Statement Opinion** (Joey offers advice)
44,**Disagreement** (Fey rejects Joey's statement)
45,**Disagreement** (Fey dismisses sarcastically)
46,**Statement Opinion** (Joey suggests indirectly)
47,**Statement Opinion** (Joey advises)
48,**Question** (Fey asks accusatorily)
49,**Statement Non Opinion** (Joey denies Fey's claim)
50,**Statement Non Opinion** (Fey states an observation)
51,**Statement Non Opinion** (Joey explains his choice)
52,**Question** (Fey asks for reasons)
53,**Answer** (Joey responds directly)
54,**Statement Non Opinion** (Fey restates sarcastically)
55,**Agreement** (Joey affirms Fey's sarcastic remark)
56,**Statement Opinion** (Fey expresses sarcastic admiration)
57,**Backchannel** (Joey acknowledges)
58,**Statement Opinion** (Joey critiques Fey's behavior)
59,**Disagreement** (Fey denies Joey's claim)
60,**Statement Non Opinion** (Joey states perceived facts)
61,**Question** (Fey challenges Joey's attitude)
62,**Statement Non Opinion** (Joey denies superiority)
63,**Statement Opinion** (Fey criticizes Joey)
64,**Acknowledge** (Joey concedes/reacts)
65,**Statement Non Opinion** (Fey mimics Joey sarcastically)
66,**Disagreement** (Joey rejects Fey's mimicry)
67,**Question** (Joey expresses confusion)
68,**Statement Non Opinion** (Fey restates sarcastically)
69,**Statement Opinion** (Joey critiques Fey's behavior)
70,**Statement Opinion** (Fey generalizes about bus riders)
71,**Question** (Joey asks for justification)
1,Greeting
2,Acknowledge
3,Statement Non Opinion
4,Question
5,Backchannel
6,Statement Non Opinion
7,Backchannel
8,Statement Non Opinion
9,Backchannel
10,Statement Non Opinion
11,Question
12,Answer
13,Backchannel
14,Statement Non Opinion
15,Question
16,Answer
17,Statement Non Opinion
18,Backchannel
19,Question
20,Answer
21,Answer
22,Apology
23,Question
24,Apology
25,Question
26,Agreement
27,Disagreement
28,Question
29,Answer
30,Question
31,Disagreement
32,Statement Non Opinion
33,Statement Opinion
34,Apology
35,Question
36,Answer
37,Agreement
38,Statement Non Opinion
39,Apology
40,Command
41,Command
42,Statement Non Opinion
43,Question
44,Statement Non Opinion
45,Statement Non Opinion
46,Question
47,Statement Non Opinion
48,Statement Non Opinion
49,Statement Opinion
50,Statement Non Opinion
51,Question
52,Answer
53,Statement Non Opinion
54,Statement Non Opinion
55,Statement Non Opinion
56,Statement Non Opinion
57,Statement Non Opinion
58,Question
59,Answer
60,Question
61,Answer
62,Statement Non Opinion
63,Question
64,Statement Opinion
65,Statement Non Opinion
66,Statement Non Opinion
67,Statement Non Opinion
1,Apology
2,Acknowledge
3,Question
4,Answer
5,Question
6,Answer
7,Statement Non Opinion
8,Statement Opinion
9,Acknowledge
10,Statement Non Opinion
11,Statement Opinion
12,Backchannel
13,Statement Non Opinion
14,Statement Non Opinion
15,Statement Non Opinion
16,Question
17,Answer
18,Statement Non Opinion
19,Backchannel
20,Statement Opinion
21,Agreement
22,Statement Opinion
23,Question
24,Question
25,Backchannel
26,Answer
27,Statement Non Opinion
28,Question
29,Question
30,Statement Non Opinion
31,Question
32,Answer
33,Question
34,Answer
35,Statement Opinion
36,Statement Non Opinion
37,Statement Non Opinion
38,Backchannel
39,Others
40,Statement Non Opinion
41,Statement Opinion
42,Backchannel
43,Statement Non Opinion
44,Question
45,Statement Non Opinion
46,Statement Opinion
47,Backchannel
1,Question
2,Answer
3,Statement Opinion
4,Question
5,Statement Non Opinion
6,Question
7,Statement Non Opinion
8,Question
9,Acknowledge
10,Statement Opinion
11,Statement Opinion
12,Agreement
13,Question
14,Acknowledge
15,Statement Opinion
16,Statement Opinion
17,Agreement
18,Question
19,Answer
20,Acknowledge
21,Statement Opinion
22,Statement Opinion
23,Question
24,Answer
25,Question
26,Answer
27,Question
28,Statement Non Opinion
29,Statement Non Opinion
30,Agreement
31,Statement Opinion
32,Statement Opinion
33,Statement Opinion
34,Statement Opinion
35,Agreement
36,Command
37,Statement Non Opinion
1,Question
2,Statement Opinion
3,Statement Non Opinion
4,Question
5,Statement Non Opinion
6,Question
7,Statement Non Opinion
8,Question
9,Answer
10,Statement Opinion
11,Agreement
12,Question
13,Statement Opinion
14,Question
15,Statement Opinion
16,Question
17,Question
18,Question
19,Statement Opinion
20,Question
21,Statement Opinion
22,Statement Opinion
23,Question
24,Statement Opinion
25,Question
26,Command
27,Statement Opinion
28,Question
29,Question
30,Answer
31,Question
32,Statement Non Opinion
33,Statement Opinion
34,Statement Opinion
35,Question
36,Question
37,Statement Opinion
38,Statement Opinion
39,Statement Non Opinion
40,Question
41,Statement Opinion
42,Statement Opinion
43,Statement Opinion
44,Statement Opinion
45,Statement Opinion
46,Statement Opinion
47,Statement Opinion
48,Question
49,Statement Non Opinion
50,Question
51,Statement Opinion
52,Command
53,Statement Opinion
54,Statement Opinion
55,Question
56,Answer
57,Statement Opinion
58,Statement Non Opinion
59,Statement Non Opinion
60,Statement Opinion
61,Question
62,Statement Opinion
63,Statement Non Opinion
64,Statement Opinion
65,Question
66,Acknowledge
67,Command
68,Statement Opinion
69,Statement Non Opinion
70,Question
71,Statement Non Opinion
72,Question
73,Statement Opinion
74,Question
75,Statement Opinion
76,Question
77,Answer
78,Statement Opinion
79,Question
80,Statement Non Opinion
81,Statement Opinion
82,Command
83,Question
84,Command
85,Command
86,Statement Non Opinion
87,Question
88,Disagreement
89,Acknowledge
1,**Question**
2,**Question**
3,**Question**
4,**Statement Opinion**
5,**Statement Opinion**
6,**Question**
7,**Command**
8,**Statement Opinion**
9,**Question**
10,**Statement Opinion**
11,**Statement Opinion**
12,**Question**
13,**Command**
14,**Statement Opinion**
15,**Statement Non Opinion**
16,**Question**
17,**Question**
18,**Statement Opinion**
19,**Question**
20,**Statement Opinion**
21,**Question**
22,**Command**
23,**Statement Opinion**
24,**Acknowledge**
25,**Command**
26,**Others**
27,**Command**
28,**Command**
29,**Command**
30,**Question**
31,**Statement Non Opinion**
32,**Statement Non Opinion**
33,**Question**
1,Statement Opinion
2,Question
3,Statement Opinion
4,Statement Non Opinion
5,Statement Opinion
6,Agreement
7,Question
8,Answer
9,Backchannel
10,Statement Opinion
11,Question
12,Statement Opinion
13,Statement Opinion
14,Agreement
15,Question
16,Answer
17,Question
18,Agreement
19,Others
20,Statement Opinion
21,Others
22,Statement Opinion
23,Others
24,Question
25,Answer
26,Statement Opinion
27,Statement Non Opinion
28,Question
29,Statement Non Opinion
30,Question
31,Answer
32,Question
33,Answer
34,Question
35,Answer
36,Others
37,Command
38,Statement Non Opinion
39,Statement Opinion
40,Statement Opinion
41,Statement Opinion
42,Disagreement
43,Statement Non Opinion
44,Command
45,Question
46,Command
47,Question
48,Statement Non Opinion
49,Question
50,Statement Opinion
51,Command
52,Statement Opinion
53,Statement Opinion
54,Statement Opinion
55,Acknowledge
56,Statement Non Opinion
57,Question
58,Answer
59,Statement Opinion
60,Statement Opinion
61,Statement Non Opinion
62,Statement Opinion
63,Statement Opinion
64,Backchannel
65,Statement Opinion
66,Statement Non Opinion
67,Statement Non Opinion
68,Statement Opinion
69,Statement Opinion
70,Question
71,Statement Non Opinion
72,Command
73,Statement Opinion
74,Statement Opinion
75,Question
1,**Question** (Joey asks multiple questions seeking information/agreement)
2,"**Question** (Primary act is ""How are you doing?"")"
3,"**Answer** (Direct response to ""How are you doing?"")"
4,"**Question** (""Is that, is that--"" is an incomplete question)"
5,**Statement Non Opinion** (Denial and factual observations)
6,**Others** (Non-verbal sound [BREATHING])
7,"**Question** (Seeks confirmation with ""right?"")"
8,**Statement Non Opinion** (States a forgotten item factually)
9,**Question** (Seeks clarification)
10,**Statement Non Opinion** (Factual admission of forgetting)
11,**Question** (Direct question)
12,**Statement Non Opinion** (Factual description/confirmation)
13,**Statement Non Opinion** (Factual correction)
14,**Question** (Direct question)
15,**Statement Non Opinion** (Factual claim)
16,"**Agreement** (Accepts correction: ""Yeah, of course"")"
17,**Statement Opinion** (Expresses personal grievance)
18,"**Disagreement** (Denial: ""No"")"
19,**Question** (Rhetorical question about feelings)
20,"**Agreement** (Corrects to shared ownership: ""our flashlight"")"
21,**Statement Non Opinion** (Factual regret)
22,**Question** (Seeks information)
23,**Answer** (Direct response)
24,"**Question** (Primary act is ""Are you cold?"")"
25,**Statement Opinion** (Expresses desire/regret)
26,**Statement Opinion** (Shares personal excitement)
27,**Backchannel** (Laughter as feedback)
28,**Statement Opinion** (Shares speculation)
29,**Statement Non Opinion** (States a physical state factually)
30,**Question** (Offers help)
31,"**Command** (Directive: ""let's go"")"
32,**Disagreement** (Objects to leaving)
33,**Statement Opinion** (Asserts futility)
34,"**Agreement** (Concurs: ""Right"")"
35,**Statement Opinion** (Reinforces viewpoint)
36,"**Agreement** (Concurs: ""that's my point too"")"
37,"**Command** (Directive: ""let's go"")"
38,"Don't you want to see it?"")"
39,"**Answer** (Responds to ""Don't you want to see it?"")"
40,**Question** (Seeks reason)
41,**Statement Opinion** (Expresses disinterest/judgment)
42,**Statement Opinion** (Argues value subjectively)
43,"**Question** (Primary act is ""Pass what up?"")"
44,"**Agreement** (Initial ""Yeah"" before elaboration)"
45,**Statement Opinion** (Subjective description)
46,**Statement Opinion** (Expresses frustration/judgment)
47,"**Disagreement** (Counters: ""Yeah they do"")"
48,"**Others** (Interjection: ""Oh Augie"")"
49,**Statement Opinion** (Defends significance subjectively)
50,**Statement Opinion** (Expresses wonder/frustration)
51,"**Answer** (Responds to ""how you're not interested"")"
52,**Question** (Seeks confirmation)
53,**Answer** (Direct response)
54,**Question** (Seeks validation of memory)
55,**Statement Non Opinion** (Recalls past factually)
56,**Statement Non Opinion** (States past events factually)
57,**Statement Non Opinion** (Explains past factually)
58,**Statement Non Opinion** (States past factually)
59,**Statement Opinion** (Asserts confidence subjectively)
60,**Statement Non Opinion** (Corrects observation factually)
61,**Statement Opinion** (Expresses enthusiasm)
62,**Statement Non Opinion** (Describes event factually)
63,**Statement Opinion** (Romanticizes event subjectively)
64,**Statement Opinion** (Interprets behavior subjectively)
65,**Statement Opinion** (Philosophical interpretation)
66,**Statement Opinion** (Dramatic description)
67,**Statement Non Opinion** (Notes physical reaction)
68,**Statement Non Opinion** (Factual correction)
69,**Question** (Seeks opinion)
70,**Question** (Seeks clarification)
71,**Question** (Reiterates request for opinion)
1,**Statement Non Opinion** (Reporting a physical observation)
2,**Statement Non Opinion** (Stating a fact/explanation)
3,**Question** (Directly asking for an opinion)
4,**Question** (Requesting clarification)
5,**Answer** (Providing clarification to the previous question)
6,**Statement Opinion** (Expressing a personal judgment)
7,**Disagreement** (Explicitly contradicting the previous opinion)
8,**Statement Opinion** (Expressing a viewpoint/belief)
9,**Statement Non Opinion** (Pointing out observable evidence)
10,**Statement Opinion** (Expressing a viewpoint/belief about human behavior)
11,**Question** (Requesting confirmation of shared understanding)
12,"**Apology** (""I'm sorry"" + explanation)"
13,**Question** (Directly asking a question)
14,**Statement Opinion** (Expressing feelings and judgment about a behavior)
15,**Question** (Asking for the reason/cause)
16,**Statement Opinion** (Expressing a viewpoint about the situation)
17,**Statement Non Opinion** (Describing a process/expectation)
18,"**Command** (""Grow up"") + **Statement Non Opinion** (Stating a belief)"
19,**Question** (Asking for a reason)
20,**Statement Non Opinion** (Stating a belief) + **Question** (Seeking confirmation)
21,**Statement Non Opinion** (Stating a fact)
22,**Statement Non Opinion** (Restating/explaining a fact)
23,**Statement Non Opinion** (Stating a belief/expectation)
24,**Statement Opinion** (Expressing a viewpoint using analogy)
25,**Statement Opinion** (Expressing a personal feeling/metaphor)
26,**Statement Non Opinion** (Stating a belief about the other's past desire)
27,**Statement Opinion** (Expressing a judgment about understanding)
28,"**Disagreement** (""No"") + **Statement Non Opinion** (Qualifying the disagreement)"
29,**Statement Opinion** (Expressing desires)
30,**Statement Opinion** (Expressing feelings and disappointment)
31,**Statement Opinion** (Offering a judgment/assessment)
32,**Statement Opinion** (Correcting the perceived focus)
33,**Statement Non Opinion** (Describing an intended action)
34,**Statement Non Opinion** (Recounting events)
35,**Statement Non Opinion** (Recounting events)
36,**Question** (Prompting recall/memory)
37,**Statement Non Opinion** (Recounting past events)
38,**Statement Opinion** (Expressing a past feeling/memory)
39,**Statement Non Opinion** (Announcing realization/discovery)
40,**Statement Non Opinion** (Fragment recounting past action)
41,**Statement Non Opinion** (Recounting past dialogue/event)
42,**Statement Non Opinion** (Fragment recounting past action)
43,**Question** (Seeking confirmation of understanding)
44,**Statement Opinion** (Expressing preferences)
45,**Acknowledge** (Accepting/acknowledging the previous statement)
46,**Question** (Offering/asking about an action)
47,**Answer** (Responding negatively to an offer/question)
48,**Question** (Offering/asking about an action)
49,**Answer** (Responding negatively to an offer/question)
50,**Question** (Offering/asking about an action)
51,**Answer** (Responding negatively to offers) + **Statement Non Opinion** (General refusal)
52,**Question** (Prompting for specifics)
53,**Question** (Suggesting/asking about an extreme action)
54,**Answer** (Responding negatively to a suggestion/question)
55,**Question** (Suggesting/asking about an extreme action)
56,**Question** (Suggesting/asking about an action)
57,**Answer** (Responding negatively to suggestions/questions)
58,**Question** (Series of suggestions culminating in a demand for information)
59,**Statement Opinion** (Expressing a desire)
60,**Statement Opinion** (Expressing shared experience and refuting expectations)
61,**Others** (Non-verbal sound)
62,**Statement Opinion** (Expressing shared experience and disappointment)
63,**Statement Non Opinion** (Pointing out the current situation)
64,**Statement Opinion** (Expressing a negative judgment of the current situation)
65,"**Disagreement** (""Yes it is"" - contradicting the previous judgment)"
66,**Statement Non Opinion** (Describing actions/states)
67,"**Agreement** (""Right"" - confirming the previous description)"
68,**Statement Opinion** (Expressing an incomplete negative judgment)
69,**Others** (Non-verbal sound)
70,**Question** (Asking for confirmation of understanding)
71,**Statement Non Opinion** (Stating current effort/state)
72,"**Acknowledge** (""I know"") + **Statement Opinion** (Expressing understanding/empathy)"
73,**Statement Opinion** (Expressing regret and desire)
74,**Statement Opinion** (Suggesting a reason for unhappiness)
75,**Disagreement** (Denying the suggested implication)
76,**Statement Opinion** (Expressing a self-judgment)
77,"**Disagreement** (""Don't be ridiculous"" - contradicting the self-judgment) + **Statement Opinion** (Expressing a strong preference)"
78,"**Question** (Seeking confirmation - ""Yeah?"")"
79,"**Answer** (Confirming - ""Yeah"") + **Question** (Asking for confirmation of knowledge)"
80,**Statement Opinion** (Exasperated expression)
81,**Statement Opinion** (Expressing a belief about the other's desires + self-deprecation)
82,"**Disagreement** (""No I don't"" - contradicting the previous belief) + **Statement Non Opinion** (Qualifying the disagreement)"
83,**Statement Opinion** (Expressing a positive judgment about their relationship)
84,**Statement Opinion** (Expressing a belief about the location)
85,**Question** (Rhetorical or seeking agreement about an observation)
86,"**Statement Opinion** (Expressing appreciation - ""pretty"")"
87,**Others** (Non-verbal sound)
88,**Statement Non Opinion** (Drawing attention to something)
89,**Statement Opinion** (Expressing pleasant surprise/recognition)
90,**Statement Non Opinion** (Stating a fact about the item)
91,**Statement Non Opinion** (Making an observation)
92,**Others** (Non-verbal sound - likely contented sigh)
93,**Question** (Asking about state/desire)
94,**Statement Opinion** (Expressing a changed positive assessment)
95,"**Apology** (""I'm sorry"")"
96,"**Command** (""Shh"") + **Statement Non Opinion** (Stating a possibility)"
97,**Statement Non Opinion** (Stating an alternative possibility)
98,"**Agreement** (""Or not"" - echoing and agreeing with the previous possibility)"
1,Others
2,Question
3,Statement Opinion
4,Statement Opinion
5,Statement Opinion
6,Question
7,Others
8,Question
9,Statement Opinion
10,Statement Opinion
11,Statement Opinion
12,Question
13,Statement Non Opinion
14,Statement Opinion
15,Question
16,Statement Opinion
17,Statement Opinion
18,Statement Opinion
19,Question
20,Statement Opinion
21,Command
22,Statement Opinion
23,Statement Opinion
24,Agreement
25,Question
26,Command
27,Command
28,Question
29,Statement Opinion
30,Statement Opinion
31,Statement Opinion
32,Agreement
33,Question
34,Question
35,Question
36,Disagreement
37,Question
38,Statement Opinion
39,Question
40,Answer
41,Question
42,Disagreement
43,Disagreement
44,Statement Opinion
45,Command
46,Others
47,Command
48,Statement Non Opinion
49,Statement Opinion
50,Statement Opinion
51,Question
52,Question
53,Statement Non Opinion
54,Statement Opinion
55,Others
56,Statement Opinion
57,Statement Opinion
58,Question
59,Statement Non Opinion
60,Backchannel
61,Statement Non Opinion
62,Statement Non Opinion
63,Question
64,Statement Non Opinion
65,Statement Non Opinion
66,Statement Opinion
67,Statement Opinion
68,Statement Non Opinion
69,Statement Opinion
70,Statement Opinion
71,Statement Non Opinion
1,**Statement Non Opinion** (States a fact about the past)
2,"**Statement Opinion** (Adds a subjective judgment ""sillier"")"
3,**Statement Opinion** (States a belief about the cause)
4,**Disagreement** (Counters Joey's implied knowledge/accusation)
5,**Statement Non Opinion** (States what he knew and a fact about presents)
6,"**Answer** (Answers the implied accusation about the presents, downplaying it)"
7,**Statement Opinion** (States his opinion on the brooch's value and taste)
8,**Disagreement** (Counters his opinion on taste) & **Statement Opinion** (States her opinion on it being pretty)
9,**Accusation / Statement Opinion** (States his belief about her actions and intent)
10,**Disagreement** (Denies his accusation) & **Statement Opinion** (States her belief about the cause)
11,**Question** (Asks for confirmation) & **Statement Non Opinion** (Recalls her statement)
12,**Question** (Challenges the significance)
13,"**Question** (Repeats Fey's question, expressing disbelief/incredulity)"
14,**Statement Opinion** (States her view on the consequences)
15,**Question** (Challenges her perspective regarding himself)
16,**Statement Opinion** (States her view on why he knew)
17,**Statement Opinion** (States his sarcastic view on her point)
18,**Statement Opinion** (States her feeling about the conversation)
19,**Agreement** (Agrees with being bored) & **Question** (Offers brandy)
20,**Answer** (Declines the offer)
21,**Statement Non Opinion** (States his intention)
22,**Statement Non Opinion** (States her observation/reason against his intention)
23,**Answer** (Explains his reason for wanting more despite her point)
24,**Statement Opinion** (States her view on his drinking)
25,"**Disagreement** (Counters her characterization ""going on and on"")"
26,**Accusation / Statement Opinion** (States her belief about his drinking)
27,**Command** (Tells her not to act superior) & **Statement Opinion** (States his belief about her motive)
28,**Command** (Tells him not to be stupid)
29,**Statement Non Opinion** (An interjection expressing exasperation)
30,**Question** (Asks what he means)
31,**Answer** (Says he means nothing)
32,**Question** (Asks if she is going out)
33,**Statement Non Opinion** (States what she is doing) & **Sarcasm** (Implied by context/emotion)
34,**Statement Opinion** (States the effect of her reply)
35,**Statement Non Opinion** (States a principle)
36,**Agreement** (Agrees with her statement)
37,**Disagreement** (Disagrees with his agreement)
38,"**Disagreement** (Disagrees with her disagreement, reaffirming his position)"
39,**Command** (Orders him to be silent)
40,**Statement Opinion** (States his view on brandy's effect on her)
41,**Statement Opinion** (States her sarcastic view on brandy's effect on him)
42,**Statement Opinion** (States his view comparing her to an adder)
43,**Correction / Statement Non Opinion** (Corrects his animal behavior fact)
44,**Disagreement** (Disagrees with her correction) & **Statement Non Opinion** (Repeats his view of adder behavior)
45,**Disagreement** (Reaffirms her correction) & **Statement Opinion** (States her indifference)
46,**Question** (Asks about her contact with Peter Burden)
47,**Answer** (Answers the question)
48,**Statement Opinion** (Assumes/mocks her behavior) & **Question** (Asks for confirmation of his assumption)
49,**Command** (Tells him to mind his own business)
50,**Statement Opinion** (States her view on his behavior and its cause)
51,**Disagreement** (Disagrees with her assessment of him being drunk)
52,**Statement Opinion** (States her view on his alcohol tolerance)
53,**Statement Non Opinion** (Restates his consumption) & **Statement Opinion** (States his view on its effect)
54,**Disagreement** (Disagrees with his point) & **Statement Opinion** (States her counter-view)
55,**Statement Opinion** (Mockingly states his view on continuing the topic)
56,**Command** (Orders him to be silent)
57,**Command** (Repeats the order to be silent)
58,**Statement Opinion** (States her view on his humor) & **Suggestion / Command** (Suggests/implies he drink more)
59,**Agreement** (Agrees it's a good idea) & **Statement Non Opinion** (States his intention)
60,**Command** (Tells her to turn something off) & **Statement Non Opinion** (Gives a reason)
61,**Question** (Asks why)
62,**Answer** (Provides factual information countering his reason)
63,**Statement Non Opinion** (Provides an alternative reason)
64,**Answer** (Provides factual information countering his new reason)
65,**Statement Opinion** (States his view on travel to Tunis)
66,**Command** (Asks him to turn something on)
67,**Refusal / Statement Non Opinion** (Declines to comply)
68,**Statement Opinion** (States her view on his refusal)
69,**Command** (Repeats the demand to turn it off) & **Statement Opinion** (States its effect on him)
70,**Statement Opinion** (States her view on his temperament) & **Command** (Tells him to control himself)
71,**Command** (Orders her to turn it off)
72,**Refusal / Statement Non Opinion** (Declines to comply) & **Command** (Tells him to let go) & **Statement Opinion** (States her view of him)
73,**Command** (Tells her to listen)
74,**Statement Opinion** (States his view on something being amusing)
75,**Command** (Tells him to shut up and let go) & **Statement Opinion** (States her feelings and view of him)
76,**Statement Opinion** (States his view of her) & **Statement Non Opinion** (Declares his intent)
77,**Statement Non Opinion** (Declares the end of the relationship)
78,**Statement Non Opinion** (States she is not leaving like this - implies command/objection)
79,**Disagreement** (Disagrees with his statement/objection)
80,**Statement Non Opinion** (Repeats his statement/objection)
81,**Disagreement** (Repeats her disagreement) & **Command** (Tells him to stop and let go) & **Statement Opinion** (States her feelings and view of him) & **Answer** (Answers an implied question about remarriage) & **Statement Opinion** (Expresses a wish)
82,**Command** (Orders her to be silent) & **Statement Opinion** (States his view of her and intent regarding remarriage) & **Statement Non Opinion** (Repeats his declaration of intent)
1,Command
2,Acknowledge
3,Statement Non Opinion
4,Statement Non Opinion
5,Question
6,Statement Non Opinion
7,Answer
8,Statement Opinion
9,Backchannel
10,Question
11,Answer
12,Question
13,Answer
14,Statement Non Opinion
15,Answer
16,Statement Non Opinion
17,Statement Opinion
18,Disagreement
19,Statement Non Opinion
20,Question
21,Answer
22,Question
23,Answer
24,Question
25,Question
26,Answer
27,Question
28,Answer
29,Greeting
30,Greeting
31,Question
32,Statement Non Opinion
33,Acknowledge
34,Statement Non Opinion
35,Acknowledge
36,Statement Non Opinion
37,Question
38,Answer
39,Question
40,Question
41,Command
42,Question
43,Command
44,Acknowledge
45,Question
46,Statement Opinion
47,Statement Non Opinion
48,Command
49,Disagreement
50,Command
51,Statement Non Opinion
52,Statement Non Opinion
53,Statement Non Opinion
54,Command
55,Statement Opinion
56,Question
57,Question
58,Question
59,Acknowledge
60,Question
61,Statement Non Opinion
62,Statement Non Opinion
63,Others
64,Statement Non Opinion
65,Command
1,Command (summoning Joy)
2,Question (seeking information)
3,Statement Non Opinion (factual announcement)
4,Statement Non Opinion (factual elaboration)
5,Question (seeking timeframe)
6,"Answer (responding to ""When?"")"
7,Question (rhetorical disbelief)
8,"Question (incomplete, seeking explanation)"
9,Statement Opinion (expressing confusion)
10,Question (challenging the situation)
11,Statement Non Opinion (factual assertion)
12,Statement Non Opinion (recalling prior information)
13,Statement Opinion (speculative agreement)
14,Statement Non Opinion (explaining circumstances)
15,Others (non-linguistic vocalization)
16,Statement Opinion (subjective judgment)
17,Statement Opinion (emotional disbelief)
18,Statement Non Opinion (confirming departure)
19,Others (non-linguistic vocalization)
20,Statement Non Opinion (continuing factual update)
21,Statement Opinion (personal feeling)
22,Statement Opinion (expressing helplessness)
23,Statement Opinion (uncertainty)
24,Question (seeking plans)
25,Statement Opinion (speculative solution)
26,Statement Opinion (reassurance)
27,Statement Opinion (reassurance)
28,Statement Opinion (dismissing concern)
29,Statement Opinion (reassurance)
30,Question (challenging certainty)
31,Statement Opinion (justifying confidence)
32,Statement Opinion (reassurance)
33,Question (seeking confirmation)
34,Command (requesting promise)
35,Agreement (affirming commitment)
36,Acknowledge (confirming understanding)
37,Statement Opinion (subjective comparison)
38,Statement Opinion (expressing desire)
39,Statement Opinion (suggesting alternative)
40,Question (seeking clarification)
41,Statement Opinion (elaborating fantasy)
42,Statement Opinion (reiterating reluctance)
43,Others (non-linguistic vocalization)
