Text,DS_r1_emotion
"|Oh, how are you going to do the long distance thing?  So wait, are you going to move there?|",Question
|I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]|,Amusement
|Like you need another one of those.[LAUGHTER]|,Statement Opinion
|I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.|,Question
|Is that your phone?|,Question
"|Yeah, so [LAUGHTER] He's calling me now|",Backchannel
|He loves you.|,Statement Opinion
"|He likes to keep tabs, you know.|",Statement Opinion
|How much did he win at the slot?|,Question
"|Uh, I think seven hundred and fifty dollars.|",Statement Non Opinion
|Really? Penny slots?|,Disagreement
|Penny slots. That's what he plays.|,Statement Non Opinion
|Wow.|,Backchannel
|Yeah.|,Agreement
|I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.|,Statement Opinion
|Oh.|,Acknowledge
|Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-|,Statement Non Opinion
"|But the pennies always get you because you end up spending like, you know, fifty bucks.|",Statement Opinion
|Fifty bucks. Mmhmm.|,Backchannel
"|like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.|",Disagreement
|Yeah.|,Backchannel
|Well so now we're married. We have cat children.|,Statement Non Opinion
|Awesome.|,Acknowledge
|[LAUGHTER] Cat babies.|,Others
"|We renamed Brenda, Lumber Janet.|",Statement Non Opinion
|That's fair enough.|,Agreement
|She needs a new name each state that we go into. [LAUGHTER]|,Statement Non Opinion
"|Have you tried, uh, Craig's List?|",Question
"|Uh, what?  Craig's List?  Oh the internet thing?|",Backchannel
|Yeah.|,Backchannel
|I don't know.  Isn't that-- that's all like escort services and things like that.|,Question
|No.  There's regular jobs on there.|,Disagreement
"|I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.|",Statement Opinion
|Uh huh.|,Backchannel
|I'm just saying I have a friend that got a good job on it so I was just recommending it.|,Statement Opinion
|What kind of a job?|,Question
|He's like a manager for a theatre.|,Statement Non Opinion
|Really?|,Question
|He's like a house manager. Yeah.  It's a good job.|,Statement Opinion
|He just...|,Acknowledge
|you know what?  I heard about that job.  I applied for that.|,Statement Non Opinion
|You did?|,Question
|Yeah.  I saw a posting at the theatre.|,Statement Non Opinion
|Yeah.|,Agreement
|He got it?|,Question
|You've been looking for a job for a long time; that was a long time ago.  Right?|,Question
|Yeah.|,Agreement
|Hmm.|,Backchannel
|What did he do?  What was so great?  I don't understand why they would pick him over me.|,Disagreement
|I don't know.  He had a really good resume I guess and--|,Statement Opinion
|A resume?|,Question
|Yeah.  Do you have a resume?|,Question
|No.|,Answer
|It's kind of helpful when getting a job.|,Statement Opinion
|I just- I mean I call people up and I tell them what I'm good at.|,Statement Non Opinion
|Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.|,Others
|Yeah.|,Backchannel
|I don't like- I don't like sending things in the mail.  I don't want my information out there.|,Statement Opinion
"|No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--|",Disagreement
|I'm there in front of them.  I'm telling them what I'm good at.|,Statement Non Opinion
"|Yeah.  But the piece of paper helps, too.|",Acknowledge
|Why?  It's a piece of paper.|,Question
"|No.  But it has an outline, you know.|",Disagreement
"|I just don't want this paper trail, you know.  I just don't want things following me around, like-.|",Statement Opinion
"|I know.  Okay.  Well, um. Maybe--|",Backchannel
"|It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...|",Acknowledge
|Yeah.|,Acknowledge
"|Okay, yeah.  I would imagine.|",Acknowledge
|..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.|,Statement Opinion
"|Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.|",Statement Non Opinion
"|That's baloney, that's baloney.|",Disagreement
|Please.|,Command
|maybe get a car.|,Command
"|I just, you know, think you should try a little harder maybe.|",Statement Opinion
|you think that you're better than me because I don't have a car?|,Disagreement
|I didn't say that.|,Disagreement
"|You know, you're riding the bus, too.|",Statement Non Opinion
"|I am riding the bus, but by choice.|",Statement Opinion
|Why?  What choice?|,Question
"|To save the environment, carpool.|",Command
|You're saving the environment. mmhmm|,Acknowledge
|Yes.  One less car at a time.|,Agreement
|Interesting.  That's fantastic.|,Agreement
|Mmhmm.|,Backchannel
"|You know, you don't have to take out your frustration on me, you know, just because...|",Disagreement
|I'm not frustrated.|,Statement Opinion
|...you can't get a job and refuse to have a resume.|,Statement Opinion
|Who do you think you are?|,Disagreement
|I don't think I'm anyone.|,Statement Opinion
|You are so high and mighty.  I just--|,Disagreement
|I- I-I didn't-- okay.|,Apology
|Oh.  I'm saving the environment. I'm riding this car because I- I want to.|,Statement Opinion
|What?  No.|,Disagreement
|What? Oh.  So now you're...|,Acknowledge
"|The bus, I'm riding the bus because I want to.|",Statement Non Opinion
|you know what?  You don't have to take your anger and your hurt out on me.|,Disagreement
|I can not-- you are not here by choice.  Nobody would ride this bus by choice.|,Statement Opinion
|Why not?|,Question
|Hi.|,Greeting
|Hi.  Thanks for waiting.|,Greeting
|Yeah. This is the fourth line that I have been in.|,Acknowledge
|Can I help you?|,Question
|Uh huh.|,Backchannel
|I need my bag.|,Statement Non Opinion
|Okay.|,Acknowledge
"|I flew in over three hours ago, I've been in four different lines.|",Statement Non Opinion
|Okay.|,Acknowledge
|I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.|,Frustration
|Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.|,Question
|Nash.|,Others
|Okay.|,Backchannel
|No G.|,Others
|all right- okay.  And you lost your bag? Is that- that the issue?|,Question
|Yes.|,Agreement
|Flight seven fourteen.|,Statement Non Opinion
|Uh-huh.|,Backchannel
"|Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?|",Question
"|Yeah. Yeah, I don't see- I don't see any--|",Backchannel
"|I don't see any record of it, and I-usually when I don't see a record of it, that means um-|",Acknowledge
"|we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...|",Apology
"|Oh, Are you kidding me?|",Disagreement
"|for such an inconvenience and your bag, but|",Apology
|Is this a joke?|,Question
|Yeah.|,Acknowledge
"|No, no.|",Disagreement
"|Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.|",Question
"|No, no.  This is real.|",Disagreement
|So you'll give me money and then I'll get my bag?|,Question
"|No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...|",Apology
|this is the only track record that we have and if it's not listed here then it's probably not anywhere.|,Confident
"|You're kidding me, this is a joke.|",Disagreement
"|Once again, I'm really- I'm really sorry.|",Apology
|Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.|,Disagreement
|Yes.|,Agreement
|I know.|,Acknowledge
|We flew in from Paris.  I've been shopping for three weeks.|,Statement Non Opinion
"|I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--|",Apology
|I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.|,Command
|Okay. Calm-|,Acknowledge
"|Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really|",Disagreement
|Do you understand who my husband is?|,Question
"|If you're- if you're- if you're looking for a lawsuit, baby, you've found it.|",Disagreement
"|We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.|",Disagreement
|Oh-Oh.  It's a gift.  You're-You're helping me out here?|,Question
|It's a gift.|,Statement Non Opinion
"|You know, the airlines can not be held responsible for every bag of luggage that comes through here.|",Statement Opinion
|You are cruising for a bruising.  You are in so much trouble.|,Command
|With the amount of--|,Others
|Who's in charge?  Who is the president of Jet Blue?|,Question
"|Um, actually, I don't know. I don't know. Oh really?|",Statement Non Opinion
|Because I probably know him.|,Statement Non Opinion
|Yeah.|,Agreement
|Well then maybe you can just call him and he can give you more money.  But right now all I can do--|,Command
"|I don't want money, I want my clothes.|",Statement Opinion
"|Right now all I can do is just give you this fifty dollars, I'm really sorry.|",Apology
|What's your name?|,Question
|Oh.  My name is Sean. Hi.|,Greeting
|Sean.  Great. Do you have a badge number or something?|,Command
"|Badge number?  Uh, no.  You can just take my employee number I guess.|",Acknowledge
|Okay.  I'll do that.|,Agreement
|Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.|,Question
|I don't think you have done everything you could do because I don't have my bag here yet.|,Disagreement
"|If you want, you can write a letter.  I can give you the address. Yes.  An angry--|",Answer
|A letter? I'll make a personal phone call.|,Statement Non Opinion
"|Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...|",Statement Opinion
"|I'm sorry, Joy.|",Apology
|It's okay.|,Acknowledge
|Is there anything I can get you?  Do you want me to take care of anything for you or...?|,Question
"|No, no, no.|",Disagreement
|...pick up anything?|,Question
|No.|,Disagreement
|You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.|,Statement Non Opinion
|That's sweet.|,Acknowledge
|Thank you.|,Acknowledge
|I went to see her headstone a week or two ago.|,Statement Non Opinion
"|I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.|",Statement Opinion
|Hmm.|,Backchannel
|So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.|,Statement Opinion
|So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-|,Sadness
"|this woman came up and, you know, it was hers. It was her person that was there.|",Backchannel
|Oh.  She was there?|,Question
"|Yeah.  And she was like, that's pathetic, I hope you enjoy it.|",Statement Opinion
"|And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.|",Acknowledge
|Mmhmm.|,Backchannel
"|I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.|",Apology
|Yeah.|,Backchannel
|I don't know.|,Answer
|How long were you there for?|,Question
|At the cemetery?|,Question
|Mmhmm.|,Backchannel
|couple hours.|,Statement Non Opinion
"|I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.|",Statement Non Opinion
|Oh really?|,Backchannel
|You ran through the sprinklers in the cemetery?|,Question
|It was hot.[LIPSMACK]|,Statement Non Opinion
|Is it a big cemetery?|,Question
|Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.|,Agreement
"|Oh, so they're like really old too, really old ones?|",Acknowledge
|Yeah.|,Agreement
"|It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.|",Statement Opinion
"|My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.|",Statement Non Opinion
|She used to have these poetry parties on Memorial Day.|,Statement Non Opinion
|Mmhmm.|,Backchannel
|Umm. Yeah.|,Backchannel
"|And the last time before she died, I remember she couldn't really stand, umm...|",Statement Non Opinion
"|But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.|",Statement Opinion
|Mmhmm.|,Backchannel
"|Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-|",Statement Non Opinion
|So she wrote a lot of poetry?|,Question
"|There's another one, I can't remember.|",Statement Non Opinion
"|I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?|",Statement Opinion
|Mmhmm.Mmhmm.Mmhmm.|,Backchannel
|Did you get the letter?|,Question
"|Yes.  There's a big envelope it says, you're in. I know.|",Excitement
|Yeah. That is so awesome.|,Agreement
|Oh my God. What are you going to do? [LAUGHTER]|,Others
|So I have to move back to the ghetto but...I know.|,Statement Non Opinion
"|Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.|",Acknowledge
"|I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.|",Statement Opinion
"|Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?|",Question
"|Oh- I know, I know, I know, I know.|",Acknowledge
"|I don't know.  I spend so much time commuting as it is, I'd rather.|",Statement Opinion
|This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.|,Statement Opinion
|I know. We should throw a party.|,Statement Opinion
"|At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?|",Question
|A rapper party ho. Yeah. Okay.|,Backchannel
"|I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.|",Statement Opinion
|It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.|,Statement Opinion
|Yeah.  Big time.|,Agreement
|Mmhmm. Mmhmm. Yay. So what major?  What are you doing?|,Backchannel
"|Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.|",Statement Non Opinion
"|Oh, okay.|",Acknowledge
|Ooh. Fancy.|,Statement Opinion
|Yeah.  I'm not sure.|,Statement Non Opinion
|Is this a Masters or a P.h.D.?  Or can you...? Nice|,Question
|Umm...P.h.D. [LAUGHTER]|,Acknowledge
"|That's good.  Don't you have to like teach a class, too, when you do that?|",Question
"|Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.|",Backchannel
"|Teacher. Mrs. Nash, I have a question.|",Statement Non Opinion
|So I get to mold young minds. Mrs.?  That's my mother.|,Statement Non Opinion
|You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.|,Statement Non Opinion
"|I would be like- Oh. Right, right, right.|",Backchannel
"|Mrs. Nash.  That's so awesome, though.|",Statement Opinion
"|Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.|",Excited
|Yay...School's fun.|,Statement Opinion
"|Of course, right.  That's where the real money is, being a student.|",Statement Opinion
|Yeah.  Totally. [LAUGHTER]|,Agreement
|That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.|,Disagreement
"|I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.|",Apology
|What's he going to say?|,Question
|Maybe we should tell him before he sees it.|,Statement Opinion
|He saw it.|,Statement Non Opinion
|How could he see it?  I was the first one up; he was still in bed.|,Question
|He was out here when it broke.|,Statement Non Opinion
|When?|,Question
|Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.|,Statement Non Opinion
|What was he doing out here at four o clock in the morning?|,Question
|I don't know.|,Answer
"|He's dreaming of him again, walking around.|",Statement Non Opinion
|I guess he is.|,Statement Opinion
|It's getting to be just like after he died.  What's the meaning of that?|,Question
"|I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.|",Statement Opinion
|What?|,Question
"|Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.|",Pride
|What do you mean dishonest?|,Disagreement
|You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?|,Question
|What do you want to do?  Argue with him?|,Question
|I don't want to argue but it's time he realized that nobody believes Larry is alive.|,Disagreement
"|You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?|",Question
|You can't say that to him.|,Command
|We've got to say it to him.|,Command
|Where's the proof?  Do you have any proof?|,Question
"|For God's sake, three years?  Nobody comes back after three years; that's insane.|",Disbelief
"|To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?|",Statement Opinion
"|Sit down, Mom.  I want to talk to you.|",Command
"|It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--|",Anger
"|All right, all right, all right.  You know why I asked Annie here, right?|",Question
|Why?|,Question
|You know.|,Backchannel
"|Well I got an idea, but what's your story?|",Question
|I'm going to ask her to marry me.|,Statement Non Opinion
"|Well that's only your business, Chris.|",Statement Non Opinion
|You know it's not just my business.|,Statement Opinion
|Well what do you want me to do?  You're old enough to know your own mind.|,Disagreement
"|So all right then, I'll just go ahead with it?|",Question
|Well you want to make sure that your father is not going to --|,Statement Non Opinion
|Then it's not just my business.|,Acknowledge
|I'm just saying.|,Statement Opinion
"|You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.|",Frustration
|Oh.  I ignore what I got to ignore.  That girl is Larry's girl.|,Statement Non Opinion
|She's not Larry's girl.|,Statement Non Opinion
"|From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.|",Statement Non Opinion
"|Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.|",Statement Opinion
"|I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.|",Statement Opinion
"|You're a considerate fellow, there's nothing wrong in that.|",Agreement
|To hell with that.|,Disagreement
|I just don't see why.  Have you asked Annie yet?|,Disagreement
|I wanted to get this settled first.|,Statement Opinion
|Well how do you know she's going to marry you?  Maybe she feels the same way your father does.|,Disagreement
"|Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.|",Statement Opinion
|And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.|,Question
|The trouble is you don't see enough women.  You never did.|,Disagreement
|So what.  I'm not fast with women.|,Disagreement
|Why does it have to be Annie?|,Question
|Because it is.|,Answer
|Oh that's a great reason.  It's no reason at all.|,Disagreement
|I don't know.|,Answer
"|You haven't seen her since you went away to war, it's been five years.|",Statement Non Opinion
"|I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.|",Affection
"|Mom, what do you want?  A diagram?|",Question
|I don't want a diagram.|,Disagreement
|He thinks he's coming back Chris.|,Statement Non Opinion
"|You marry that girl, you are pronouncing him dead...|",Disagreement
|...and then what's that going to do to your father?  Do you know?  I don't.|,Question
"|All right, then, Mom. [BREATHING]|",Agreement
|Just give it some more thought.|,Command
"|I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.|",Statement Opinion
"|But if I can't do that here, I may have to go somewhere else.|",Statement Opinion
|What the hell is this?|,Question
"|I'll get out.  I'll get married and I'll move somewhere else, maybe New York.|",Statement Non Opinion
|Are you crazy?|,Disagreement
"|I've been a good son for too long, a good sucker.|",Others
|You have a business here.  What the hell is this?|,Disagreement
|The business?  The business doesn't inspire me.|,Statement Opinion
|Oh.  Must you be inspired?|,Disagreement
"|Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.|",Statement Opinion
"|I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.|",Statement Opinion
|You mean to tell me that you would leave the business over this?|,Question
"|On this, I would.|",Agreement
|Well you don't want to think like that.|,Command
|Then help me stay here.|,Command
"|All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.|",Disagreement
|I know that.  Then just help me stay here.|,Command
|Just don't think like that.|,Command
|Well I am thinking like that.|,Statement Opinion
"|I don't understand you, do I?|",Question
|No.  You don't.  I'm a pretty tough guy.|,Disagreement
|I can see that.|,Acknowledge
|Why did he invite her here?|,Question
|Why does that bother you?|,Question
"|She's been in New York three and an half years, why all of a sudden?|",Question
|Well maybe...maybe he just wanted to see her.|,Statement Opinion
|Nobody comes seven hundred miles just to see.|,Statement Opinion
"|What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her?|",Disagreement
|[BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.|,Disagreement
|He's not going to marry her.|,Statement Non Opinion
|How do you know he's even thinking about it?|,Question
|It's got that about it.|,Statement Opinion
|Oh.  So what.|,Disagreement
"|What is going on here, Joe?|",Question
|Now listen.|,Command
|She is not his girl.  She knows she's not.|,Statement Non Opinion
|You can't read her mind.|,Statement Non Opinion
"|Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.|",Statement Opinion
|How do you know why she waited?|,Question
"|Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.|",Statement Opinion
"|Hey look, it's a nice day, huh?  Why are we arguing?|",Agreement
"|Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.|",Disagreement
|What do you want me to do? What do you want?|,Question
"|I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.|",Command
|I won't stand for any nonsense.|,Command
|Kate.|,Others
"|Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.|",Statement Non Opinion
|[BREATHING]|,Others
|Calm yourself.|,Command
"|Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.|",Command
|Okay. Calm yourself.|,Command
"|I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?|",Backchannel
"|Look at you, you're shaking.|",Acknowledge
|I can't help it.|,Statement Opinion
"|What have I got to hide?  What the hell is the matter with you, Kate?|",Disagreement
|You're the only one who still loves his parents.|,Statement Opinion
"|I know.  It kind of went out of style, didn't it?|",Acknowledge
|It's not so bad; it's a good thing.|,Statement Opinion
"|[BREATHING] You know, it's lovely here.  The air is sweet.|",Statement Opinion
|You're not sorry you came.|,Statement Opinion
"|I'm not sorry, no. But I'm...I can't stay.|",Disagreement
|Why not?|,Question
"|For one thing, your mother much as told me to go.|",Statement Opinion
|Well.|,Backchannel
"|And then, you.  You've been kind of...|",Statement Opinion
|What?|,Question
|Sort of embarrassed ever since I got here.|,Statement Opinion
|Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.|,Statement Opinion
|I knew they would.|,Statement Opinion
|You did?|,Question
"|Well sure, from your mother's point of view.  Why else would I come?|",Disagreement
"|So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?|",Question
"|I, umm. I guess, I guess that's kind of why I came.|",Statement Opinion
|[BREATHING]|,Others
"|I love you. Annie, I love you.|",Statement Opinion
|[LAUGHTER]|,Acknowledge
"|I don't really have any imagination, that's all I know how to say.|",Statement Non Opinion
|[LAUGHTER]|,Others
