Text, DeepSeek-v3
10,anger
11,anger
12,sadness
13,neutral
14,neutral
15,fear
16,sadness
17,sadness
18,neutral
19,neutral
20,neutral
21,neutral
22,neutral
"|1. - Joey - Okay, look, I think we have to tell Rachel she messed up her dessert. 2.- Ross - . What?! What is with everybody? It's Thanksgiving, not...Truth-Day!|","[""neutral"", ""surprised""]"
1,sadness
2,fear
3,anger
4,neutral
5,joy
6,neutral
7,joy
1,neutral
2,joy
3,joy
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
10,joy
11,neutral
12,neutral
13,surprised
14,neutral
1,anger
2,anger
3,disgust
4,surprised
5,anger
6,neutral
1,anger
2,fear
3,neutral
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
10,joy
1,joy
2,joy
3,neutral
4,surprised
5,neutral
6,neutral
7,fear
8,neutral
9,fear
10,disgust
11,neutral
12,anger
1,joy
2,neutral
3,surprised
4,neutral
1,neutral
2,neutral
3,neutral
4,surprised
5,neutral
6,fear
1,anger
2,neutral
3,neutral
4,sadness
5,surprised
6,sadness
7,anger
8,neutral
9,neutral
10,sadness
11,neutral
12,neutral
13,neutral
14,neutral
15,neutral
16,neutral
17,neutral
18,neutral
19,neutral
20,neutral
21,neutral
22,neutral
23,joy
"|1. - Ross - Go, go, go! 2.- Rachel - . Oh yeah, now everybody wants to be under this hat! 3.- Phoebe - . Oy!! 4.- Monica - . What's with all this sand? 5.- Phoebe - . Oh, yeah, Bob said there might be flood damage. 6.- Ross - . Yeah, either that, or he has a really big cat.|","[[""joy"", ""anger"", ""surprised"", ""neutral"", ""neutral"", ""joy""]]"
"|1. - Joey - Okay, see that blind guy right there? I'm gonna bash his head in later. 2.- Joey - . Oh umm, my big scene is coming up. Big scene coming up. 3.- Chandler - . If you said, ""Big lima bean, bubbling up."" Would she understand the difference? 4.- Monica - . Rach? What are you doing? 5.- Rachel - . Oh boy, I just can't watch. It's too scary! 6.- Monica - . It's a diaper commercial. 7.- Rachel - . Oh yeah well, you know me, babies, responsibilities, ahhh!!! 8.- Caitlin - . Pizza delivery! 9.- Ross - . I'll get it! I will get that! 10.- Caitlin - . Hi! 11.- Ross - . Hi!|","[""anger"", ""neutral"", ""neutral"", ""neutral"", ""fear"", ""neutral"", ""fear"", ""neutral"", ""joy"", ""neutral"", ""joy""]"
"|1. - Ross - Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh? 2.- Joey - . Uhh, the ball thing. 3.- Ross - . Yeah? 4.- Joey - . Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?! 5.- Ross - . Uhh, 6.- Joey - . Okay! 7.- Joey - . Uh-oh. 8.- Ross - . What? 9.- Joey - . I have to pee. And Rachel's in the bathroom! 10.- Joey - . Man, I didn't think we were gonna make it! 11.- Ross - . I know! Don't switch hands, okay?|","[neutral, neutral, neutral, joy, neutral, neutral, fear, neutral, fear, joy, neutral]"
|1. - Joey - Hey. 2.- Phoebe - . Hey!|,"[[""neutral"", ""joy""], [1, 2]]"
1,neutral
2,joy
3,neutral
4,neutral
5,neutral
6,neutral
7,joy
8,joy
9,neutral
10,neutral
11,surprised
12,joy
13,neutral
14,joy
15,joy
16,surprised
17,neutral
1,surprised
2,fear
3,joy
4,surprised
5,neutral
6,neutral
7,sadness
8,neutral
9,neutral
10,neutral
11,neutral
12,disgust
13,joy
14,joy
1,disgust
2,neutral
3,fear
4,neutral
1,fear
2,anger
3,surprised
4,disgust
5,neutral
6,neutral
7,neutral
8,neutral
9,joy
1,neutral
2,neutral
3,sadness
4,joy
5,surprised
6,neutral
7,neutral
8,neutral
9,fear
1,joy
2,joy
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,surprised
13,neutral
14,neutral
1,fear
2,sadness
3,neutral
4,neutral
5,neutral
6,joy
7,joy
8,joy
9,neutral
10,neutral
11,neutral
12,sadness
13,sadness
14,sadness
"|1. - Monica - Okay, come on, I can't get married until I get something old, something new, something borrowed, and something blue. 2.- Chandler - . Okay, all right, all right, all right! Okay! Okay, here's something, here's something blue and new.|","[""neutral"", ""surprised""]"
1,anger
2,surprised
3,joy
4,joy
5,neutral
6,neutral
7,sadness
8,sadness
1,joy
2,joy
3,neutral
4,neutral
5,surprised
6,anger
7,anger
8,anger
9,neutral
10,anger
11,sadness
12,neutral
13,neutral
1,neutral
2,fear
3,disgust
4,fear
5,anger
6,surprised
7,anger
8,sadness
9,anger
10,neutral
11,neutral
12,neutral
13,neutral
14,surprised
15,neutral
16,anger
"|1. - Joey - Oh well, it's not on TV yet. 2.- The Dry Cleaner - . Well, then it's not on the wall yet. 3.- Joey - . Okay, fine, I will bring you a tape, huh? 4.- Phoebe - . So umm, now do you have any of Matt Lauer's clothes here? Maybe? Just ones that haven't been cleaned yet?|","[""neutral"", ""neutral"", ""neutral"", ""neutral""]"
1,surprised
2,disgust
3,neutral
4,disgust
5,neutral
6,neutral
7,surprised
8,neutral
9,neutral
10,neutral
11,anger
12,anger
13,anger
14,neutral
15,neutral
16,neutral
17,neutral
18,sadness
19,neutral
1,neutral
2,joy
3,neutral
4,neutral
5,surprised
6,fear
7,neutral
8,neutral
9,joy
10,neutral
11,neutral
1,neutral
2,neutral
3,neutral
4,joy
5,sadness
6,neutral
7,neutral
8,surprised
9,neutral
10,surprised
11,anger
12,neutral
13,neutral
14,anger
1,surprised
2,joy
3,joy
4,joy
5,joy
6,neutral
1,neutral
2,joy
3,neutral
4,neutral
5,disgust
6,anger
"|1. - Monica - Okay, we have a lot of options here, a number of prototypes for you to try on. 2.- Joey - . Wow! This looks great! 3.- Monica - . Yeah! Okay, this one is a mushroom cap. Umm, this one is made of bologna. 4.- Joey - . And-and-and-and-and the toothpicks?|","[""neutral"", ""surprised"", ""joy"", ""neutral""]"
1,anger
2,anger
3,neutral
4,neutral
5,surprised
6,neutral
7,anger
8,surprised
9,joy
10,joy
11,surprised
12,surprised
"|1. - Kate - Happy?! Is that what I'm supposed to be Vic? Happy? 2.- Joey - . Well, why don't you tell me what you're supposed to be! 3.- Joey - . Huh? 4.- Joey - . Because I sure as hell can't figure it out! 5.- Joey - . I talk to you and nothin'. 6.- Joey - . You look at me, and it's nothin'. 7.- Joey - . Nothing. 8.- The Director - . Tasty! I'm really starting to feel like you guys have a history, it's-it's nice. 9.- Kate - . I have a question about this scene. 10.- The Director - . Yes? 11.- Kate - . Well, I don't understand why Adrienne's attracted to Victor. 12.- The Director - . Peel the onion. First of all, he's good looking. 13.- Joey - . Yeah. 14.- Kate - . I think my character's gonna need a little bit more of reason than that. 15.- Joey - . Oh, hey, how about this one. 16.- Joey - . Ah, it's says so in the script! 17.- Joey - . Y'know ah, I-I don't know why my character likes you either, I mean it says in the script here that you're a bitch. 18.- Kate - . It doesn't say that in the script. 19.- Joey - . It does in mine!|","[""anger"", ""anger"", ""neutral"", ""anger"", ""sadness"", ""sadness"", ""sadness"", ""joy"", ""neutral"", ""neutral"", ""neutral"", ""neutral"", ""neutral"", ""neutral"", ""neutral"", ""neutral"", ""anger"", ""neutral"", ""anger""]"
1,sadness
2,anger
3,neutral
4,neutral
5,joy
6,neutral
7,joy
8,neutral
9,disgust
10,neutral
11,neutral
12,surprised
13,joy
14,neutral
15,anger
1,neutral
2,surprised
3,neutral
4,neutral
5,neutral
6,surprised
7,neutral
8,sadness
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,sadness
15,fear
16,anger
"|1. - Chandler - Everything's gonna be all right. Okay, Dick? 2.- Guru Saj - . Hello, I am Guru Saj--Whoa!! That's supposed to be a duck right? 'Cause otherwise, this is waaay out of my league.|","[""neutral"", ""surprised""]"
"|1. - Monica - Hey, Rach, how was work? 2.- Rachel - . Oh, great. Although I did sit down where there wasn't a chair. 3.- Monica - . By the way, Ross dropped by a box of your stuff. 4.- Rachel - . Oh, well, I guess I had that one coming. 5.- Rachel - . I'm just gonna throw it out, it's probably just a bunch of shampoo and... 6.- Monica - . Something wrong? 7.- Rachel - . No. Nothing.|","[neutral, neutral, neutral, sadness, neutral, neutral, neutral]"
"|1. - Charlie - And then, and then you said that thing about, about bringing the Mesozoic era in the 21st century. 2.- Ross - . Yeah, that's it? 3.- Charlie - . Yeah.|","[""neutral"", ""neutral"", ""neutral""]"
"|1. - Joey - Dude, I am sorry about what I said! 2.- Chandler - . No, no, you're right, it is a ridiculous name! 3.- Joey - . It's not that bad. 4.- Chandler - . Yes it is! From now on, I have no first name. 5.- Joey - . So, you're just Bing?|","[""neutral"", ""sadness"", ""neutral"", ""anger"", ""neutral""]"
1,joy
2,surprised
3,anger
4,surprised
5,neutral
6,neutral
7,joy
8,joy
9,joy
10,anger
11,disgust
12,sadness
13,joy
14,neutral
15,neutral
1,neutral
2,joy
3,neutral
4,neutral
5,neutral
6,joy
7,neutral
8,joy
9,neutral
10,neutral
11,surprised
12,neutral
13,neutral
14,neutral
15,joy
16,joy
17,joy
1,neutral
2,neutral
3,disgust
4,fear
5,sadness
6,neutral
7,neutral
8,neutral
9,joy
10,joy
11,neutral
12,joy
13,sadness
14,surprised
15,neutral
16,surprised
17,neutral
18,neutral
19,neutral
20,neutral
21,anger
22,neutral
1,joy
2,anger
3,neutral
4,neutral
5,neutral
6,fear
7,surprised
8,fear
9,joy
10,surprised
11,neutral
12,neutral
13,neutral
14,anger
15,surprised
16,anger
17,neutral
1,neutral
2,neutral
3,neutral
4,anger
5,anger
6,anger
7,anger
8,anger
9,sadness
10,sadness
11,anger
12,anger
1,neutral
2,joy
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,surprised
1,neutral
2,surprised
3,neutral
4,disgust
5,anger
6,neutral
7,joy
8,neutral
9,neutral
1,fear
2,anger
3,neutral
4,fear
5,joy
6,neutral
7,joy
8,sadness
9,sadness
10,neutral
11,joy
12,neutral
13,fear
14,fear
15,sadness
16,neutral
17,sadness
18,joy
19,joy
20,joy
21,neutral
22,neutral
23,neutral
24,anger
1,joy
2,joy
3,neutral
4,surprised
5,neutral
6,neutral
7,neutral
8,neutral
9,anger
10,neutral
11,neutral
12,neutral
13,neutral
14,neutral
15,neutral
16,anger
17,neutral
1,surprised
2,neutral
3,fear
4,neutral
5,joy
6,neutral
7,joy
8,fear
9,fear
10,fear
1,surprised
2,neutral
3,joy
4,neutral
5,anger
6,surprised
7,neutral
8,neutral
9,neutral
10,neutral
1,joy
2,joy
3,neutral
4,surprised
5,joy
6,neutral
7,joy
8,surprised
9,joy
10,neutral
1,neutral
2,anger
3,anger
4,neutral
5,disgust
6,fear
7,disgust
8,joy
9,anger
1,neutral
2,joy
3,neutral
4,joy
5,neutral
6,surprised
7,neutral
8,neutral
9,disgust
10,surprised
11,neutral
1,joy
2,disgust
3,joy
4,surprised
5,joy
6,anger
7,neutral
8,sadness
1,disgust
2,neutral
3,joy
4,neutral
5,sadness
6,joy
7,neutral
8,surprised
9,joy
10,anger
11,neutral
12,anger
13,disgust
"|1. - Ross - See, I see.... big passion in your future. 2.- Rachel - . Really? 3.- Ross - . I do. 4.- Rachel - . Oh Ross, you're so great. [she playfully rubs his head and gets up]|","[""neutral"", ""surprised"", ""neutral"", ""joy""]"
1,neutral
2,fear
3,neutral
4,neutral
5,surprised
6,sadness
7,neutral
8,sadness
9,joy
10,neutral
11,sadness
12,disgust
1,surprised
2,neutral
3,joy
4,neutral
5,joy
6,sadness
7,joy
8,joy
9,neutral
10,joy
11,neutral
12,neutral
13,neutral
14,neutral
15,neutral
"|1. - Director - ...Dammit, hire the girl! Okay, everybody ready? 2.- Joey - . Uh, listen, I just wanna thank you for this great opportunity. 3.- Director - . Lose the robe. 4.- Joey - . Me?|","[""anger"", ""joy"", ""neutral"", ""surprised""]"
1,joy
2,neutral
3,neutral
4,surprised
5,sadness
6,disgust
7,anger
"|1. - Tony - Wow! That's ah, that's pretty nice! 2.- Joey - . Pretty nice? 3.- Chandler - . You'll have to pardon my roommate, he wanted to marry this. 4.- Tony - . We don't have 50 bucks, but would you be willing to trade for it? We've got a canoe. 5.- Chandler - . Y'know, I, I really don't think we need a canoe. 6.- Tony - . You gotta take the canoe! 7.- Chandler - . All right, just, just take the entertainment center, and then when you get home, throw the canoe away! 8.- Peter - . We're not throwing it away! I built that canoe! 9.- Joey - . Good for you!!|","[joy, surprised, neutral, neutral, neutral, anger, anger, anger, joy]"
|1. - Rachel - Pheebs? 2.- Phoebe - . Yeah?|,"[""neutral"", ""neutral""]"
1,neutral
2,surprised
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
"|1. - Chandler - Okay, but this is the last time. 2.- Chandler - . With a chick-chick here, and a chick-chick there. 3.- Chandler - . Here a chick, there a chick, everywhere a chick-chick--chickeeeen. 4.- Joey - . Hey. 5.- Chandler - . Hey. 6.- Joey - . How's she doing? 7.- Chandler - . She? 8.- Joey - . Well yeah, don't-don't you think it's a she? 9.- Chandler - . I don't know. I can't tell, what ever it was went back in too quickly. 10.- Joey - . Well, anyway, I got to go change, I'm ah, meeting some of the cast for drinks. 11.- Chandler - . Excuse me? 12.- Joey - . What?|","[neutral, neutral, joy, neutral, neutral, neutral, surprised, neutral, neutral, neutral, surprised, neutral]"
1,neutral
2,sadness
3,neutral
4,neutral
5,disgust
6,anger
7,fear
1,neutral
2,neutral
3,neutral
4,neutral
5,neutral
6,neutral
7,joy
8,joy
9,surprised
"|1. - Dr. Long - Do we have a name yet? 2.- Rachel - . No, not yet. 3.- Dr. Long - . That's fine, for now we'll just call her Baby Girl Green. 4.- Rachel - . Oh no, Baby Girl Geller-Green. 5.- Rachel - . Hello baby girl.|","[""neutral"", ""neutral"", ""neutral"", ""surprised"", ""joy""]"
1,joy
2,fear
3,neutral
4,surprised
5,anger
6,disgust
1,neutral
2,disgust
3,joy
4,surprised
5,neutral
6,sadness
7,neutral
8,neutral
1,neutral
2,joy
3,surprised
4,neutral
5,joy
6,joy
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,neutral
7,joy
8,surprised
9,neutral
10,neutral
11,neutral
12,sadness
13,neutral
14,neutral
15,sadness
16,sadness
17,neutral
1,neutral
2,neutral
3,anger
4,sadness
5,anger
6,neutral
7,neutral
8,joy
9,disgust
10,anger
11,joy
"|1. - Charlton Heston - Hello! Who's in there? 2.- Joey - . How ya doin'? 3.- Charlton Heston - . Who in the hell are you? 4.- Joey - . I guess you wouldn't believe me if I said I was Kurt Douglas, huh?|","[""neutral"", ""joy"", ""anger"", ""surprised""]"
"|1. - Monica - No-no, Rachel, don't get it! He can't see us! 2.- Phoebe - . No, yeah! The groom cannot see the bride! 3.- Rachel - . I'm not gonna marry Chandler! 4.- Phoebe - . Not after this! 5.- Rachel - . Okay, you guys, just relax. I doooo. 6.- Joshua - . I gotta go. 7.- Rachel - . Oh, wait, Joshua! Joshua! Yeah, well, that oughta do it.|","[""fear"", ""neutral"", ""sadness"", ""neutral"", ""joy"", ""neutral"", ""sadness""]"
"|1. - Rachel - Sorry I'm late, but I left late. 2.- Phoebe - . Okay. 3.- Rachel - . So Pheebs, what is the book about? 4.- Phoebe - . I thought you said you read it in high school. 5.- Rachel - . Well yeah, but then I remembered I started it and there was this pep rally and I was, I was on top of the pyramid but anyway--umm, what is this book about?|","[""neutral"", ""neutral"", ""joy"", ""neutral"", ""sadness""]"
"|1. - Rachel - Excuse me, can I, can I bum one of those? 2.- Rachel - . Y'know what, actually... Okay, okay, okay, what's so funny over here? 3.- Nancy - . I thought you didn't smoke. 4.- Rachel - . Oh, I thought you guys meant marijuana cigarettes, y'know? 5.- Rachel - . Y'know what I mean, like dubbies? 6.- Rachel - . And I actually, I thought to myself, ""Wow, those guys are crazy!"" 7.- Rachel - . But no, I actually smoke the regular ones all, all the time. 8.- Kim - . We get high. 9.- Rachel - . Oh, me too. 10.- Kim - . I'm kidding. 11.- Rachel - . Oh, me too.|","[[""neutral"", 1], [""neutral"", 2], [""neutral"", 3], [""surprised"", 4], [""neutral"", 5], [""surprised"", 6], [""neutral"", 7], [""neutral"", 8], [""joy"", 9], [""neutral"", 10], [""neutral"", 11]]"
1,concern
2,neutral
3,concern
4,neutral
5,joy
6,neutral
7,neutral
8,joy
9,joy
10,neutral
"|1. - Phoebe - You know what? You are right. I 2.- Rachel - . Good for you Pheebs! 3.- Phoebe - . Ok. 4.- Phoebe - . Okay If you guys have microphones in there too, I didn't mean|","[""neutral"", ""joy"", ""neutral"", ""fear""]"
1,anger
2,neutral
3,joy
4,neutral
5,surprised
6,anger
7,anger
8,neutral
9,joy
10,surprised
11,neutral
12,anger
13,neutral
14,joy
1,anger
2,anger
3,anger
4,neutral
"|1. - Chandler - All right, there's a nuclear holocaust, I'm the last man on Earth. Would you go out with me? 2.- Monica - . Enhh 3.- Chandler - . I've got canned goods. 4.- Joey - . Hey, you guys! Take a look at this! Check this baby out, dug me a hole! 5.- Chandler - . Excellent hole, Joe. 6.- Joey - . Oh no! No!! My hole!! 7.- Monica - . Ow!! Ow!!! 8.- Joey - . What?! What?!! What is it?!|","[[""surprised"", ""disgust"", ""neutral"", ""joy"", ""neutral"", ""sadness"", ""sadness"", ""fear""]]"
1,neutral
2,neutral
3,neutral
4,neutral
5,anger
6,fear
7,neutral
8,sadness
9,neutral
10,neutral
11,joy
12,joy
13,neutral
14,neutral
15,neutral
16,neutral
1,joy
2,surprised
3,neutral
4,disgust
5,joy
6,sadness
7,surprised
8,anger
9,anger
10,neutral
11,neutral
12,sadness
13,surprised
14,neutral
15,joy
16,joy
17,neutral
18,neutral
"|1. - Monica - Hello, this is Monica... 2.- Monica - . Yeah??? 3.- Monica - . Oh... 4.- Monica - . Okay, yes, we'll be right, we'll be right down. 5.- Monica - . Thank you.|","[""neutral"", ""surprised"", ""sadness"", ""neutral"", ""joy""]"
1,neutral
2,surprised
3,neutral
4,fear
5,disgust
1,joy
2,joy
3,neutral
4,joy
5,neutral
6,neutral
7,joy
8,anger
9,joy
10,neutral
11,disgust
12,anger
13,neutral
14,joy
15,neutral
16,neutral
17,neutral
18,anger
19,neutral
"|1. - Ross - Th-th-that's all it is, a third nipple. 2.- Ross - . Just your run-of-the-mill third nipple. 3.- Ross - . You can take it off. 4.- Ross - . Just slice that baby right off! 5.- Dr. Rhodes - . Take your shirt off, and let's see what we're dealing with here. What are you doing? 6.- Ross - . Just showing you my run-of-the-mill-slice-it-right-off third nipple. 7.- Dr. Rhodes - . Well that's not a third nipple. 8.- Ross - . No? 9.- Dr. Rhodes - . First of all, it's on your ass. 10.- Ross - . Well then, what is it?! 11.- Dr. Rhodes - . Wait a minute, hold it. Johnson! Will you come in here a moment? 12.- Dr. Johnson - . I'm with Hamilton! 13.- Dr. Rhodes - . He's good with rear things, bring him in too.|","[[""neutral"",1],[""neutral"",2],[""neutral"",3],[""joy"",4],[""neutral"",5],[""neutral"",6],[""neutral"",7],[""surprised"",8],[""neutral"",9],[""fear"",10],[""neutral"",11],[""anger"",12],[""neutral"",13]]"
1,neutral
2,neutral
3,surprised
4,neutral
5,joy
6,neutral
7,joy
8,joy
"|1. - Janice - So? Congratulations you two, I didn't even know you got married. 2.- Rachel - . Oh we-we didn't. 3.- Ross - . No-no. We 4.- Janice - . What?! 5.- Ross - . Um uh...We're-we're just having this baby together but uh, uh that's all. 6.- Janice - . Why?!! 7.- Ross - . Uh well umm...we're just not in that place, y'know? But we're very excited about this. 8.- Janice - . Oh. Well then shut me up. 9.- Rachel - . Just tell me how. 10.- Janice - . Uh-oh, I feel another one coming.|","[""neutral"", ""sadness"", ""neutral"", ""surprised"", ""neutral"", ""surprised"", ""neutral"", ""neutral"", ""neutral"", ""neutral""]"
"|1. - Joey - Let it go, Ross. 2.- Ross - . Yeah, well, you didn't know Chi Chi. 3.- Monica - . Do you all promise? 4.- Monica - . Chandler? Do you promise to be good? 5.- Joey - . You can come in, but your filter-tipped little buddy has to stay outside! 6.- Ross - . Hey, Pheebs. 7.- Phoebe - . Dear Ms. Buffay. 8.- Phoebe - . Thank you for calling attention to our error. 9.- Phoebe - . We have credited your account with five hundred dollars. 10.- Phoebe - . We're sorry for the inconvenience, and hope you'll accept this- -|","[[""neutral"", 1], [""sadness"", 2], [""neutral"", 3], [""neutral"", 4], [""anger"", 5], [""neutral"", 6], [""neutral"", 7], [""neutral"", 8], [""joy"", 9], [""neutral"", 10]]"
"|1. - Chandler - Oh my God, honey we are so meant to be together. We both have copies of the 2.- Monica - . Honey, both yours. 3.- Rachel - . Hey! Great advice on that Joey thing! 4.- Monica - . Yeah? The work problem? 5.- Rachel - . Oh it was perfect! I mean it really felt like he was my friend again. 6.- Chandler - . What problem did you tell him you had? 7.- Rachel - . Oh that's not important. The point is, I really--I think everything's gonna be okay.|","[[""joy"", ""surprised""], [""neutral"", ""neutral""], [""joy"", ""joy""], [""neutral"", ""neutral""], [""joy"", ""joy""], [""neutral"", ""neutral""], [""joy"", ""neutral""]]"
1,disgust
2,disgust
3,joy
4,joy
5,joy
6,sadness
7,sadness
8,anger
9,neutral
10,neutral
11,neutral
12,neutral
13,sadness
14,neutral
15,anger
16,anger
17,anger
18,anger
19,neutral
20,anger
21,neutral
"|1. - Monica - All right, I definitely taste nutmeg. 2.- Phoebe - . You do? 3.- Monica - . You don't? Well, that's the difference between a professional and a layman. 4.- Phoebe - . That and arrogance. 5.- Joey - . Hey. 6.- Monica - . Hey! How was sailing?|","[""neutral"", ""surprised"", ""joy"", ""disgust"", ""neutral"", ""joy""]"
1,joy
2,neutral
3,joy
4,neutral
5,neutral
6,sadness
7,sadness
8,neutral
9,surprised
10,neutral
11,neutral
12,neutral
13,neutral
14,fear
15,neutral
16,anger
17,anger
18,anger
1,anger
2,neutral
3,anger
4,sadness
5,disgust
1,fear
2,anger
3,neutral
4,neutral
5,sadness
6,sadness
7,disgust
8,neutral
9,joy
10,neutral
11,neutral
"|1. - Chandler - Check this out. 2.- Chandler - . It says here that there's a place you can go to rent videos of all the museums! 3.- Chandler - . ""It's almost as good as being there."" 4.- Joey - . It's better! You can't go to a museum in your underwear! 5.- Joey - . Oh-ho! I bet the British version is gooooood!|","[""neutral"", ""joy"", ""joy"", ""joy"", ""surprised""]"
1,neutral
2,neutral
3,neutral
4,neutral
5,anger
6,neutral
7,anger
8,surprised
1,neutral
2,neutral
3,sadness
4,surprised
5,neutral
6,neutral
7,neutral
8,neutral
1,fear
2,neutral
3,sadness
4,anger
1,neutral
2,anger
3,neutral
4,anger
5,anger
6,neutral
1,neutral
2,neutral
3,joy
4,neutral
5,sadness
6,neutral
7,anger
8,neutral
9,anger
10,neutral
11,neutral
12,neutral
13,sadness
1,fear
2,joy
3,disgust
4,joy
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,neutral
1,neutral
2,joy
3,neutral
4,neutral
5,anger
6,neutral
7,sadness
1,neutral
2,sadness
3,joy
4,neutral
5,joy
6,neutral
7,neutral
8,anger
9,neutral
10,sadness
11,neutral
12,neutral
13,disgust
14,disgust
15,neutral
16,joy
1,neutral
2,anger
3,neutral
4,neutral
5,anger
6,neutral
7,anger
8,neutral
9,anger
10,neutral
11,anger
1,joy
2,disgust
3,neutral
4,disgust
5,sadness
6,neutral
7,sadness
8,neutral
9,sadness
10,neutral
11,neutral
12,surprised
1,fear
2,joy
3,neutral
4,fear
5,joy
6,surprised
7,disgust
8,fear
9,surprised
1,joy
2,anger
3,joy
4,anger
5,joy
6,anger
7,neutral
8,anger
9,anger
10,sadness
11,neutral
12,neutral
13,anger
"|1. - Chandler - All right buddy, time to roll over. 2.- Chandler - . No-no! 3.- Chandler - . No, no-n-n-n-no!! 4.- Chandler - . You are going to a clinic! 5.- Chandler - . You're going to a clinic, and a pyjama store!|","[""neutral"", ""anger"", ""anger"", ""anger"", ""joy""]"
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,joy
7,neutral
8,joy
9,neutral
10,joy
1,neutral
2,anger
3,sadness
4,disgust
5,sadness
6,neutral
7,surprised
8,neutral
9,neutral
10,neutral
11,joy
12,neutral
13,surprised
14,neutral
15,neutral
1,surprised
2,neutral
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,disgust
11,neutral
12,joy
13,neutral
14,neutral
15,neutral
16,neutral
17,neutral
18,joy
"|1. - Commercial - Problem odour in the litter box? Don't change your kitty, change your kitty litter. 2.- Monica - . Sorry, Pheebs. 3.- Joey - . Yeah. You okay?|","[""neutral"", ""sadness"", ""neutral""]"
1,surprised
2,neutral
3,sadness
4,fear
5,neutral
6,neutral
7,fear
8,joy
9,sadness
10,neutral
11,sadness
1,fear
2,neutral
3,neutral
4,neutral
5,neutral
6,neutral
7,sadness
8,neutral
9,surprised
10,neutral
1,neutral
2,sadness
3,surprised
4,neutral
5,neutral
"|1. - Ross - Good evening, sir. 2.- Ross - . My name is Ross Geller. 3.- Ross - . I'm one of the people who applied for the apartment. 4.- Ross - . And I-I realize that the competition is fierce but--I'm sorry. 5.- Ross - . I, I can't help but notice you're naked and I applaud you. 6.- Ross - . Man, I wish I was naked. 7.- Ross - . I mean, this-this looks so great. 8.- Ross - . That is how God intended it.|","[[""neutral"", 1], [""neutral"", 2], [""neutral"", 3], [""sadness"", 4], [""surprised"", 5], [""sadness"", 6], [""joy"", 7], [""joy"", 8]]"
1,neutral
2,neutral
3,joy
4,neutral
5,surprised
6,neutral
7,surprised
8,neutral
9,neutral
10,neutral
11,anger
12,fear
13,neutral
14,surprised
15,neutral
16,neutral
17,surprised
1,neutral
2,disgust
3,anger
4,joy
5,surprised
6,joy
