Conversation,Original_Label,Ds-r1
"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",frustrated,frustrated
Uh huh.,neutral,neutral
I'm just saying I have a friend that got a good job on it so I was just recommending it.,neutral,frustrated
What kind of a job?,xxx,neutral
He's like a manager for a theatre.,neutral,neutral
Really?,xxx,surprised
He's like a house manager. Yeah.  It's a good job.,neutral,neutral
He just...,neutral,frustrated
you know what?  I heard about that job.  I applied for that.,neutral,neutral
You did?,neutral,surprised
Yeah.  I saw a posting at the theatre.,frustrated,neutral
Yeah.,neutral,neutral
He got it?,xxx,surprised
You've been looking for a job for a long time; that was a long time ago.  Right?,neutral,sad
Yeah.,neutral,neutral
Hmm.,neutral,neutral
What did he do?  What was so great?  I don't understand why they would pick him over me.,xxx,frustrated
I don't know.  He had a really good resume I guess and--,neutral,frustrated
A resume?,xxx,surprised
Yeah.  Do you have a resume?,neutral,neutral
No.,xxx,neutral
It's kind of helpful when getting a job.,neutral,neutral
I just- I mean I call people up and I tell them what I'm good at.,neutral,frustrated
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neutral,neutral
Yeah.,neutral,neutral
I don't like- I don't like sending things in the mail.  I don't want my information out there.,xxx,fear
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neutral,frustrated
I'm there in front of them.  I'm telling them what I'm good at.,frustrated,neutral
"Yeah.  But the piece of paper helps, too.",neutral,frustrated
Why?  It's a piece of paper.,frustrated,frustrated
"No.  But it has an outline, you know.",neutral,frustrated
"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",frustrated,fear
"I know.  Okay.  Well, um. Maybe--",neutral,neutral
"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",frustrated,frustrated
Yeah.,neutral,neutral
"Okay, yeah.  I would imagine.",neutral,neutral
..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,xxx,frustrated
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neutral,neutral
"That's baloney, that's baloney.",frustrated,anger
Please.,frustrated,neutral
maybe get a car.,neutral,neutral
"I just, you know, think you should try a little harder maybe.",neutral,frustrated
you think that you're better than me because I don't have a car?,frustrated,frustrated
I didn't say that.,neutral,frustrated
"You know, you're riding the bus, too.",frustrated,neutral
"I am riding the bus, but by choice.",neutral,happy
Why?  What choice?,frustrated,frustrated
"To save the environment, carpool.",neutral,neutral
You're saving the environment. mmhmm,frustrated,neutral
Yes.  One less car at a time.,neutral,happy
Interesting.  That's fantastic.,frustrated,excited
Mmhmm.,neutral,neutral
"You know, you don't have to take out your frustration on me, you know, just because...",frustrated,frustrated
I'm not frustrated.,anger,neutral
...you can't get a job and refuse to have a resume.,frustrated,frustrated
Who do you think you are?,anger,anger
I don't think I'm anyone.,neutral,sad
You are so high and mighty.  I just--,anger,frustrated
I- I-I didn't-- okay.,neutral,fear
Oh.  I'm saving the environment. I'm riding this car because I- I want to.,anger,frustrated
What?  No.,xxx,surprised
What? Oh.  So now you're...,frustrated,surprised
"The bus, I'm riding the bus because I want to.",anger,happy
you know what?  You don't have to take your anger and your hurt out on me.,frustrated,frustrated
I can not-- you are not here by choice.  Nobody would ride this bus by choice.,anger,frustrated
Why not?,xxx,frustrated
Hi.,frustrated,neutral
Hi.  Thanks for waiting.,neutral,neutral
Yeah. This is the fourth line that I have been in.,frustrated,frustrated
Can I help you?,happy,neutral
Uh huh.,happy,neutral
I need my bag.,frustrated,neutral
Okay.,neutral,neutral
"I flew in over three hours ago, I've been in four different lines.",frustrated,frustrated
Okay.,neutral,neutral
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,frustrated,frustrated
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neutral,frustrated
Nash.,frustrated,neutral
Okay.,neutral,neutral
No G.,xxx,neutral
all right- okay.  And you lost your bag? Is that- that the issue?,neutral,neutral
Yes.,frustrated,neutral
Flight seven fourteen.,anger,neutral
Uh-huh.,neutral,neutral
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",anger,frustrated
"Yeah. Yeah, I don't see- I don't see any--",neutral,frustrated
"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neutral,frustrated
"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neutral,sad
"Oh, Are you kidding me?",xxx,frustrated
"for such an inconvenience and your bag, but",neutral,frustrated
Is this a joke?,anger,frustrated
Yeah.,neutral,neutral
"No, no.",neutral,fear
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",anger,surprised
"No, no.  This is real.",neutral,fear
So you'll give me money and then I'll get my bag?,xxx,neutral
"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neutral,frustrated
this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neutral,frustrated
"You're kidding me, this is a joke.",anger,frustrated
"Once again, I'm really- I'm really sorry.",xxx,sad
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,anger,anger
Yes.,neutral,neutral
I know.,neutral,neutral
We flew in from Paris.  I've been shopping for three weeks.,anger,happy
"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",xxx,frustrated
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,anger,anger
Okay. Calm-,neutral,neutral
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neutral,frustrated
Do you understand who my husband is?,anger,anger
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",anger,anger
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neutral,frustrated
Oh-Oh.  It's a gift.  You're-You're helping me out here?,anger,surprised
It's a gift.,neutral,happy
"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neutral,frustrated
You are cruising for a bruising.  You are in so much trouble.,anger,anger
With the amount of--,neutral,frustrated
Who's in charge?  Who is the president of Jet Blue?,anger,frustrated
"Um, actually, I don't know. I don't know. Oh really?",neutral,surprised
Because I probably know him.,anger,neutral
Yeah.,anger,neutral
Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neutral,frustrated
"I don't want money, I want my clothes.",anger,anger
"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neutral,frustrated
What's your name?,anger,neutral
Oh.  My name is Sean. Hi.,neutral,neutral
Sean.  Great. Do you have a badge number or something?,xxx,frustrated
"Badge number?  Uh, no.  You can just take my employee number I guess.",surprise,frustrated
Okay.  I'll do that.,anger,neutral
Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,surprise,frustrated
I don't think you have done everything you could do because I don't have my bag here yet.,anger,frustrated
"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neutral,anger
A letter? I'll make a personal phone call.,anger,frustrated
"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neutral,neutral
"I'm sorry, Joy.",sad,sad
It's okay.,xxx,neutral
Is there anything I can get you?  Do you want me to take care of anything for you or...?,neutral,neutral
"No, no, no.",xxx,frustrated
...pick up anything?,neutral,neutral
No.,sad,neutral
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad,happy
That's sweet.,neutral,happy
Thank you.,neutral,happy
I went to see her headstone a week or two ago.,sad,sad
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad,sad
Hmm.,neutral,neutral
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad,frustrated
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad,sad
"this woman came up and, you know, it was hers. It was her person that was there.",neutral,surprised
Oh.  She was there?,neutral,surprised
"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",sad,anger
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",sad,sad
Mmhmm.,neutral,neutral
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",sad,sad
Yeah.,sad,neutral
I don't know.,sad,neutral
How long were you there for?,neutral,neutral
At the cemetery?,sad,sad
Mmhmm.,neutral,neutral
couple hours.,sad,neutral
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",neutral,excited
Oh really?,neutral,surprised
You ran through the sprinklers in the cemetery?,neutral,surprised
It was hot.[LIPSMACK],xxx,frustrated
Is it a big cemetery?,neutral,neutral
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neutral,excited
"Oh, so they're like really old too, really old ones?",neutral,surprised
Yeah.,neutral,neutral
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",sad,sad
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",sad,happy
She used to have these poetry parties on Memorial Day.,sad,sad
Mmhmm.,neutral,neutral
Umm. Yeah.,sad,neutral
"And the last time before she died, I remember she couldn't really stand, umm...",sad,sad
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",sad,happy
Mmhmm.,neutral,neutral
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad,sad
So she wrote a lot of poetry?,neutral,neutral
"There's another one, I can't remember.",neutral,frustrated
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",sad,frustrated
Mmhmm.Mmhmm.Mmhmm.,xxx,neutral
Did you get the letter?,excited,neutral
"Yes.  There's a big envelope it says, you're in. I know.",excited,neutral
Yeah. That is so awesome.,excited,excited
Oh my God. What are you going to do? [LAUGHTER],excited,surprised
So I have to move back to the ghetto but...I know.,xxx,sad
"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",excited,frustrated
"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",excited,excited
"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",excited,excited
"Oh- I know, I know, I know, I know.",excited,excited
"I don't know.  I spend so much time commuting as it is, I'd rather.",excited,frustrated
This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,excited,happy
I know. We should throw a party.,excited,happy
"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",xxx,neutral
A rapper party ho. Yeah. Okay.,excited,neutral
"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",excited,happy
It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,xxx,happy
Yeah.  Big time.,excited,happy
Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,excited,excited
"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",xxx,fear
"Oh, okay.",xxx,neutral
Ooh. Fancy.,xxx,excited
Yeah.  I'm not sure.,excited,neutral
Is this a Masters or a P.h.D.?  Or can you...? Nice,neutral,frustrated
Umm...P.h.D. [LAUGHTER],excited,happy
"That's good.  Don't you have to like teach a class, too, when you do that?",neutral,neutral
"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",xxx,neutral
"Teacher. Mrs. Nash, I have a question.",excited,neutral
So I get to mold young minds. Mrs.?  That's my mother.,excited,surprised
You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,excited,frustrated
"I would be like- Oh. Right, right, right.",excited,neutral
"Mrs. Nash.  That's so awesome, though.",xxx,happy
"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",xxx,excited
Yay...School's fun.,excited,frustrated
"Of course, right.  That's where the real money is, being a student.",neutral,frustrated
Yeah.  Totally. [LAUGHTER],xxx,happy
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,happy,frustrated
"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",excited,sad
What's he going to say?,frustrated,fear
Maybe we should tell him before he sees it.,xxx,fear
He saw it.,neutral,neutral
How could he see it?  I was the first one up; he was still in bed.,surprise,surprised
He was out here when it broke.,neutral,neutral
When?,xxx,frustrated
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,neutral,fear
What was he doing out here at four o clock in the morning?,xxx,fear
I don't know.,neutral,neutral
"He's dreaming of him again, walking around.",neutral,sad
I guess he is.,neutral,neutral
It's getting to be just like after he died.  What's the meaning of that?,xxx,sad
"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",frustrated,anger
What?,xxx,surprised
"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",xxx,frustrated
What do you mean dishonest?,xxx,anger
You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,neutral,frustrated
What do you want to do?  Argue with him?,frustrated,frustrated
I don't want to argue but it's time he realized that nobody believes Larry is alive.,frustrated,frustrated
"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?",frustrated,sad
You can't say that to him.,frustrated,anger
We've got to say it to him.,neutral,frustrated
Where's the proof?  Do you have any proof?,frustrated,frustrated
"For God's sake, three years?  Nobody comes back after three years; that's insane.",frustrated,frustrated
"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",frustrated,frustrated
"Sit down, Mom.  I want to talk to you.",neutral,frustrated
"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",xxx,frustrated
"All right, all right, all right.  You know why I asked Annie here, right?",frustrated,excited
Why?,frustrated,neutral
You know.,neutral,neutral
"Well I got an idea, but what's your story?",neutral,neutral
I'm going to ask her to marry me.,neutral,excited
"Well that's only your business, Chris.",xxx,frustrated
You know it's not just my business.,neutral,frustrated
Well what do you want me to do?  You're old enough to know your own mind.,xxx,frustrated
"So all right then, I'll just go ahead with it?",neutral,frustrated
Well you want to make sure that your father is not going to --,xxx,fear
Then it's not just my business.,frustrated,frustrated
I'm just saying.,xxx,neutral
"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",anger,anger
Oh.  I ignore what I got to ignore.  That girl is Larry's girl.,xxx,frustrated
She's not Larry's girl.,frustrated,neutral
"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.",frustrated,fear
"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",frustrated,frustrated
"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.",frustrated,fear
"You're a considerate fellow, there's nothing wrong in that.",frustrated,happy
To hell with that.,frustrated,frustrated
I just don't see why.  Have you asked Annie yet?,frustrated,frustrated
I wanted to get this settled first.,neutral,neutral
Well how do you know she's going to marry you?  Maybe she feels the same way your father does.,frustrated,frustrated
"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",neutral,neutral
And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,neutral,frustrated
The trouble is you don't see enough women.  You never did.,frustrated,frustrated
So what.  I'm not fast with women.,frustrated,frustrated
Why does it have to be Annie?,frustrated,frustrated
Because it is.,frustrated,neutral
Oh that's a great reason.  It's no reason at all.,frustrated,frustrated
I don't know.,frustrated,neutral
"You haven't seen her since you went away to war, it's been five years.",frustrated,sad
"I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.",frustrated,happy
"Mom, what do you want?  A diagram?",frustrated,frustrated
I don't want a diagram.,frustrated,frustrated
He thinks he's coming back Chris.,frustrated,frustrated
"You marry that girl, you are pronouncing him dead...",frustrated,anger
...and then what's that going to do to your father?  Do you know?  I don't.,frustrated,frustrated
"All right, then, Mom. [BREATHING]",frustrated,frustrated
Just give it some more thought.,neutral,neutral
"I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.",frustrated,frustrated
"But if I can't do that here, I may have to go somewhere else.",frustrated,frustrated
What the hell is this?,anger,anger
"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",neutral,excited
Are you crazy?,xxx,anger
"I've been a good son for too long, a good sucker.",frustrated,frustrated
You have a business here.  What the hell is this?,anger,anger
The business?  The business doesn't inspire me.,frustrated,sad
Oh.  Must you be inspired?,anger,frustrated
"Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.",frustrated,happy
"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.",frustrated,sad
You mean to tell me that you would leave the business over this?,frustrated,frustrated
"On this, I would.",neutral,neutral
Well you don't want to think like that.,frustrated,neutral
Then help me stay here.,neutral,fear
"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",anger,frustrated
I know that.  Then just help me stay here.,frustrated,frustrated
Just don't think like that.,anger,frustrated
Well I am thinking like that.,frustrated,neutral
"I don't understand you, do I?",frustrated,frustrated
No.  You don't.  I'm a pretty tough guy.,frustrated,frustrated
I can see that.,frustrated,neutral
Why did he invite her here?,xxx,frustrated
Why does that bother you?,xxx,neutral
"She's been in New York three and an half years, why all of a sudden?",xxx,surprised
Well maybe...maybe he just wanted to see her.,neutral,frustrated
Nobody comes seven hundred miles just to see.,xxx,frustrated
"What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her?",xxx,surprised
[BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.,frustrated,frustrated
He's not going to marry her.,anger,sad
How do you know he's even thinking about it?,neutral,frustrated
It's got that about it.,anger,neutral
Oh.  So what.,xxx,frustrated
"What is going on here, Joe?",anger,neutral
Now listen.,frustrated,frustrated
She is not his girl.  She knows she's not.,anger,sad
You can't read her mind.,frustrated,frustrated
"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",anger,frustrated
How do you know why she waited?,neutral,frustrated
"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",anger,happy
"Hey look, it's a nice day, huh?  Why are we arguing?",frustrated,frustrated
"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",anger,anger
What do you want me to do? What do you want?,frustrated,frustrated
"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",anger,anger
I won't stand for any nonsense.,anger,anger
Kate.,frustrated,neutral
"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",anger,sad
[BREATHING],frustrated,neutral
Calm yourself.,frustrated,neutral
"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",anger,fear
Okay. Calm yourself.,frustrated,neutral
"I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?",frustrated,frustrated
"Look at you, you're shaking.",xxx,fear
I can't help it.,frustrated,frustrated
"What have I got to hide?  What the hell is the matter with you, Kate?",anger,anger
You're the only one who still loves his parents.,neutral,sad
"I know.  It kind of went out of style, didn't it?",neutral,sad
It's not so bad; it's a good thing.,neutral,neutral
"[BREATHING] You know, it's lovely here.  The air is sweet.",neutral,happy
You're not sorry you came.,neutral,happy
"I'm not sorry, no. But I'm...I can't stay.",neutral,frustrated
Why not?,xxx,frustrated
"For one thing, your mother much as told me to go.",neutral,frustrated
Well.,neutral,neutral
"And then, you.  You've been kind of...",neutral,frustrated
What?,neutral,surprised
Sort of embarrassed ever since I got here.,neutral,frustrated
Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,neutral,frustrated
I knew they would.,neutral,neutral
You did?,xxx,surprised
"Well sure, from your mother's point of view.  Why else would I come?",neutral,frustrated
"So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?",xxx,frustrated
"I, umm. I guess, I guess that's kind of why I came.",neutral,frustrated
[BREATHING],happy,fear
"I love you. Annie, I love you.",happy,happy
[LAUGHTER],happy,happy
"I don't really have any imagination, that's all I know how to say.",happy,frustrated
[LAUGHTER],happy,happy
"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",happy,frustrated
No. No,happy,frustrated
