Sentence,Original_Label,DeepSeek
Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back. (anger) ,Statement Non Opinion ,Question
That would - I would appreciate that.  Yeah. (frustrated) ,Acknowledge ,Acknowledge
Did you get the mail? So you saw my letter? (sad) ,Question,Question
It's not fair. (xxx) ,Statement Opinion,Statement Non Opinion
Yeah.  I know. (sad) ,Agreement,Acknowledge
"I don't understand.  You've already done so much, I don't know why do you have to go back. (sad) ",Statement Opinion,Statement Opinion
I don't know.  I put in that. request too. They didn't... (sad) ,Statement Non Opinion ,Statement Non Opinion
"I guess, you know, everybody has to make sacrifices. (neutral) ",Statement Opinion,Statement Opinion
"I don't know, it's just not fair.  I think you've already made your sacrifice. (xxx) ",Statement Opinion,Statement Opinion
"There's people that have given more though, you know? (sad) ",Statement Non Opinion ,Statement Opinion
I just don't see how they can make you leave when you have a new baby - we have a new kid. (frustrated) ,Statement Opinion,Statement Opinion
I know. (sad) ,Agreement,Acknowledge
Then why is that fair?  Why-- (xxx) ,Question,Question
"There's babies over there, though, that need mothers. (neutral) ",Answer,Statement Non Opinion
I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it. (sad) ,Question,Question
"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix. (xxx) ",Answer,Statement Opinion
I'm just trying to think of another way.  I'm just trying to... (xxx) ,Statement Non Opinion ,Statement Non Opinion
"Just, you know, kicking myself. (sad) ",Statement Non Opinion ,Statement Non Opinion
like you sign up because you need money and (xxx) ,Statement Non Opinion ,Statement Non Opinion
things just aren't what they seem. (sad) ,Statement Non Opinion ,Statement Non Opinion
This is a stupid war. (xxx) ,Statement Opinion,Statement Opinion
"We're doing the right thing, though. (xxx) ",Statement Opinion,Statement Opinion
I know. (frustrated) ,Agreement,Acknowledge
I just don't see why it has to be you. (sad) ,Statement Opinion,Statement Opinion
"If not me then, who? (sad) ",Question,Question
What am I going to do? Huh? (sad) ,Question,Question
"You'll videotape everything, yeah? (sad) ",Answer,Question
Yeah. (sad) ,Agreement,Acknowledge
"Maybe you can send it to me, like stream it, yeah? (sad) ",Statement Opinion,Question
Don't you guys have access to computers over there. (neutral) ,Question,Question
Last month--  Yeah. (sad) ,Answer,Acknowledge
I just don't know how I'm going to do it without you. (sad) ,Statement Opinion,Statement Opinion
I have to find sitters. (neutral) ,Statement Non Opinion ,Statement Non Opinion
I can't raise a baby by myself.  How? (sad) ,Question,Question
"We've got friends, that's why we moved here, huh?  Because there is a day care down the street. (sad) ",Answer,Statement Non Opinion
I know. (neutral) ,Agreement,Acknowledge
And your mother is close by. (neutral) ,Statement Non Opinion ,Statement Non Opinion
I'll send you lots of letters. (sad) ,Statement Non Opinion ,Statement Non Opinion
And I want lots and lots and lots of pictures. (sad) ,Command,Command
It's just not fair. (frustrated) ,Statement Opinion,Statement Non Opinion
So what's up?  What's new? (neutral) ,Question,Question
Well Vegas was awesome. (happy) ,Answer,Statement Opinion
Yeah.  I heard. (neutral) ,Agreement,Acknowledge
"And, um, I got married. (happy) ",Statement Non Opinion ,Statement Opinion
Shut up.  No- in Vegas? (surprise) ,Question,Statement Non Opinion
Yeah.  In the old town part. (happy) ,Answer,Statement Opinion
Who did you marry? (excited) ,Question,Question
Chuck. [LAUGHTER] (xxx) ,Others,Statement Opinion
Did you propose to you? (xxx) ,Question,Question
Um- Yes.  It was very romantic. (happy) ,Answer,Statement Opinion
It was at the slot machines. (happy) ,Statement Non Opinion ,Statement Opinion
Oh.  The Wheel of Fortune slots? (xxx) ,Question,Question
"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride. (happy) ",Statement Non Opinion ,Statement Opinion
He turned to you and was like... (neutral) ,Statement Non Opinion ,Statement Non Opinion
Hey.  Let's get married and I said okay. (xxx) ,Statement Non Opinion ,Statement Opinion
[LAUGHTER] That's really romantic. (happy) ,Statement Opinion,Statement Opinion
"Yeah.  Well.  You know, because he's leaving the next day. (happy) ",Agreement,Statement Opinion
Yeah. (neutral) ,Agreement,Acknowledge
But we're going to have a honeymoon cruise. (happy) ,Statement Non Opinion ,Statement Opinion
"Does that mean that you're going to get citizenship, too, in- in England or whatever? (neutral) ",Question,Question
Oh.  I hadn't even thought about that. (happy) ,Answer,Statement Opinion
Yeah.  Think about that. (xxx) ,Command,Command
"He's not going to be a citizen, though. (xxx) ",Statement Non Opinion ,Statement Opinion
Yeah.  But he'll have like a long visa.  Can you go visit then for a long time? (neutral) ,Question,Question
Oh.  Totally. (happy) ,Agreement,Statement Opinion
"Oh, how are you going to do the long distance thing?  So wait, are you going to move there? (xxx) ",Question,Question
I guess I'll-  I guess I'll have an internet husband.[LAUGHTER] (happy) ,Answer,Statement Opinion
Like you need another one of those.[LAUGHTER] (happy) ,Statement Opinion,Statement Opinion
I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm. (xxx) ,Statement Opinion,Question
Is that your phone? (happy) ,Question,Question
"Yeah, so [LAUGHTER] He's calling me now (excited) ",Answer,Statement Opinion
He loves you. (happy) ,Statement Non Opinion ,Statement Opinion
"He likes to keep tabs, you know. (happy) ",Statement Non Opinion ,Statement Opinion
How much did he win at the slot? (neutral) ,Question,Question
"Uh, I think seven hundred and fifty dollars. (neutral) ",Answer,Statement Non Opinion
Really? Penny slots? (surprise) ,Question,Question
Penny slots. That's what he plays. (neutral) ,Answer,Statement Non Opinion
Wow. (surprise) ,Acknowledge ,Acknowledge
Yeah. (neutral) ,Agreement,Acknowledge
I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know. (neutral) ,Statement Non Opinion ,Statement Opinion
Oh. (xxx) ,Backchannel,Backchannel
Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like- (happy) ,Statement Non Opinion ,Statement Opinion
"But the pennies always get you because you end up spending like, you know, fifty bucks. (neutral) ",Statement Opinion,Statement Opinion
Fifty bucks. Mmhmm. (neutral) ,Backchannel,Acknowledge
"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you. (neutral) ",Statement Opinion,Statement Opinion
Yeah. (neutral) ,Agreement,Acknowledge
Well so now we're married. We have cat children. (happy) ,Statement Non Opinion ,Statement Opinion
Awesome. (excited) ,Acknowledge ,Acknowledge
[LAUGHTER] Cat babies. (happy) ,Statement Non Opinion ,Statement Opinion
"We renamed Brenda, Lumber Janet. (happy) ",Statement Non Opinion ,Statement Opinion
That's fair enough. (neutral) ,Statement Opinion,Acknowledge
She needs a new name each state that we go into. [LAUGHTER] (happy) ,Statement Non Opinion ,Statement Opinion
"Have you tried, uh, Craig's List? (neutral) ",Question,Question
"Uh, what?  Craig's List?  Oh the internet thing? (neutral) ",Question,Question
Yeah. (neutral) ,Agreement,Backchannel
I don't know.  Isn't that-- that's all like escort services and things like that. (neutral) ,Statement Opinion,Statement Opinion
No.  There's regular jobs on there. (neutral) ,Disagreement,Statement Non Opinion
"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board. (frustrated) ",Statement Opinion,Statement Opinion
Uh huh. (neutral) ,Backchannel,Backchannel
I'm just saying I have a friend that got a good job on it so I was just recommending it. (neutral) ,Statement Non Opinion ,Statement Non Opinion
What kind of a job? (xxx) ,Question,Question
He's like a manager for a theatre. (neutral) ,Answer,Statement Non Opinion
Really? (xxx) ,Question,Question
He's like a house manager. Yeah.  It's a good job. (neutral) ,Answer,Statement Non Opinion
He just... (neutral) ,Backchannel,Statement Non Opinion
you know what?  I heard about that job.  I applied for that. (neutral) ,Statement Non Opinion ,Statement Non Opinion
You did? (neutral) ,Question,Question
Yeah.  I saw a posting at the theatre. (frustrated) ,Answer,Statement Non Opinion
Yeah. (neutral) ,Backchannel,Backchannel
He got it? (xxx) ,Question,Question
You've been looking for a job for a long time; that was a long time ago.  Right? (neutral) ,Question,Question
Yeah. (neutral) ,Answer,Backchannel
Hmm. (neutral) ,Backchannel,Backchannel
What did he do?  What was so great?  I don't understand why they would pick him over me. (xxx) ,Question,Question
I don't know.  He had a really good resume I guess and-- (neutral) ,Answer,Statement Non Opinion
A resume? (xxx) ,Question,Question
Yeah.  Do you have a resume? (neutral) ,Question,Question
No. (xxx) ,Answer,Statement Non Opinion
It's kind of helpful when getting a job. (neutral) ,Statement Opinion,Statement Non Opinion
I just- I mean I call people up and I tell them what I'm good at. (neutral) ,Statement Non Opinion ,Statement Non Opinion
Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out. (neutral) ,Statement Opinion,Statement Opinion
Yeah. (neutral) ,Agreement,Backchannel
I don't like- I don't like sending things in the mail.  I don't want my information out there. (xxx) ,Statement Opinion,Statement Opinion
"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of-- (neutral) ",Statement Non Opinion ,Statement Non Opinion
I'm there in front of them.  I'm telling them what I'm good at. (frustrated) ,Statement Non Opinion ,Statement Opinion
"Yeah.  But the piece of paper helps, too. (neutral) ",Statement Opinion,Statement Non Opinion
Why?  It's a piece of paper. (frustrated) ,Question,Question
"No.  But it has an outline, you know. (neutral) ",Answer,Statement Non Opinion
"I just don't want this paper trail, you know.  I just don't want things following me around, like-. (frustrated) ",Statement Non Opinion ,Statement Opinion
"I know.  Okay.  Well, um. Maybe-- (neutral) ",Agreement,Backchannel
"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but... (frustrated) ",Statement Non Opinion ,Statement Opinion
Yeah. (neutral) ,Backchannel,Backchannel
"Okay, yeah.  I would imagine. (neutral) ",Agreement,Backchannel
..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way. (xxx) ,Statement Opinion,Statement Opinion
"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now. (neutral) ",Statement Opinion,Statement Opinion
"That's baloney, that's baloney. (frustrated) ",Statement Opinion,Disagreement
Please. (frustrated) ,Disagreement,Command
maybe get a car. (neutral) ,Statement Opinion,Statement Non Opinion
"I just, you know, think you should try a little harder maybe. (neutral) ",Statement Opinion,Statement Opinion
you think that you're better than me because I don't have a car? (frustrated) ,Question,Question
I didn't say that. (neutral) ,Disagreement,Statement Non Opinion
"You know, you're riding the bus, too. (frustrated) ",Statement Non Opinion ,Statement Opinion
"I am riding the bus, but by choice. (neutral) ",Statement Opinion,Statement Non Opinion
Why?  What choice? (frustrated) ,Question,Question
"To save the environment, carpool. (neutral) ",Answer,Statement Non Opinion
You're saving the environment. mmhmm (frustrated) ,Statement Non Opinion ,Disagreement
Yes.  One less car at a time. (neutral) ,Agreement,Statement Non Opinion
Interesting.  That's fantastic. (frustrated) ,Acknowledge ,Disagreement
Mmhmm. (neutral) ,Backchannel,Backchannel
"You know, you don't have to take out your frustration on me, you know, just because... (frustrated) ",Statement Non Opinion ,Statement Opinion
I'm not frustrated. (anger) ,Disagreement,Statement Opinion
...you can't get a job and refuse to have a resume. (frustrated) ,Statement Non Opinion ,Statement Opinion
Who do you think you are? (anger) ,Question,Question
I don't think I'm anyone. (neutral) ,Answer,Statement Non Opinion
You are so high and mighty.  I just-- (anger) ,Statement Opinion,Statement Opinion
I- I-I didn't-- okay. (neutral) ,Backchannel,Backchannel
Oh.  I'm saving the environment. I'm riding this car because I- I want to. (anger) ,Statement Opinion,Statement Opinion
What?  No. (xxx) ,Disagreement,Question
What? Oh.  So now you're... (frustrated) ,Statement Non Opinion ,Statement Non Opinion
"The bus, I'm riding the bus because I want to. (anger) ",Statement Opinion,Statement Opinion
you know what?  You don't have to take your anger and your hurt out on me. (frustrated) ,Command,Statement Opinion
I can not-- you are not here by choice.  Nobody would ride this bus by choice. (anger) ,Statement Opinion,Statement Opinion
Why not? (xxx) ,Question,Question
Hi. (frustrated) ,Greeting,Greeting
Hi.  Thanks for waiting. (neutral) ,Greeting,Greeting
Yeah. This is the fourth line that I have been in. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
Can I help you? (happy) ,Question,Question
Uh huh. (happy) ,Backchannel,Backchannel
I need my bag. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
Okay. (neutral) ,Backchannel,Acknowledge
"I flew in over three hours ago, I've been in four different lines. (frustrated) ",Statement Non Opinion ,Statement Non Opinion
Okay. (neutral) ,Backchannel,Acknowledge
I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here. (frustrated) ,Statement Non Opinion ,Statement Non Opinion
Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there. (neutral) ,Question,Apology
Nash. (frustrated) ,Answer,Statement Non Opinion
Okay. (neutral) ,Backchannel,Acknowledge
No G. (xxx) ,Statement Non Opinion ,Statement Non Opinion
all right- okay.  And you lost your bag? Is that- that the issue? (neutral) ,Question,Question
Yes. (frustrated) ,Agreement,Answer
Flight seven fourteen. (anger) ,Statement Non Opinion ,Statement Non Opinion
Uh-huh. (neutral) ,Backchannel,Backchannel
"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here? (anger) ",Question,Question
"Yeah. Yeah, I don't see- I don't see any-- (neutral) ",Answer,Acknowledge
"I don't see any record of it, and I-usually when I don't see a record of it, that means um- (neutral) ",Statement Non Opinion ,Statement Non Opinion
"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again... (neutral) ",Apology,Apology
"Oh, Are you kidding me? (xxx) ",Question,Question
"for such an inconvenience and your bag, but (neutral) ",Apology,Apology
Is this a joke? (anger) ,Question,Question
Yeah. (neutral) ,Backchannel,Answer
"No, no. (neutral) ",Disagreement,Disagreement
"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline. (anger) ",Question,Question
"No, no.  This is real. (neutral) ",Answer,Statement Non Opinion
So you'll give me money and then I'll get my bag? (xxx) ,Question,Question
"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because... (neutral) ",Answer,Statement Non Opinion
this is the only track record that we have and if it's not listed here then it's probably not anywhere. (neutral) ,Statement Non Opinion ,Statement Non Opinion
"You're kidding me, this is a joke. (anger) ",Statement Opinion,Statement Opinion
"Once again, I'm really- I'm really sorry. (xxx) ",Apology,Apology
Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive. (anger) ,Question,Statement Opinion
Yes. (neutral) ,Backchannel,Acknowledge
I know. (neutral) ,Agreement,Acknowledge
We flew in from Paris.  I've been shopping for three weeks. (anger) ,Statement Non Opinion ,Statement Non Opinion
"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable-- (xxx) ",Statement Non Opinion ,Apology
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience. (anger) ,Command,Statement Opinion
Okay. Calm- (neutral) ,Command,Acknowledge
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really (neutral) ",Statement Non Opinion ,Statement Non Opinion
Do you understand who my husband is? (anger) ,Question,Question
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it. (anger) ",Statement Opinion,Statement Opinion
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that. (neutral) ",Statement Non Opinion ,Statement Non Opinion
Oh-Oh.  It's a gift.  You're-You're helping me out here? (anger) ,Question,Question
It's a gift. (neutral) ,Answer,Statement Non Opinion
"You know, the airlines can not be held responsible for every bag of luggage that comes through here. (neutral) ",Statement Non Opinion ,Statement Non Opinion
You are cruising for a bruising.  You are in so much trouble. (anger) ,Statement Opinion,Statement Opinion
With the amount of-- (neutral) ,Statement Non Opinion ,Statement Non Opinion
Who's in charge?  Who is the president of Jet Blue? (anger) ,Question,Question
"Um, actually, I don't know. I don't know. Oh really? (neutral) ",Answer,Answer
Because I probably know him. (anger) ,Statement Non Opinion ,Statement Opinion
Yeah. (anger) ,Agreement,Acknowledge
Well then maybe you can just call him and he can give you more money.  But right now all I can do-- (neutral) ,Statement Opinion,Statement Non Opinion
"I don't want money, I want my clothes. (anger) ",Statement Non Opinion ,Statement Opinion
"Right now all I can do is just give you this fifty dollars, I'm really sorry. (neutral) ",Statement Non Opinion ,Apology
What's your name? (anger) ,Question,Question
Oh.  My name is Sean. Hi. (neutral) ,Answer,Answer
Sean.  Great. Do you have a badge number or something? (xxx) ,Question,Question
"Badge number?  Uh, no.  You can just take my employee number I guess. (surprise) ",Answer,Answer
Okay.  I'll do that. (anger) ,Agreement,Statement Opinion
Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could. (surprise) ,Question,Question
I don't think you have done everything you could do because I don't have my bag here yet. (anger) ,Answer,Statement Opinion
"If you want, you can write a letter.  I can give you the address. Yes.  An angry-- (neutral) ",Statement Non Opinion ,Statement Non Opinion
A letter? I'll make a personal phone call. (anger) ,Statement Non Opinion ,Statement Opinion
"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more... (neutral) ",Statement Opinion,Statement Non Opinion
"I'm sorry, Joy. (sad) ",Apology,Apology
It's okay. (xxx) ,Acknowledge ,Acknowledge
Is there anything I can get you?  Do you want me to take care of anything for you or...? (neutral) ,Question,Question
"No, no, no. (xxx) ",Answer,Disagreement
...pick up anything? (neutral) ,Question,Question
No. (sad) ,Answer,Answer
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out. (sad) ,Statement Opinion,Statement Opinion
That's sweet. (neutral) ,Acknowledge ,Acknowledge
Thank you. (neutral) ,Greeting,Acknowledge
I went to see her headstone a week or two ago. (sad) ,Statement Non Opinion ,Statement Non Opinion
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city. (sad) ",Statement Non Opinion ,Statement Opinion
Hmm. (neutral) ,Backchannel,Backchannel
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know. (sad) ,Statement Non Opinion ,Statement Non Opinion
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And- (sad) ,Statement Non Opinion ,Statement Non Opinion
"this woman came up and, you know, it was hers. It was her person that was there. (neutral) ",Statement Non Opinion ,Statement Non Opinion
Oh.  She was there? (neutral) ,Question,Question
"Yeah.  And she was like, that's pathetic, I hope you enjoy it. (sad) ",Statement Non Opinion ,Statement Non Opinion
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly. (sad) ",Statement Non Opinion ,Statement Non Opinion
Mmhmm. (neutral) ,Backchannel,Backchannel
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever. (sad) ",Statement Opinion,Statement Opinion
Yeah. (sad) ,Backchannel,Acknowledge
I don't know. (sad) ,Statement Non Opinion ,Statement Opinion
How long were you there for? (neutral) ,Question,Question
At the cemetery? (sad) ,Question,Question
Mmhmm. (neutral) ,Backchannel,Backchannel
couple hours. (sad) ,Answer,Answer
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers. (neutral) ",Statement Non Opinion ,Statement Non Opinion
Oh really? (neutral) ,Question,Question
You ran through the sprinklers in the cemetery? (neutral) ,Question,Question
It was hot.[LIPSMACK] (xxx) ,Answer,Statement Non Opinion
Is it a big cemetery? (neutral) ,Question,Question
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones. (neutral) ,Answer,Answer
"Oh, so they're like really old too, really old ones? (neutral) ",Question,Question
Yeah. (neutral) ,Agreement,Answer
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors. (sad) ",Statement Non Opinion ,Statement Opinion
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her. (sad) ",Statement Non Opinion ,Statement Non Opinion
She used to have these poetry parties on Memorial Day. (sad) ,Statement Non Opinion ,Statement Non Opinion
Mmhmm. (neutral) ,Backchannel,Backchannel
Umm. Yeah. (sad) ,Backchannel,Acknowledge
"And the last time before she died, I remember she couldn't really stand, umm... (sad) ",Statement Non Opinion ,Statement Non Opinion
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool. (sad) ",Statement Non Opinion ,Statement Non Opinion
Mmhmm. (neutral) ,Backchannel,Backchannel
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and- (sad) ",Answer,Statement Non Opinion
So she wrote a lot of poetry? (neutral) ,Question,Question
"There's another one, I can't remember. (neutral) ",Answer,Statement Non Opinion
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know? (sad) ",Statement Non Opinion ,Statement Non Opinion
Mmhmm.Mmhmm.Mmhmm. (xxx) ,Backchannel,Backchannel
Did you get the letter? (excited) ,Question,Question
"Yes.  There's a big envelope it says, you're in. I know. (excited) ",Answer,Answer
Yeah. That is so awesome. (excited) ,Acknowledge ,Agreement
Oh my God. What are you going to do? [LAUGHTER] (excited) ,Question,Question
So I have to move back to the ghetto but...I know. (xxx) ,Statement Non Opinion ,Statement Non Opinion
"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly. (excited) ",Statement Opinion,Agreement
"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that. (excited) ",Statement Non Opinion ,Statement Opinion
"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood? (excited) ",Question,Question
"Oh- I know, I know, I know, I know. (excited) ",Agreement,Acknowledge
"I don't know.  I spend so much time commuting as it is, I'd rather. (excited) ",Answer,Statement Non Opinion
This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party. (excited) ,Statement Opinion,Statement Opinion
I know. We should throw a party. (excited) ,Agreement,Agreement
"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah? (xxx) ",Question,Question
A rapper party ho. Yeah. Okay. (excited) ,Agreement,Agreement
"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo. (excited) ",Answer,Statement Opinion
It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C. (xxx) ,Statement Opinion,Statement Opinion
Yeah.  Big time. (excited) ,Agreement,Agreement
Mmhmm. Mmhmm. Yay. So what major?  What are you doing? (excited) ,Question,Question
"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say. (xxx) ",Answer,Statement Opinion
"Oh, okay. (xxx) ",Backchannel,Acknowledge
Ooh. Fancy. (xxx) ,Statement Opinion,Statement Opinion
Yeah.  I'm not sure. (excited) ,Statement Opinion,Statement Non Opinion
Is this a Masters or a P.h.D.?  Or can you...? Nice (neutral) ,Question,Question
Umm...P.h.D. [LAUGHTER] (excited) ,Answer,Answer
"That's good.  Don't you have to like teach a class, too, when you do that? (neutral) ",Question,Question
"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm. (xxx) ",Answer,Answer
"Teacher. Mrs. Nash, I have a question. (excited) ",Statement Non Opinion ,Statement Opinion
So I get to mold young minds. Mrs.?  That's my mother. (excited) ,Statement Opinion,Statement Opinion
You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning. (excited) ,Statement Non Opinion ,Statement Opinion
"I would be like- Oh. Right, right, right. (excited) ",Statement Non Opinion ,Acknowledge
"Mrs. Nash.  That's so awesome, though. (xxx) ",Statement Opinion,Statement Opinion
"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works. (xxx) ",Statement Opinion,Statement Opinion
Yay...School's fun. (excited) ,Agreement,Statement Opinion
"Of course, right.  That's where the real money is, being a student. (neutral) ",Statement Opinion,Statement Opinion
Yeah.  Totally. [LAUGHTER] (xxx) ,Agreement,Agreement
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it. (happy) ,Command,Command
"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah. (excited) ",Agreement,Statement Opinion
What's he going to say? (frustrated) ,Question,Question
Maybe we should tell him before he sees it. (xxx) ,Statement Opinion,Statement Opinion
He saw it. (neutral) ,Statement Non Opinion ,Statement Non Opinion
How could he see it?  I was the first one up; he was still in bed. (surprise) ,Question,Question
He was out here when it broke. (neutral) ,Answer,Statement Non Opinion
When? (xxx) ,Question,Question
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked. (neutral) ,Answer,Statement Non Opinion
What was he doing out here at four o clock in the morning? (xxx) ,Question,Question
I don't know. (neutral) ,Answer,Statement Non Opinion
"He's dreaming of him again, walking around. (neutral) ",Statement Non Opinion ,Statement Opinion
I guess he is. (neutral) ,Agreement,Agreement
It's getting to be just like after he died.  What's the meaning of that? (xxx) ,Question,Question
"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father. (frustrated) ",Answer,Statement Opinion
