"_texto_CONCATENAR(#¡REF!,"" ("",G1,"") "")",Original_Label,DeepSeek_r1
I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience. (Command) ,anger,anger
Okay. Calm- (Command) ,neutral,frustrated
"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really (Statement Non Opinion ) ",neutral,neutral
Do you understand who my husband is? (Question) ,anger,anger
"If you're- if you're- if you're looking for a lawsuit, baby, you've found it. (Statement Opinion) ",anger,anger
"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that. (Statement Non Opinion ) ",neutral,neutral
Oh-Oh.  It's a gift.  You're-You're helping me out here? (Question) ,anger,neutral
It's a gift. (Answer) ,neutral,neutral
"You know, the airlines can not be held responsible for every bag of luggage that comes through here. (Statement Non Opinion ) ",neutral,neutral
You are cruising for a bruising.  You are in so much trouble. (Statement Opinion) ,anger,anger
With the amount of-- (Statement Non Opinion ) ,neutral,neutral
Who's in charge?  Who is the president of Jet Blue? (Question) ,anger,anger
"Um, actually, I don't know. I don't know. Oh really? (Answer) ",neutral,neutral
Because I probably know him. (Statement Non Opinion ) ,anger,anger
Yeah. (Agreement) ,anger,neutral
Well then maybe you can just call him and he can give you more money.  But right now all I can do-- (Statement Opinion) ,neutral,frustrated
"I don't want money, I want my clothes. (Statement Non Opinion ) ",anger,frustrated
"Right now all I can do is just give you this fifty dollars, I'm really sorry. (Statement Non Opinion ) ",neutral,neutral
What's your name? (Question) ,anger,anger
Oh.  My name is Sean. Hi. (Answer) ,neutral,neutral
Sean.  Great. Do you have a badge number or something? (Question) ,xxx,anger
"Badge number?  Uh, no.  You can just take my employee number I guess. (Answer) ",surprise,neutral
Okay.  I'll do that. (Agreement) ,anger,neutral
Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could. (Question) ,surprise,frustrated
I don't think you have done everything you could do because I don't have my bag here yet. (Answer) ,anger,anger
"If you want, you can write a letter.  I can give you the address. Yes.  An angry-- (Statement Non Opinion ) ",neutral,neutral
A letter? I'll make a personal phone call. (Statement Non Opinion ) ,anger,frustrated
"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more... (Statement Opinion) ",neutral,neutral
"I'm sorry, Joy. (Apology) ",sad,sad
It's okay. (Acknowledge ) ,xxx,neutral
Is there anything I can get you?  Do you want me to take care of anything for you or...? (Question) ,neutral,neutral
"No, no, no. (Answer) ",xxx,frustrated
...pick up anything? (Question) ,neutral,neutral
No. (Answer) ,sad,neutral
You know you are welcome to stay at my house if you want to just check out for a couple days and hang out. (Statement Opinion) ,sad,neutral
That's sweet. (Acknowledge ) ,neutral,neutral
Thank you. (Greeting) ,neutral,neutral
I went to see her headstone a week or two ago. (Statement Non Opinion ) ,sad,sad
"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city. (Statement Non Opinion ) ",sad,sad
Hmm. (Backchannel) ,neutral,neutral
So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know. (Statement Non Opinion ) ,sad,sad
So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And- (Statement Non Opinion ) ,sad,sad
"this woman came up and, you know, it was hers. It was her person that was there. (Statement Non Opinion ) ",neutral,sad
Oh.  She was there? (Question) ,neutral,surprised
"Yeah.  And she was like, that's pathetic, I hope you enjoy it. (Statement Non Opinion ) ",sad,sad
"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly. (Statement Non Opinion ) ",sad,sad
Mmhmm. (Backchannel) ,neutral,neutral
"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever. (Statement Opinion) ",sad,sad
Yeah. (Backchannel) ,sad,neutral
I don't know. (Statement Non Opinion ) ,sad,sad
How long were you there for? (Question) ,neutral,neutral
At the cemetery? (Question) ,sad,neutral
Mmhmm. (Backchannel) ,neutral,neutral
couple hours. (Answer) ,sad,neutral
"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers. (Statement Non Opinion ) ",neutral,happy
Oh really? (Question) ,neutral,surprised
You ran through the sprinklers in the cemetery? (Question) ,neutral,surprised
It was hot.[LIPSMACK] (Answer) ,xxx,neutral
Is it a big cemetery? (Question) ,neutral,neutral
Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones. (Answer) ,neutral,neutral
"Oh, so they're like really old too, really old ones? (Question) ",neutral,neutral
Yeah. (Agreement) ,neutral,neutral
"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors. (Statement Non Opinion ) ",sad,sad
"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her. (Statement Non Opinion ) ",sad,sad
She used to have these poetry parties on Memorial Day. (Statement Non Opinion ) ,sad,sad
Mmhmm. (Backchannel) ,neutral,neutral
Umm. Yeah. (Backchannel) ,sad,neutral
"And the last time before she died, I remember she couldn't really stand, umm... (Statement Non Opinion ) ",sad,sad
"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool. (Statement Non Opinion ) ",sad,sad
Mmhmm. (Backchannel) ,neutral,neutral
"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and- (Answer) ",sad,sad
So she wrote a lot of poetry? (Question) ,neutral,neutral
"There's another one, I can't remember. (Answer) ",neutral,sad
"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know? (Statement Non Opinion ) ",sad,sad
Mmhmm.Mmhmm.Mmhmm. (Backchannel) ,xxx,neutral
Did you get the letter? (Question) ,excited,neutral
"Yes.  There's a big envelope it says, you're in. I know. (Answer) ",excited,excited
Yeah. That is so awesome. (Acknowledge ) ,excited,excited
Oh my God. What are you going to do? [LAUGHTER] (Question) ,excited,surprised
So I have to move back to the ghetto but...I know. (Statement Non Opinion ) ,xxx,frustrated
"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly. (Statement Opinion) ",excited,excited
"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that. (Statement Non Opinion ) ",excited,excited
"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood? (Question) ",excited,happy
"Oh- I know, I know, I know, I know. (Agreement) ",excited,excited
"I don't know.  I spend so much time commuting as it is, I'd rather. (Answer) ",excited,frustrated
This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party. (Statement Opinion) ,excited,happy
I know. We should throw a party. (Agreement) ,excited,happy
"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah? (Question) ",xxx,neutral
A rapper party ho. Yeah. Okay. (Agreement) ,excited,happy
"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo. (Answer) ",excited,happy
It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C. (Statement Opinion) ,xxx,happy
Yeah.  Big time. (Agreement) ,excited,happy
Mmhmm. Mmhmm. Yay. So what major?  What are you doing? (Question) ,excited,happy
"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say. (Answer) ",xxx,happy
"Oh, okay. (Backchannel) ",xxx,neutral
Ooh. Fancy. (Statement Opinion) ,xxx,excited
Yeah.  I'm not sure. (Statement Opinion) ,excited,neutral
Is this a Masters or a P.h.D.?  Or can you...? Nice (Question) ,neutral,happy
Umm...P.h.D. [LAUGHTER] (Answer) ,excited,happy
"That's good.  Don't you have to like teach a class, too, when you do that? (Question) ",neutral,happy
"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm. (Answer) ",xxx,neutral
"Teacher. Mrs. Nash, I have a question. (Statement Non Opinion ) ",excited,happy
So I get to mold young minds. Mrs.?  That's my mother. (Statement Opinion) ,excited,happy
You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning. (Statement Non Opinion ) ,excited,happy
"I would be like- Oh. Right, right, right. (Statement Non Opinion ) ",excited,happy
"Mrs. Nash.  That's so awesome, though. (Statement Opinion) ",xxx,excited
"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works. (Statement Opinion) ",xxx,excited
Yay...School's fun. (Agreement) ,excited,happy
"Of course, right.  That's where the real money is, being a student. (Statement Opinion) ",neutral,happy
Yeah.  Totally. [LAUGHTER] (Agreement) ,xxx,happy
That's how you get the big bucks.  Are you messing with the chair? Don't ruin it. (Command) ,happy,neutral
"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah. (Agreement) ",excited,frustrated
What's he going to say? (Question) ,frustrated,fear
Maybe we should tell him before he sees it. (Statement Opinion) ,xxx,fear
He saw it. (Statement Non Opinion ) ,neutral,neutral
How could he see it?  I was the first one up; he was still in bed. (Question) ,surprise,surprised
He was out here when it broke. (Answer) ,neutral,neutral
When? (Question) ,xxx,neutral
Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked. (Answer) ,neutral,neutral
What was he doing out here at four o clock in the morning? (Question) ,xxx,surprised
I don't know. (Answer) ,neutral,neutral
"He's dreaming of him again, walking around. (Statement Non Opinion ) ",neutral,neutral
I guess he is. (Agreement) ,neutral,neutral
It's getting to be just like after he died.  What's the meaning of that? (Question) ,xxx,sad
"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father. (Answer) ",frustrated,frustrated
What? (Question) ,xxx,surprised
"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off. (Answer) ",xxx,frustrated
What do you mean dishonest? (Question) ,xxx,surprised
You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him? (Answer) ,neutral,frustrated
What do you want to do?  Argue with him? (Question) ,frustrated,frustrated
I don't want to argue but it's time he realized that nobody believes Larry is alive. (Answer) ,frustrated,frustrated
"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now? (Statement Opinion) ",frustrated,frustrated
You can't say that to him. (Command) ,frustrated,fear
We've got to say it to him. (Disagreement) ,neutral,frustrated
Where's the proof?  Do you have any proof? (Question) ,frustrated,frustrated
"For God's sake, three years?  Nobody comes back after three years; that's insane. (Answer) ",frustrated,frustrated
"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you? (Statement Opinion) ",frustrated,frustrated
"Sit down, Mom.  I want to talk to you. (Command) ",neutral,frustrated
"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just-- (Statement Non Opinion ) ",xxx,neutral
"All right, all right, all right.  You know why I asked Annie here, right? (Question) ",frustrated,neutral
Why? (Question) ,frustrated,neutral
You know. (Answer) ,neutral,neutral
"Well I got an idea, but what's your story? (Question) ",neutral,neutral
I'm going to ask her to marry me. (Answer) ,neutral,neutral
"Well that's only your business, Chris. (Statement Opinion) ",xxx,neutral
You know it's not just my business. (Disagreement) ,neutral,frustrated
Well what do you want me to do?  You're old enough to know your own mind. (Statement Opinion) ,xxx,neutral
"So all right then, I'll just go ahead with it? (Statement Non Opinion ) ",neutral,neutral
Well you want to make sure that your father is not going to -- (Statement Non Opinion ) ,xxx,neutral
Then it's not just my business. (Statement Opinion) ,frustrated,frustrated
