Text,DS_emotion
11,neutral
1,neutral
2,neutral
3,neutral
4,joy
5,neutral
6,joy
7,fear
8,neutral
9,fear
10,joy
11,joy
1,neutral
2,joy
1,neutral
2,joy
3,surprised
4,joy
5,joy
6,joy
7,joy
8,joy
9,neutral
10,neutral
11,surprised
12,disgust
13,neutral
14,joy
15,joy
16,surprised
17,neutral
1,surprised
2,neutral
3,joy
4,surprised
5,neutral
6,neutral
7,sadness
8,neutral
9,disgust
10,disgust
11,disgust
12,disgust
13,joy
14,joy
1,disgust
2,neutral
3,fear
4,neutral
1,fear
2,anger
3,surprised
4,surprised
5,neutral
6,neutral
7,neutral
8,surprised
9,joy
1,neutral
2,neutral
3,sadness
4,joy
5,surprised
6,joy
7,joy
8,joy
9,fear
1,joy
2,joy
3,surprised
4,neutral
5,neutral
6,neutral
7,joy
8,neutral
9,neutral
10,joy
11,joy
12,surprised
13,joy
14,neutral
1,fear
2,sadness
3,neutral
4,neutral
5,neutral
6,joy
7,joy
8,joy
9,neutral
10,neutral
11,neutral
12,fear
13,fear
14,fear
1,neutral
2,joy
1,anger
2,surprised
3,joy
4,joy
5,neutral
6,joy
7,fear
8,sadness
1,surprised
2,joy
3,neutral
4,neutral
5,surprised
6,anger
7,anger
8,anger
9,neutral
10,anger
11,fear
12,surprised
13,sadness
1,neutral
2,joy
3,neutral
4,neutral
5,disgust
6,surprised
7,disgust
8,sadness
9,disgust
10,sadness
11,sadness
12,sadness
13,disgust
14,surprised
15,disgust
16,surprised
1,neutral
2,neutral
3,neutral
4,joy
1,surprised
2,disgust
3,neutral
4,disgust
5,neutral
6,neutral
7,surprised
8,neutral
9,neutral
10,neutral
11,anger
12,anger
13,anger
14,neutral
15,neutral
16,neutral
17,joy
18,fear
19,neutral
1,joy
2,joy
3,neutral
4,neutral
5,surprised
6,neutral
7,neutral
8,neutral
9,joy
10,joy
11,joy
1,neutral
2,neutral
3,neutral
4,joy
5,sadness
6,neutral
7,neutral
8,neutral
9,neutral
10,surprised
11,anger
12,neutral
13,neutral
14,anger
1,surprised
2,joy
3,joy
4,joy
5,joy
6,neutral
1,joy
2,joy
3,neutral
4,neutral
5,disgust
6,disgust
1,neutral
2,joy
3,neutral
4,surprised
1,anger
2,neutral
3,neutral
4,neutral
5,surprised
6,neutral
7,anger
8,surprised
9,joy
10,joy
11,surprised
12,surprised
1,anger
2,anger
3,neutral
4,anger
5,anger
6,anger
7,anger
8,joy
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,neutral
15,neutral
16,anger
17,anger
18,anger
19,anger
1,disgust
2,neutral
3,neutral
4,neutral
5,joy
6,joy
7,joy
8,neutral
9,disgust
10,neutral
11,neutral
12,surprised
13,joy
14,neutral
15,anger
1,neutral
2,surprised
3,neutral
4,neutral
5,joy
6,surprised
7,neutral
8,sadness
9,neutral
10,neutral
11,neutral
12,neutral
13,neutral
14,sadness
15,fear
16,anger
1,joy
2,surprised
1,neutral
2,sadness
3,neutral
4,sadness
5,sadness
6,neutral
7,sadness
1,joy
2,sadness
3,neutral
1,sadness
2,sadness
3,neutral
4,anger
5,surprised
1,joy
2,surprised
3,surprised
4,surprised
5,neutral
6,neutral
7,joy
8,joy
9,joy
10,anger
11,surprised
12,anger
13,joy
14,surprised
15,surprised
1,neutral
2,joy
3,joy
4,joy
5,joy
6,joy
7,joy
8,joy
9,joy
10,neutral
11,surprised
12,joy
13,neutral
14,disgust
15,disgust
16,joy
17,joy
1,neutral
2,neutral
3,disgust
4,neutral
5,fear
6,neutral
7,neutral
8,neutral
9,joy
10,joy
11,neutral
12,joy
13,sadness
14,surprised
15,neutral
16,surprised
17,neutral
18,neutral
19,neutral
20,neutral
21,anger
22,disgust
1,joy
2,anger
3,neutral
4,neutral
5,neutral
6,fear
7,surprised
8,fear
9,joy
10,surprised
11,neutral
12,neutral
13,neutral
14,anger
15,surprised
16,anger
17,neutral
1,neutral
2,neutral
3,neutral
4,anger
5,anger
6,anger
7,anger
8,anger
9,sadness
10,anger
11,anger
12,anger
1,neutral
2,surprised
3,neutral
4,neutral
5,neutral
6,neutral
7,neutral
8,neutral
9,neutral
10,neutral
11,neutral
12,surprised
